markup,product_type,code,description,supplier_price,ipi,supplier_id,width,supplier_table_discount
"2,30",3,0015/01,VELUDO LISO,"R$ 225,00",0,9,0,40
"2,30",3,0015/03,VELUDO LISO,"R$ 225,00",0,9,0,40
"2,30",3,0015/05,VELUDO LISOM,"R$ 225,00",0,9,0,40
"2,30",3,0015/07,VELUDO LISO,"R$ 225,00",0,9,0,40
"2,30",3,0015/09,VELUDO LISO,"R$ 225,00",0,9,0,40
"2,30",3,0015/11,VELUDO LISO,"R$ 225,00",0,9,0,40
"2,30",3,0015/13,VELUDO LISO,"R$ 225,00",0,9,0,40
"2,30",3,0015/15,VELUDO LISO,"R$ 225,00",0,9,0,40
"2,30",3,0015/17,VELUDO DE ALGODÃO,"R$ 225,00",0,9,0,40
"2,30",3,0015/19,VELUDO DE ALGODÃO,"R$ 225,00",0,9,0,40
"2,30",3,0015/21,VELUDO DE ALGODÃO,"R$ 225,00",0,9,0,40
"2,30",3,0016/02,SEDADUPION,"R$ 174,80",0,9,0,40
"2,30",3,0016/04,SEDADUPION,"R$ 174,80",0,9,0,40
"2,30",3,0016/06,SEDADUPION,"R$ 174,80",0,9,0,40
"2,30",3,0016/08,SEDADUPION,"R$ 174,80",0,9,0,40
"2,30",3,0016/10,SEDADUPION,"R$ 174,80",0,9,0,40
"2,30",3,0016/12,SEDADUPION,"R$ 174,80",0,9,0,40
"2,30",3,0016/14,SEDADUPION,"R$ 174,80",0,9,0,40
"2,30",3,0016/16,SEDADUPION,"R$ 174,80",0,9,0,40
"2,30",3,0016/18,SEDADUPION,"R$ 174,80",0,9,0,40
"2,30",3,0017/01,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/03,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/05,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/07,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/09,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/11,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/13,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/15,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/17,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/19,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/21,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/23,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/25,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/27,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/29,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/31,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/33,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/35,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/37,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/39,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/41,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0015/02,VELUDO LISO,"R$ 225,00",0,9,0,40
"2,30",3,0015/04,VELUDO LISO,"R$ 225,00",0,9,0,40
"2,30",3,0015/06,VELUDO LISO,"R$ 225,00",0,9,0,40
"2,30",3,0015/08,VELUDO LISO,"R$ 225,00",0,9,0,40
"2,30",3,0015/10,VELUDO LISO,"R$ 225,00",0,9,0,40
"2,30",3,0015/12,VELUDO LISO,"R$ 225,00",0,9,0,40
"2,30",3,0015/14,VELUDO LISO,"R$ 225,00",0,9,0,40
"2,30",3,0015/16,VELUDO DE ALGODÃO,"R$ 225,00",0,9,0,40
"2,30",3,0015/18,VELUDO DE ALGODÃO,"R$ 225,00",0,9,0,40
"2,30",3,0015/20,VELUDO DE ALGODÃO,"R$ 225,00",0,9,0,40
"2,30",3,0016/01,SEDADUPION,"R$174,80",0,9,0,40
"2,30",3,0016/03,SEDADUPION,"R$174,80",0,9,0,40
"2,30",3,0016/05,SEDADUPION,"R$174,80",0,9,0,40
"2,30",3,0016/07,SEDADUPION,"R$174,80",0,9,0,40
"2,30",3,0016/09,SEDADUPION,"R$174,80",0,9,0,40
"2,30",3,0016/11,SEDADUPION,"R$174,80",0,9,0,40
"2,30",3,0016/13,SEDADUPION,"R$174,80",0,9,0,40
"2,30",3,0016/15,SEDADUPION,"R$174,80",0,9,0,40
"2,30",3,0016/17,SEDADUPION,"R$174,80",0,9,0,40
"2,30",3,0016/19,SEDADUPION,"R$174,80",0,9,0,40
"2,30",3,0017/02,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/04,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/06,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/08,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/10,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/12,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/14,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/16,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/18,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/20,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/22,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/24,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/26,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/28,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/30,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/32,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/34,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/36,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/38,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/40,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/42,SHANTHUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/43,SHANTHUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/45,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/47,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/49,SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/51,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/53,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/55,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/57,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/59,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/61,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/63,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/65,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/67,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/69,SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0018/02,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0018/04,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0018/06,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0018/08,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0018/10,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0018/12,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0018/14,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0018/16,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0018/18,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0050,SEDA RÚSTICA PESADA,"R$ 275,48",0,9,0,40
"2,30",3,0052,SEDA RÚSTICA PESADA,"R$ 275,48",0,9,0,40
"2,30",3,0054,SEDA RÚSTICA PESADA,"R$ 294,88",0,9,0,40
"2,30",3,0056,SEDA RÚSTICA PESADA,"R$ 294,88",0,9,0,40
"2,30",3,0058,SEDA RÚSTICA PESADA,"R$ 256,74",0,9,0,40
"2,30",3,0060,SEDA RÚSTICA PESADA,"R$ 256,74",0,9,0,40
"2,30",3,0062,JACQUARD CHEVRON DE SEDA,"R$ 344,40",0,9,0,40
"2,30",3,0064,JACQUARD CHEVRON DE SEDA,"R$ 344,40",0,9,0,40
"2,30",3,0066,GORGURÃO DE SEDA,"R$ 260,82",0,9,0,40
"2,30",3,0068,GORGURÃO DE SEDA,"R$ 260,82",0,9,0,40
"2,30",3,0273,SARJA PELE,"R$ 34,58",0,9,0,40
"2,30",3,0274/04,SARJA PELETIZADA COLORIDA,"R$ 39,09",0,9,0,40
"2,30",3,0274/07,SARJA PELETIZADA COLORIDA,"R$ 39,09",0,9,0,40
"2,30",3,0274/09,SARJA PELETIZADA,"R$ 39,09",0,9,0,40
"2,30",3,0274/12,SARJA PELETIZADA,"R$ 39,09",0,9,0,40
"2,30",3,0274/16,SARJA PELETIZADA,"R$ 39,09",0,9,0,40
"2,30",3,0274/21,SARJA PELETIZADA COLORIDA,"R$ 39,09",0,9,0,40
"2,30",3,0274/25,SARJA PELETIZADA COLORIDA,"R$ 39,09",0,9,0,40
"2,30",3,0274/40,SARJA PELETIZA COLORIDA,"R$ 39,09",0,9,0,40
"2,30",3,0274/43,SARJA PELETIZA COLORIDA,"R$ 39,09",0,9,0,40
"2,30",3,0274/47,SARJA PELE,"R$ 39,09",0,9,0,40
"2,30",3,0274/50,SARJA PELE,"R$ 39,09",0,9,0,40
"2,30",3,0275,PANAMÁ ESTONADO P ESTAMPARIA,"R$ 48,03",0,9,0,40
"2,30",3,0279/09,LONITA,"R$ 38,60",0,9,0,40
"2,30",3,0017/44,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/46,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/48,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/50,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/52,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/54,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/56,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/58,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/60,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/62,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/64,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/66,SHANTUNG DE SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0017/68,SEDA LISA,"R$192,50",0,9,0,40
"2,30",3,0018/01,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0018/03,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0018/05,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0018/07,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0018/09,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0018/11,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0018/13,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0018/15,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0018/17,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0018/19,SEDA RÚSTICA,"R$ 266,00",0,9,0,40
"2,30",3,0051,SEDA RÚSTICA PESADA,"R$ 275,48",0,9,0,40
"2,30",3,0053,SEDA RÚSTICA PESADA,"R$ 294,88",0,9,0,40
"2,30",3,0055,SEDA RÚSTICA PESADA,"R$ 294,88",0,9,0,40
"2,30",3,0057,SEDA RÚSTICA PESADA,"R$ 256,74",0,9,0,40
"2,30",3,0059,SEDA RÚSTICA PESADA,"R$ 256,74",0,9,0,40
"2,30",3,0061,JACQUARD CHEVRON DE SEDA,"R$ 344,40",0,9,0,40
"2,30",3,0063,JACQUARD CHEVRON DE SEDA,"R$ 344,40",0,9,0,40
"2,30",3,0065,GORGURÃO DE SEDA,"R$ 260,82",0,9,0,40
"2,30",3,0067,GORGURÃO DE SEDA,"R$ 260,82",0,9,0,40
"2,30",3,0272,SARJA PELETIZADA CRUA,"R$37,10",0,9,0,40
"2,30",3,0274/03,SARJA PELETIZADA COLORIDA,"R$ 39,09",0,9,0,40
"2,30",3,0274/05,SARJA PELETIZADA COLORIDA,"R$ 39,09",0,9,0,40
"2,30",3,0274/08,SARJA PELETIZADA,"R$ 39,09",0,9,0,40
"2,30",3,0274/11,SARJA PELETIZADA,"R$ 39,09",0,9,0,40
"2,30",3,0274/15,SARJA PELETIZADA,"R$ 39,09",0,9,0,40
"2,30",3,0274/17,SARJA PELETIZADA,"R$ 39,09",0,9,0,40
"2,30",3,0274/22,SARJA PELETIZADA COLORIDA,"R$ 39,09",0,9,0,40
"2,30",3,0274/28,SARJA PELETIZADA COLORIDA,"R$ 39,09",0,9,0,40
"2,30",3,0274/41,SARJA PELETIZA COLORIDA,"R$ 39,09",0,9,0,40
"2,30",3,0274/46,SARJA PELETIZA COLORIDA,"R$ 39,09",0,9,0,40
"2,30",3,0274/48,SARJA PELE,"R$ 39,09",0,9,0,40
"2,30",3,0274/51,SARJA PELE,"R$ 39,09",0,9,0,40
"2,30",3,0279/06,LONITA COLORIDA,"R$ 38,60",0,9,0,40
"2,30",3,0280/01,SARJA PESADA ESTAMPADA,"R$53,16",0,9,0,40
"2,30",3,0280/02,SARJA PESADA ESTAMPADA,"R$53,16",0,9,0,40
"2,30",3,0280/04,SARJA PESADA ESTAMPADA,"R$53,16",0,9,0,40
"2,30",3,0333,JACQUARD B/P MASCULINO,"R$162,24",0,9,0,40
"2,30",3,0740,TELA DE LINHO LISTRADA,"R$109,55",0,9,0,40
"2,30",3,0742,ESTOLCOMO TECIDO,"R$106,68",0,9,0,40
"2,30",3,0744,TELA DE LINHO MISTA,"R$ 98,28",0,9,0,40
"2,30",3,0746,TELA DE LINHO MISTA,"R$ 98,28",0,9,0,40
"2,30",3,0760/01,TELA DE LINHO LISA,"R$ 47,77",0,9,0,40
"2,30",3,0780/01,VOIL LISO METALIZADO,"R$71,64",0,9,0,40
"2,30",3,0781/01,VOIL BORDADO AMASSADO,"R$133,42",0,9,0,40
"2,30",3,0782/01,VOIL LISO METALIZADO,"R$ 68,06",0,9,0,40
"2,30",3,0783/01,VOIL BORDADO AMASSADO,"R$133,42",0,9,0,40
"2,30",3,0790,ORGANZA BORDADA,"R$133,42",0,9,0,40
"2,30",3,0792,RÚSTICO DE LINHO LISTRADO,"R$109,06",0,9,0,40
