markup,product_type,code,description,supplier_price,ipi,supplier_id,width,supplier_table_discount
"2,30",3,2865,ADAMASCADO C/ POÁ,"R$103,99",0,10,0,40
"2,30",3,2867,ADAMASCADO C/ POÁ,"R$103,99",0,10,0,40
"2,30",3,2869,ADAMASCADO LISTRADO,"R$103,99",0,10,0,40
"2,30",3,2871,ADAMASCADO LISTRADO,"R$103,99",0,10,0,40
"2,30",3,2873,SHANTUNG LISO C/ SEDA,"R$102,94",0,10,0,40
"2,30",3,2875,SHANTUNG LISO C/ SEDA,"R$102,94",0,10,0,40
"2,30",3,2900,CAMURÇA LISA DUBLADA,"R$ 72,70",0,10,0,40
"2,30",3,2902,ULTRA SUEDE LISA,"R$109,88",0,10,0,40
"2,30",3,2904,ULTRA SUEDE LISA,"R$109,88",0,10,0,40
"2,30",3,2906,ULTRA SUEDE LISA,"R$109,88",0,10,0,40
"2,30",3,2908,ULTRA SUEDE LISA,"R$109,88",0,10,0,40
"2,30",3,2910,ULTRA SUEDE LISA,"R$109,88",0,10,0,40
"2,30",3,2912,CAMURÇA TEXTURADA,"R$113,92",0,10,0,40
"2,30",3,2914,CAMURÇA TEXTURADA,"R$113,92",0,10,0,40
"2,30",3,2916,CAMURÇA TEXTURADA,"R$113,92",0,10,0,40
"2,30",3,2918,CAMURÇA TEXTURADA,"R$113,92",0,10,0,40
"2,30",3,2920,CAMURÇA TEXTURADA,"R$113,92",0,10,0,40
"2,30",3,2922,CAMURÇA TEXTURADA,"R$113,92",0,10,0,40
"2,30",3,2924,CAMURÇA,"R$ 80,80",0,10,0,40
"2,30",3,2951,CHENILLE DE VISCOSE LISO,"R$107,36",0,10,0,40
"2,30",3,2953,CHENILLE DE VISCOSE LISO,"R$107,36",0,10,0,40
"2,30",3,2955,CHENILLE DE VISCOSE LISO,"R$107,36",0,10,0,40
"2,30",3,2957,CHENILLE DE VISCOSE LISO,"R$107,36",0,10,0,40
"2,30",3,2959,CHENILLE DE VISCOSE LISO,"R$107,36",0,10,0,40
"2,30",3,2961,CHENILLE DE VISCOSE LISO,"R$107,36",0,10,0,40
"2,30",3,2963,CHENILLE DE VISCOSE LISO,"R$107,36",0,10,0,40
"2,30",3,2965,CHENILLE DE VISCOSE LISO,"R$107,36",0,10,0,40
