markup,product_type,code,description,supplier_price,ipi,supplier_id,width,supplier_table_discount
"2,3",3,0203,SHANTUNG DE SEDA LISO,"R$ 154,79",0,9,0,50
"2,3",3,0209,SHANTUNG DE SEDA LISA,"R$ 154,79",0,9,0,50
"2,3",3,0216,SHANTUNG DE SEDA LISA,"R$ 154,79",0,9,0,50
"2,3",3,0221,SHANTUNG DE SEDA,"R$ 154,79",0,9,0,50
"2,3",3,0226,SHANTUNG SEDA,"R$ 154,79",0,9,0,50
"2,3",3,0228,SHANTUNG DE SEDA,"R$ 154,79",0,9,0,50
"2,3",3,0243,SEDA RAJADA,"R$198,45",0,9,0,50
"2,3",3,0245,SEDA RAJADA,"R$198,45",0,9,0,50
"2,3",3,0247,SEDA RAJADA,"R$198,45",0,9,0,50
"2,3",3,0251,ORGANZA LISTRADA EM CHENILLE,"R$185,22",0,9,0,50
"2,3",3,0253,ORGANZA C/ BOLAS EM CHENILLE,"R$185,22",0,9,0,50
"2,3",3,0255,ORGANZA LISA FENDI,"R$ 92,61",0,9,0,50
"2,3",3,0257,DUPION FLORAL,"R$185,22",0,9,0,50
"2,3",3,0259,DUPION POIS,"R$185,22",0,9,0,50
"2,3",3,0261,DUPION POIS,"R$185,22",0,9,0,50
"2,3",3,0757/03,TELA DE LINHO LISA,"R$44,10",0,9,0,50
"2,3",3,0811/01,VOIL BORRETE,"R$51,68",0,9,0,50
"2,3",3,0821/06,VOIL LISO,"R$17,01",0,9,0,50
"2,3",3,0821/09,VOIL LISO,"R$17,01",0,9,0,50
"2,3",3,0821/17,VOIL LISO,"R$17,01",0,9,0,50
"2,3",3,1011/01,SHANTUNG DE SEDA MISTA JUDITH,"R$ 95,84",0,9,0,50
"2,3",3,1011/11,SHANTUNG DE SEDA MISTA JUDITH,"R$ 95,84",0,9,0,50
"2,3",3,1121,CHENILLE LISO DE ALGODÃO (CRU),"R$ 68,53",0,9,0,50
"2,3",3,1164,CHENILLE LISO DE VISCOSE (BG),"R$105,04",0,9,0,50
"2,3",3,1321,COURÍSSIMO (PRETO),"R$ 75,41",0,9,0,50
"2,3",3,1326,COURÍSSIMO (MARRON),"R$ 75,41",0,9,0,50
"2,3",3,1373,CHENILLE TRESSÊ (VERDE),"R$159,82",0,9,0,50
"2,3",3,1388,CHENILLE PLISSADO (BEGE),"R$132,44",0,9,0,50
"2,3",3,1410,JACQUARD ADAMASCADO LISTRADO,"R$ 92,47",0,9,0,50
"2,3",3,1506,VOIL AMASSADO LIST. BRANCO,"R$65,10",0,9,0,50
"2,3",3,1591,SHANTUNG VERDE,"R$44,10",0,9,0,50
"2,3",3,1613,CHENILLE LISTRADO,"R$185,22",0,9,0,50
"2,3",3,1638,SEDA SINTÉTICA LISA,"R$100,38",0,9,0,50
"2,3",3,1642,SEDA SINTÉTICA XADREZ,"R$100,38",0,9,0,50
"2,3",3,1644,SEDA SINTÉTICA XADREZ,"R$100,38",0,9,0,50
"2,3",3,1648,SEDA SINTÉTICA LISA,"R$100,38",0,9,0,50
"2,3",3,1651,FLORAL EM CRÚ COM LINHO,"R$109,55",0,9,0,50
"2,3",3,1653,FOLHAGEM CRÚ COM LINHO,"R$117,22",0,9,0,50
"2,3",3,1661,CHENILLE FLORAL MARRON,"R$122,85",0,9,0,50
"2,3",3,1664,FLORAL ADAMASCADO,"R$114,03",0,9,0,50
"2,3",3,1674,JACQUARD C/CIRCULOS,"R$ 72,09",0,9,0,50
"2,3",3,1677,JACQUARD FLORAL,"R$ 72,09",0,9,0,50
"2,3",3,1693,CHENILLE FLORAL ALTO RELEVO,"R$191,73",0,9,0,50
"2,3",3,1697,CHENILLE GEOMÉTRICO,"R$156,24",0,9,0,50
"2,3",3,1699,CHENILLE GEOMÉTRICO,"R$156,24",0,9,0,50
"2,3",3,1712,CHENILLE LISTRADO DE ALGODÃO,"R$51,45",0,9,0,50
"2,3",3,1715,CHENILLE LISO DE ALGODÃO,"R$ 52,50",0,9,0,50
"2,3",3,1718,CHENILLE LISO DE ALGODÃO,"R$ 52,50",0,9,0,50
"2,3",3,1740,JACQUARD ARABESCO,"R$113,24",0,9,0,50
"2,3",3,1742,JACQUARD LISTRADO,"R$113,24",0,9,0,50
"2,3",3,1744,JACQUARD ARABESCO,"R$113,24",0,9,0,50
"2,3",3,1748,CHENILLE LISTRADO,"R$109,52",0,9,0,50
"2,3",3,1901,CREPE COLORIDO,"R$41,01",0,9,0,50
"2,3",3,1905,CREPE COLORIDO,"R$41,01",0,9,0,50
"2,3",3,1911,VOIL AMASSADO COLORIDO,"R$ 35,00",0,9,0,50
"2,3",3,1914,VOIL AMASSADO COLORIDO,"R$ 26,46",0,9,0,50
"2,3",3,1916,VOIL AMASSSADO COLORIDO,"R$ 26,46",0,9,0,50
"2,3",3,1933,MICROSEDA LISA,"R$44,10",0,9,0,50
"2,3",3,1938,MICROSEDA LISA,"R$ 50,92",0,9,0,50
"2,3",3,1953,SARJA DE POLIÉSTER,"R$71,06",0,9,0,50
"2,3",3,2006,MICROSEDA AMASSADA,"R$ 40,42",0,9,0,50
"2,3",3,2008,MICROSEDA AMASSADA,"R$ 40,42",0,9,0,50
"2,3",3,2016,MICROSEDA AMASSADA,"R$ 40,42",0,9,0,50
"2,3",3,2046,TELA DE LINHO,"R$ 92,40",0,9,0,50
"2,3",3,2057,LINHO MISTO LISTRADO LARGO',"R$169,47",0,9,0,50
"2,3",3,2060,LINHO MISTO LISTRADO,"R$169,47",0,9,0,50
"2,3",3,2064,TUSSOR DE LINHO MISTO,"R$ 101,43",0,9,0,50
"2,3",3,2076,TUSSOR,"R$ 101,43",0,9,0,50
"2,3",3,2081,PANAMA DE LINHO,"R$178,63",0,9,0,50
"2,3",3,2084,PANAMA DE LINHO,"R$178,40",0,9,0,50
"2,3",3,2103,SHANTUNG LISO/ FORRAÇÃO,"R$ 97,65",0,9,0,50
"2,3",3,2111,SHANTUNG LISO/ FORRAÇÃO,"R$ 94,81",0,9,0,50
"2,3",3,2128,VOIL CRIVO,"R$ 65,49",0,9,0,50
"2,3",3,2155,TELA MISTA LISTRADA,"R$ 85,20",0,9,0,50
"2,3",3,2173,TAFETÁ SARJADO,"R$ 77,82",0,9,0,50
"2,3",3,2175,TAFETÁ SARJADO,"R$ 77,82",0,9,0,50
"2,3",3,2201,CHENILLE C/BOLAS,"R$170,42",0,9,0,50
"2,3",3,2203,CHENILLE ARABESCO,"R$158,55",0,9,0,50
"2,3",3,2209,TAJETA LISTRADO,"R$ 96,60",0,9,0,50
"2,3",3,2265,CHENILLE AVELUDADO,"R$ 85,36",0,9,0,50
"2,3",3,2269,CHENILLE AVELUDADO,"R$ 85,36",0,9,0,50
"2,3",3,2271,CHENILLE AVELUDADO,"R$ 85,36",0,9,0,50
"2,3",3,2275,CHENILLE AVELUDADO,"R$ 85,36",0,9,0,50
"2,3",3,2305,CHENILLE TRICOLOR,"R$ 111,09",0,9,0,50
"2,3",3,2321,JACQUARD FLORAL,"R$91,29",0,9,0,50
"2,3",3,2323,JACQUARD FLORAL,"R$91,29",0,9,0,50
"2,3",3,2329,JACQUARD FLORAL,"R$91,29",0,9,0,50
"2,3",3,2331,JACQUARD LISTRADO,"R$ 32,00",0,9,0,50
"2,3",3,2354,CHENILLE LIST. MULTICOLORIDO,"R$ 97,34",0,9,0,50
"2,3",3,2360,CHENILLE MULTICOLOR,"R$ 80,94",0,9,0,50
"2,3",3,2362,CHENILLE MULTICOLOR,"R$ 80,94",0,9,0,50
"2,3",3,2366,CHENILLE LISTRADO,"R$ 80,94",0,9,0,50
"2,3",3,2375,JACQUARD DE CHENILLE FLORAL,"R$ 86,52",0,9,0,50
"2,3",3,2378,JACQUARD DE CHENILLE LISTRADO,"R$ 86,52",0,9,0,50
"2,3",3,2391,TWEED,"R$ 83,22",0,9,0,50
"2,3",3,2401,CHENILLE DE VISCOSE BLOCADO,"R$ 64,89",0,9,0,50
"2,3",3,2407,CHENILLE DE VISCOSE BLOCADO,"R$ 64,89",0,9,0,50
"2,3",3,2410,RÚSTICO EM CRU,"R$ 67,79",0,9,0,50
"2,3",3,2413,RÚSTICO EM CRÚ,"R$ 64,68",0,9,0,50
"2,3",3,2450,PANAMÁ LISO EM ALGODÃO,"R$ 95,26",0,9,0,50
"2,3",3,2452,PANAMÁ LISO EM ALGODÃO,"R$ 95,26",0,9,0,50
"2,3",3,2454,PANAMÁ LISO EM ALGODÃO,"R$95,16",0,9,0,50
"2,3",3,2456,PANAMÁ LISO EM ALGODÃO,"R$ 95,26",0,9,0,50
"2,3",3,2491,RÚSTICO SARJADO,"R$113,62",0,9,0,50
"2,3",3,2501,JACQUARD DE CHENILLE COM PÓA,"R$165,38",0,9,0,50
"2,3",3,2503,JACQUARD DE CHENILLE LISTRADAS,"R$167,58",0,9,0,50
"2,3",3,2505,JACQUARD DE CHENILLE LISTRADAS,"R$167,58",0,9,0,50
"2,3",3,2508,JACQUARD DE CHENILLE FLORAL,"R$167,58",0,9,0,50
"2,3",3,2510,JACQUARD DE CHENILLE LISTRADO,"R$140,91",0,9,0,50
