markup,product_type,code,description,supplier_price,ipi,supplier_id,width,supplier_table_discount
"2,3",3,203,SHANTUNG DE SEDA LISO,"R$ 154,79",0,10,0,50
"2,3",3,209,SHANTUNG DE SEDA LISA,"R$ 154,79",0,10,0,50
"2,3",3,216,SHANTUNG DE SEDA LISA,"R$ 154,79",0,10,0,50
"2,3",3,221,SHANTUNG DE SEDA,"R$ 154,79",0,10,0,50
"2,3",3,226,SHANTUNG SEDA,"R$ 154,79",0,10,0,50
"2,3",3,228,SHANTUNG DE SEDA,"R$ 154,79",0,10,0,50
"2,3",3,243,SEDA RAJADA,"R$198,45",0,10,0,50
"2,3",3,245,SEDA RAJADA,"R$198,45",0,10,0,50
"2,3",3,247,SEDA RAJADA,"R$198,45",0,10,0,50
"2,3",3,251,ORGANZA LISTRADA EM CHENILLE,"R$185,22",0,10,0,50
"2,3",3,253,ORGANZA C/ BOLAS EM CHENILLE,"R$185,22",0,10,0,50
"2,3",3,255,ORGANZA LISA FENDI,"R$ 92,61",0,10,0,50
"2,3",3,257,DUPION FLORAL,"R$185,22",0,10,0,50
"2,3",3,259,DUPION POIS,"R$185,22",0,10,0,50
"2,3",3,261,DUPION POIS,"R$185,22",0,10,0,50
"2,3",3,0757/03,TELA DE LINHO LISA,"R$44,10",0,10,0,50
"2,3",3,0811/01,VOIL BORRETE,"R$51,68",0,10,0,50
"2,3",3,0821/06,VOIL LISO,"R$17,01",0,10,0,50
"2,3",3,0821/09,VOIL LISO,"R$17,01",0,10,0,50
"2,3",3,0821/17,VOIL LISO,"R$17,01",0,10,0,50
"2,3",3,1011/01,SHANTUNG DE SEDA MISTA JUDITH,"R$ 95,84",0,10,0,50
"2,3",3,1011/11,SHANTUNG DE SEDA MISTA JUDITH,"R$ 95,84",0,10,0,50
"2,3",3,1121,CHENILLE LISO DE ALGODÌO (CRU),"R$ 68,53",0,10,0,50
"2,3",3,1164,CHENILLE LISO DE VISCOSE (BG),"R$105,04",0,10,0,50
"2,3",3,1321,COURêSSIMO (PRETO),"R$ 75,41",0,10,0,50
"2,3",3,1326,COURêSSIMO (MARRON),"R$ 75,41",0,10,0,50
"2,3",3,1373,CHENILLE TRESSæ (VERDE),"R$159,82",0,10,0,50
"2,3",3,1388,CHENILLE PLISSADO (BEGE),"R$132,44",0,10,0,50
"2,3",3,1410,JACQUARD ADAMASCADO LISTRADO,"R$ 92,47",0,10,0,50
"2,3",3,1506,VOIL AMASSADO LIST. BRANCO,"R$65,10",0,10,0,50
"2,3",3,1591,SHANTUNG VERDE,"R$44,10",0,10,0,50
"2,3",3,1613,CHENILLE LISTRADO,"R$185,22",0,10,0,50
"2,3",3,1638,SEDA SINTƒTICA LISA,"R$100,38",0,10,0,50
"2,3",3,1642,SEDA SINTƒTICA XADREZ,"R$100,38",0,10,0,50
"2,3",3,1644,SEDA SINTƒTICA XADREZ,"R$100,38",0,10,0,50
"2,3",3,1648,SEDA SINTƒTICA LISA,"R$100,38",0,10,0,50
"2,3",3,1651,FLORAL EM CRò COM LINHO,"R$109,55",0,10,0,50
"2,3",3,1653,FOLHAGEM CRò COM LINHO,"R$117,22",0,10,0,50
"2,3",3,1661,CHENILLE FLORAL MARRON,"R$122,85",0,10,0,50
"2,3",3,1664,FLORAL ADAMASCADO,"R$114,03",0,10,0,50
"2,3",3,1674,JACQUARD C/CIRCULOS,"R$ 72,09",0,10,0,50
"2,3",3,1677,JACQUARD FLORAL,"R$ 72,09",0,10,0,50
"2,3",3,1693,CHENILLE FLORAL ALTO RELEVO,"R$191,73",0,10,0,50
"2,3",3,1697,CHENILLE GEOMƒTRICO,"R$156,24",0,10,0,50
"2,3",3,1699,CHENILLE GEOMƒTRICO,"R$156,24",0,10,0,50
"2,3",3,1712,CHENILLE LISTRADO DE ALGODÌO,"R$51,45",0,10,0,50
"2,3",3,1715,CHENILLE LISO DE ALGODÌO,"R$ 52,50",0,10,0,50
"2,3",3,1718,CHENILLE LISO DE ALGODÌO,"R$ 52,50",0,10,0,50
"2,3",3,1740,JACQUARD ARABESCO,"R$113,24",0,10,0,50
"2,3",3,1742,JACQUARD LISTRADO,"R$113,24",0,10,0,50
"2,3",3,1744,JACQUARD ARABESCO,"R$113,24",0,10,0,50
"2,3",3,1748,CHENILLE LISTRADO,"R$109,52",0,10,0,50
"2,3",3,1901,CREPE COLORIDO,"R$41,01",0,10,0,50
"2,3",3,1905,CREPE COLORIDO,"R$41,01",0,10,0,50
"2,3",3,1911,VOIL AMASSADO COLORIDO,"R$ 35,00",0,10,0,50
"2,3",3,1914,VOIL AMASSADO COLORIDO,"R$ 26,46",0,10,0,50
"2,3",3,1916,VOIL AMASSSADO COLORIDO,"R$ 26,46",0,10,0,50
"2,3",3,1933,MICROSEDA LISA,"R$44,10",0,10,0,50
"2,3",3,1938,MICROSEDA LISA,"R$ 50,92",0,10,0,50
"2,3",3,1953,SARJA DE POLIƒSTER,"R$71,06",0,10,0,50
"2,3",3,2006,MICROSEDA AMASSADA,"R$ 40,42",0,10,0,50
"2,3",3,2008,MICROSEDA AMASSADA,"R$ 40,42",0,10,0,50
"2,3",3,2016,MICROSEDA AMASSADA,"R$ 40,42",0,10,0,50
"2,3",3,2046,TELA DE LINHO,"R$ 92,40",0,10,0,50
"2,3",3,2057,LINHO MISTO LISTRADO LARGO',"R$169,47",0,10,0,50
"2,3",3,2060,LINHO MISTO LISTRADO,"R$169,47",0,10,0,50
"2,3",3,2064,TUSSOR DE LINHO MISTO,"R$ 101,43",0,10,0,50
"2,3",3,2076,TUSSOR,"R$ 101,43",0,10,0,50
"2,3",3,2081,PANAMA DE LINHO,"R$178,63",0,10,0,50
"2,3",3,2084,PANAMA DE LINHO,"R$178,40",0,10,0,50
"2,3",3,2103,SHANTUNG LISO/ FORRA‚ÌO,"R$ 97,65",0,10,0,50
"2,3",3,2111,SHANTUNG LISO/ FORRA‚ÌO,"R$ 94,81",0,10,0,50
"2,3",3,2128,VOIL CRIVO,"R$ 65,49",0,10,0,50
"2,3",3,2155,TELA MISTA LISTRADA,"R$ 85,20",0,10,0,50
"2,3",3,2173,TAFETç SARJADO,"R$ 77,82",0,10,0,50
"2,3",3,2175,TAFETç SARJADO,"R$ 77,82",0,10,0,50
