markup,product_type,code,description,supplier_price,ipi,supplier_id,width,supplier_table_discount
"2,35",3,0015/01,VELUDO LISO,"225,00",0,10,0,43
"2,35",3,0015/03,VELUDO LISO,"225,00",0,10,0,43
"2,35",3,0015/05,VELUDO LISO,"225,00",0,10,0,43
"2,35",3,0015/07,VELUDO LISO,"225,00",0,10,0,43
"2,35",3,0015/09,VELUDO LISO,"225,00",0,10,0,43
"2,35",3,0015/11,VELUDO LISO,"225,00",0,10,0,43
"2,35",3,0015/13,VELUDO LISO,"225,00",0,10,0,43
"2,35",3,0015/15,VELUDO LISO,"225,00",0,10,0,43
"2,35",3,0015/17,VELUDO DE ALGODÃO,"225,00",0,10,0,43
"2,35",3,0015/19,VELUDO DE ALGODÃO,"225,00",0,10,0,43
"2,35",3,0015/21,VELUDO DE ALGODÃO,"225,00",0,10,0,43
"2,35",3,0015/23,VELUDO LISO,"225,00",0,10,0,43
"2,35",3,0015/25,VELUDO LISO,"225,00",0,10,0,43
"2,35",3,0015/27,VELUDO LISO,"225,00",0,10,0,43
"2,35",3,0017/01,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/03,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/05,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/07,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/09,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/11,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/13,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/15,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/17,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/19,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/21,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/23,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/25,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/27,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/29,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/31,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/33,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/35,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/37,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/39,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/41,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/43,SHANTHUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/45,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/47,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/49,SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/51,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/53,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
"2,35",3,0017/55,SHANTUNG DE SEDA LISA,"192,50",0,10,0,43
