markup,product_type,code,description,supplier_price,ipi,supplier_id,width,supplier_table_discount
"2,30",3,0015/01,VELUDO LISO,"R$ 225,00",0,10,0,40
"2,30",3,0015/03,VELUDO LISO,"R$ 225,00",0,10,0,40
"2,30",3,0015/05,VELUDO LISO,"R$ 225,00",0,10,0,40
"2,30",3,0015/07,VELUDO LISO,"R$ 225,00",0,10,0,40
"2,30",3,0015/09,VELUDO LISO,"R$ 225,00",0,10,0,40
"2,30",3,0015/11,VELUDO LISO,"R$ 225,00",0,10,0,40
"2,30",3,0015/13,VELUDO LISO,"R$ 225,00",0,10,0,40
"2,30",3,0015/15,VELUDO LISO,"R$ 225,00",0,10,0,40
"2,30",3,0015/17,VELUDO DE ALGODÃO,"R$ 225,00",0,10,0,40
"2,30",3,0015/19,VELUDO DE ALGODÃO,"R$ 225,00",0,10,0,40
"2,30",3,0015/21,VELUDO DE ALGODÃO,"R$ 225,00",0,10,0,40
"2,30",3,0015/23,VELUDO LISO,"R$ 225,00",0,10,0,40
"2,30",3,0015/25,VELUDO LISO,"R$ 181,97",0,10,0,40
"2,30",3,0015/27,VELUDO LISO,"R$ 181,97",0,10,0,40
"2,30",3,0016/01,SEDA DUPION,"R$ 174,80",0,10,0,40
"2,30",3,0016/03,SEDA DUPION,"R$ 174,80",0,10,0,40
"2,30",3,0016/05,SEDA DUPION,"R$ 174,80",0,10,0,40
"2,30",3,0016/07,SEDA DUPION,"R$ 174,80",0,10,0,40
"2,30",3,0016/09,SEDA DUPION,"R$ 174,80",0,10,0,40
"2,30",3,0016/11,SEDA DUPION,"R$ 174,80",0,10,0,40
"2,30",3,0016/13,SEDA DUPION,"R$ 174,80",0,10,0,40
"2,30",3,0016/15,SEDA DUPION,"R$ 174,80",0,10,0,40
"2,30",3,0016/17,SEDA DUPION,"R$ 174,80",0,10,0,40
"2,30",3,0016/19,SEDA DUPION,"R$ 174,80",0,10,0,40
"2,30",3,0017/02,SHANTUNG DE SEDA LISA,"R$ 192,50",0,10,0,40
"2,30",3,0017/04,SHANTUNG DE SEDA LISA,"R$ 192,50",0,10,0,40
"2,30",3,0017/06,SHANTUNG DE SEDA LISA,"R$ 192,50",0,10,0,40
"2,30",3,0017/08,SHANTUNG DE SEDA LISA,"R$ 192,50",0,10,0,40
"2,30",3,0017/10,SHANTUNG DE SEDA LISA,"R$ 192,50",0,10,0,40
"2,30",3,0017/12,SHANTUNG DE SEDA LISA,"R$ 192,50",0,10,0,40
"2,30",3,0017/14,SHANTUNG DE SEDA LISA,"R$ 192,50",0,10,0,40
