markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,25",3,10400-01,TEC.TAFETA LISTRADO,0,20,"20,69","2,80",0
"2,25",3,10578-01,TEC.TAFETA LISO,0,20,"20,69","2,80",0
"2,25",3,10400-02,TEC.TAFETA LISTRADO,0,20,"20,69","2,80",0
"2,25",3,10578-02,TEC.TAFETA LISO,0,20,"20,69","2,80",0
"2,25",3,10400-04,TEC.TAFETA LISTRADO,0,20,"20,69","2,80",0
"2,25",3,10578-04,TEC.TAFETA LISO,0,20,"20,69","2,80",0
"2,25",3,10400-05,TEC.TAFETA LISTRADO,0,20,"20,69","2,80",0
"2,25",3,10676-7406,TEC.VOIL LISTRADO,0,20,"44,31","3,00",0
"2,25",3,10645-99,TEC.VOIL LISO,0,20,"44,44","3,00",0
"2,25",3,10676-7404,TEC.VOIL LISTRADO,0,20,"44,31","3,00",0
"2,25",3,10677-7408,TEC.VOIL LISO,0,20,"50,69","3,00",0
"2,25",3,10602-26,TEC.VOIL ORGANZA,0,20,"44,44","3,00",0
"2,25",3,10602-27,TEC.VOIL ORGANZA,0,20,"44,44","3,00",0
"2,25",3,10293-01,TEC. VOIL TRABALHADO,0,20,"34,03","3,00",0
"2,25",3,10293-09,TEC. VOIL TRABALHADO,0,20,"34,03","3,00",0
"2,25",3,10443-01,TEC.ORGANZA,0,20,"41,53","3,00",0
"2,25",3,10443-02,TEC.ORGANZA,0,20,"41,53","3,00",0
"2,25",3,10575-01,TEC.VOIL TRABALHADO,0,20,"31,81","3,00",0
"2,25",3,10575-09,TEC.VOIL TRABALHADO,0,20,"31,81","3,00",0
"2,25",3,10403-35,TEC.VOIL TRABALHADO,0,20,"29,17","3,00",0
"2,25",3,10404-35,TEC.VOIL TRABALHADO,0,20,"29,17","3,00",0
"2,25",3,10231-01,TEC.VOIL TRABALHADO,0,20,"29,17","3,00",0
"2,25",3,10231-12,TEC.VOIL TRABALHADO,0,20,"29,17","3,00",0
"2,25",3,10542-01,TEC.VOIL TRABALHADO,0,20,"51,39","3,00",0
"2,25",3,10542-61,TEC.VOIL TRABALHADO,0,20,"51,39","3,00",0
"2,25",3,10613-01,TEC.VOIL BOUCLE,0,20,"56,94","3,00",0
"2,25",3,10613-12,TEC.VOILBOUCLE,0,20,"56,94","3,00",0
"2,25",3,10525-01,TEC.VOILTRABALHADO,0,20,"40,14","3,00",0
"2,25",3,10526-61,TEC.VOILTRABALHADO,0,20,"29,17","3,00",0
"2,25",3,10399-01,TEC.VOILTRABALHADO,0,20,"25,69","3,00",0
"2,25",3,10399-09,TEC.VOILTRABALHADO,0,20,"25,69","3,00",0
"2,25",3,10470-01,TEC.VOILTRABALHADO,0,20,"38,19","3,00",0
"2,25",3,10470-12,TEC.VOILTRABALHADO,0,20,"38,19","3,00",0
"2,25",3,10225-01,TEC.VOILTRABALHADO,0,20,"25,69","3,00",0
"2,25",3,10225-12,TEC.VOILTRABALHADO,0,20,"25,69","3,00",0
"2,25",3,10504-01,TEC.VOILTRABALHADO,0,20,"23,61","3,00",0
"2,25",3,10504-09,TEC.VOILTRABALHADO,0,20,"23,61","3,00",0
"2,25",3,10577-01,TEC.VOILTRABALHADO,0,20,"26,25","3,00",0
"2,25",3,10577-09,TEC.VOILTRABALHADO,0,20,"26,25","3,00",0
"2,25",3,10292-01,TEC.VOILTRABALHADO,0,20,"31,81","3,00",0
"2,25",3,10292-09,TEC.VOILTRABALHADO,0,20,"31,81","3,00",0
"2,25",3,10259-1000,TEC.VOILTRABALHADO,0,20,"66,67","3,00",0
"2,25",3,10259-6001,TEC.VOILTRABALHADO,0,20,"66,67","3,00",0
"2,25",3,10474-02,TEC.VOILTRABALHADO,0,20,"62,50","3,00",0
"2,25",3,10188-01,TEC.VOILTRABALHADO,0,20,"36,81","3,00",0
"2,25",3,10188-09,TEC.VOILTRABALHADO,0,20,"36,81","3,00",0
"2,25",3,10535-01,TEC.VOILTRABALHADO,0,20,"17,36","3,00",0
"2,25",3,10535-04,TEC.VOILTRABALHADO,0,20,"17,36","3,00",0
"2,25",3,10305-11,TEC.VOILXADREZ,0,20,"35,42","3,00",0
"2,25",3,10245-35,TEC.VOILXADREZ,0,20,"25,69","3,00",0
"2,25",3,10340-01,TEC.VOILXADREZ,0,20,"22,92","3,00",0
"2,25",3,10340-09,TEC.VOILXADREZ,0,20,"22,92","3,00",0
"2,25",3,10236-01,TEC.VOILXADREZ,0,20,"12,36","3,00",0
"2,25",3,10236-09,TEC.VOILXADREZ,0,20,"12,36","3,00",0
"2,25",3,10281-01,TEC.VOILTRABALHADO,0,20,"31,81","3,00",0
"2,25",3,10281-09,TEC.VOILTRABALHADO,0,20,"31,81","3,00",0
"2,25",3,10472-01,TEC.VOILTRABALHADO,0,20,"30,42","3,00",0
"2,25",3,10472-12,TEC.VOILTRABALHADO,0,20,"30,42","3,00",0
"2,25",3,10532-01,TEC.VOILTRABALHADO,0,20,"17,92","3,00",0
"2,25",3,10532-09,TEC.VOILTRABALHADO,0,20,"17,92","3,00",0
"2,25",3,10401-03,TEC.VOILTRABALHADO,0,20,"25,69","3,00",0
"2,25",3,10401-05,TEC.VOILTRABALHADO,0,20,"25,69","3,00",0
"2,25",3,10530-01,TEC.VOILTRABALHADO,0,20,"20,69","3,00",0
"2,25",3,10530-09,TEC.VOILTRABALHADO,0,20,"20,69","3,00",0
"2,25",3,10495-01,TEC.VOILTRABALHADO,0,20,"17,64","3,00",0
"2,25",3,10495-09,TEC.VOILTRABALHADO,0,20,"17,64","3,00",0
"2,25",3,10501-01,TEC.VOILTRABALHADO,0,20,"20,14","3,00",0
"2,25",3,10501-09,TEC.VOILTRABALHADO,0,20,"20,14","3,00",0
"2,25",3,10502-01,TEC.VOILTRABALHADO,0,20,"19,31","3,00",0
"2,25",3,10502-09,TEC.VOILTRABALHADO,0,20,"19,31","3,00",0
"2,25",3,10614-01,TEC.VOILTRABALHADO,0,20,"34,03","3,00",0
"2,25",3,10614-12,TEC.VOILTRABALHADO,0,20,"34,03","3,00",0
"2,25",3,10496-01,TEC.VOILTRABALHADO,0,20,"20,14","3,00",0
"2,25",3,10496-09,TEC.VOILTRABALHADO,0,20,"20,14","3,00",0
"2,25",3,10615-01,TEC.VOILTRABALHADO,0,20,"28,47","3,00",0
"2,25",3,10615-12,TEC.VOILTRABALHADO,0,20,"28,47","3,00",0
"2,25",3,10616-01,TEC.VOILDEALGODAO,0,20,"32,22","3,00",0
"2,25",3,10616-12,TEC.VOILDEALGODAO,0,20,"32,22","3,00",0
"2,25",3,10310-01,TEC. VOIL CREPE,0,20,"43,75","3,00",0
"2,25",3,10310-11,TEC. VOIL CREPE,0,20,"43,75","3,00",0
"2,25",3,10042-01,TEC.VOIL CREPE,0,20,"24,31","3,00",0
"2,25",3,10042-09,TEC.VOIL CREPE,0,20,"24,31","3,00",0
"2,25",3,10537-01,TEC.VOILTRABALHADO,0,20,"22,08","3,00",0
"2,25",3,10537-09,TEC.VOILTRABALHADO,0,20,"22,08","3,00",0
"2,25",3,10242-01,TEC.VOILTRABALHADO,0,20,"19,72","3,00",0
"2,25",3,10242-09,TEC.VOILTRABALHADO,0,20,"19,72","3,00",0
"2,25",3,10104-01,TEC.VOIL CHIFFON,0,20,"13,75","3,00",0
"2,25",3,10104-09,TEC.VOIL CHIFFON,0,20,"13,75","3,00",0
"2,25",3,10696-01,TEC.VOILTRABALHADO,0,20,"16,67","3,00",0
"2,25",3,10696-05,TEC.VOILTRABALHADO,0,20,"16,67","3,00",0
"2,25",3,10696-90,TEC.VOILTRABALHADO,0,20,"16,67","3,00",0
"2,25",3,10696-74,TEC.VOILTRABALHADO,0,20,"16,67","3,00",0
