markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,35",3,5004,chenille liso  - liquidação ,0,1,"34,88816","1,40",40
"2,35",3,5768,voil nylon,0,1,"16,4285","3,00",40
"2,35",3,5770,filtro solar ,0,1,"19,1168","3,00",40
"2,35",3,8472,algodão liso,0,1,"71,74774","1,40",40
"2,35",3,8477,acrilico estampado,0,1,"126,23062","1,40",40
"2,35",3,8479,acrilico estampado,0,1,"128,59035","1,40",40
"2,35",3,8480,acrilico estampado,0,1,"126,23062","1,40",40
"2,35",3,8481,acrilico liso ,0,1,"99,67619","1,40",40
"2,35",3,8482,acrilico estampado,0,1,"126,23062","1,40",40
"2,35",3,8485,acrilico estampado,0,1,"126,23062","1,40",40
"2,35",3,8487,black out,0,1,"50,1816","1,40",40
"2,35",3,8646,jeans ,0,1,"47,792","1,35",40
"2,35",3,8679,rústico ,0,1,"46,5972","3,00",40
"2,35",3,8680,crepe ,0,1,"29,5713","3,00",40
"2,35",3,8812,algodão liso,0,1,"71,74774","1,40",40
"2,35",3,8817,acrilico estampado,0,1,"126,23062","1,40",40
"2,35",3,8818,acrilico estampado,0,1,"126,23062","1,40",40
"2,35",3,8819,acrilico estampado,0,1,"126,23062","1,40",40
"2,35",3,8820,acrilico estampado,0,1,"126,23062","1,40",40
"2,35",3,8821,acrilico estampado,0,1,"126,23062","1,40",40
"2,35",3,8822,acrilico estampado,0,1,"126,23062","1,40",40
"2,35",3,8851,flamê,0,1,"93,55284","1,40",40
"2,35",3,8861,linho   -  liquidação,0,1,"46,56733","1,40",40
"2,35",3,8862,linho ,0,1,"94,89699","1,40",40
"2,35",3,8863,linho   -  liquidação,0,1,"46,56733","1,40",40
"2,35",3,8875,voil amassado,0,1,"70,7919","2,70",40
"2,35",3,8876,voil amassado,0,1,"70,7919","2,70",40
"2,35",3,8877,voil listrado ,0,1,"70,7919","2,65",40
"2,35",3,8878,rústico cortina,0,1,"93,22427","2,70",40
"2,35",3,8879,rústico cortina,0,1,"112,40081","2,70",40
"2,35",3,8880,voil amassado,0,1,"82,91912","2,70",40
"2,35",3,8881,voil rústico ,0,1,"82,91912","2,70",40
"2,35",3,8882,rústico cortina,0,1,"74,52565","2,70",40
"2,35",3,8887,voil seda ,0,1,"80,29056","3,00",40
"2,35",3,8893,veludo cotelê  -  liquidação,0,1,"46,56733","1,36",40
