markup,product_type,code,description,ipi,supplier_id,supplier_price,width
2,1,9800122,CAMENGO ABACADABRA,"15,00%",1,"R$ 290,90",52 cm
2,2,9800233,CAMENGO ABACADABRA,"10,00%",1,"R$ 290,90","68,6 cm"
2,3,9810141,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90",52 cm
2,1,9810252,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90","68,6 cm"
2,1,9820130,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90","68,6 cm"
2,1,9830123,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90","68,6 cm"
2,1,9830345,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90","68,6 cm"
2,1,9840256,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90","68,6 cm"
2,1,9840370,CAMENGO ABACADABRA,"10,00%",1,"RS 490,90","68,6 cm"
2,1,9850155,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90","68,6 cm"
2,1,9850260,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90","68,6 cm"
2,1,9850365,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90","68,6 cm"
2,1,9860170,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90","68,6 cm"
2,1,9860275,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90","68,6 cm"
2,1,9860380,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90","68,6 cm"
2,1,9870185,CAMENGO ABACADABRA,"10,00%",1,"RS 490,90","68,6 cm"
2,1,9870290,CAMENGO ABACADABRA,"10,00%",1,"RS 490,90",52 cm
2,1,9870395,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90","68,6 cm"
2,1,9880121,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90",52 cm
2,1,9880232,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90",52 cm
2,1,9880343,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90",52 cm
2,1,9890125,CAMENGO ABACADABRA,"10,00%",1,"R$ 290,90",52 cm
2,1,9890230,CAMENGO ABACADABRA,"10,00%",1,"R$ 290,90",52 cm
2,1,9890335,CAMENGO ABACADABRA,"10,00%",1,"RS 290,90","68,6 cm"
2,1,9900101,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90","68,6 cm"
2,1,9900238,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90",52 cm
2,1,9910145,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90",52 cm
2,1,9910256,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90","68,6 cm"
2,1,9970140,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90",52 cm
2,1,9920254,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90",52 cm
2,1,9930119,CAMENGO ABACADABRA,"10,00%",1,"R$ 290,90",52 cm
2,1,9930228,CAMENGO ABACADABRA,"10,00%",1,"R$ 290,90",52 cm
2,1,9940112,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90",52 cm
2,1,9940258,CAMENGO ABACADABRA,"10,00%",1,"R$ 490,90",52 cm
2,1,9950101,CAMENGO ABACADABRA,"10,00%",1,"R$ 454,54",52 cm
2,1,9950233,CAMENGO ABACADABRA,"10,00%",1,"R$ 454,54",52 cm
2,1,9950324,CAMENGO ABACADABRA,"10,00%",1,"R$ 454,54",52 cm
2,1,9950445,CAMENGO ABACADABRA,"10,00%",1,"RS 454,54",52 cm
2,1,9950511,CAMENGO ABACADABRA,"10,00%",1,"R$ 454,54",52 cm
2,1,9950764,CAMENGO ABACADABRA,"10,00%",1,"RS 454,54",52 cm
2,1,9950828,CAMENGO ABACADABRA,"10,00%",1,"R$ 454,54",52 cm
2,1,9950936,CAMENGO ABACADABRA,"10,00%",1,"R$ 454,54",52 cm
2,1,9951047,CAMENGO ABACADABRA,"10,00%",1,"R$ 454,54","68,6 cm"
2,1,9951159,CAMENGO ABACADABRA,"10,00%",1,"R$ 454,54",52 cm
2,1,9951260,CAMENGO ABACADABRA,"10,00%",1,"R$ 454,54",52 cm
2,1,774137,CAMENGO ABACADABRA,"0,00%",1,"R$ 660,00",52 cm
