markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,35",3,1030,1030,0,31,100,0,30
"2,35",3,1040,1040,0,31,48,0,30
"2,35",3,1100,1100,0,31,22,0,30
"2,35",3,1115,1115,0,31,48,0,30
"2,35",3,1140,1140,0,31,51,0,30
"2,35",3,1145,1145,0,31,45,0,30
"2,35",3,1150,1150,0,31,45,0,30
"2,35",3,1155,1155,0,31,45,0,30
"2,35",3,1160,1160,0,31,45,0,30
"2,35",3,1165,1165,0,31,45,0,30
"2,35",3,1170,1170,0,31,45,0,30
"2,35",3,1175,1175,0,31,51,0,30
"2,35",3,1180,1180,0,31,59,0,30
"2,35",3,1185,1185,0,31,45,0,30
"2,35",3,1195,1195,0,31,45,0,30
"2,35",3,1200,1200,0,31,45,0,30
"2,35",3,1210,1210,0,31,45,0,30
"2,35",3,1220,1220,0,31,45,0,30
"2,35",3,1235,1235,0,31,45,0,30
"2,35",3,1270,1270,0,31,45,0,30
"2,35",3,1280,1280,0,31,65,0,30
"2,35",3,1285,1285,0,31,65,0,30
"2,35",3,1290,1290,0,31,45,0,30
"2,35",3,1295,1295,0,31,65,0,30
"2,35",3,1345,1345,0,31,65,0,30
"2,35",3,1395,1395,0,31,65,0,30
"2,35",3,1400,1400,0,31,65,0,30
"2,35",3,1405,1405,0,31,65,0,30
"2,35",3,1595,1595,0,31,65,0,30
"2,35",3,1645,1645,0,31,73,0,30
"2,35",3,1670,1670,0,31,58,0,30
"2,35",3,1675,1675,0,31,58,0,30
"2,35",3,1680,1680,0,31,58,0,30
"2,35",3,1685,1685,0,31,58,0,30
"2,35",3,1690,1690,0,31,58,0,30
"2,35",3,1695,1695,0,31,58,0,30
"2,35",3,2030,2030,0,31,101,0,30
"2,35",3,2035,2035,0,31,101,0,30
"2,35",3,2050,2050,0,31,80,0,30
"2,35",3,2080,2080,0,31,80,0,30
"2,35",3,2110,2110,0,31,80,0,30
"2,35",3,2115,2115,0,31,80,0,30
"2,35",3,2125,2125,0,31,99,0,30
"2,35",3,2130,2130,0,31,99,0,30
"2,35",3,2135,2135,0,31,99,0,30
"2,35",3,2140,2140,0,31,99,0,30
"2,35",3,2150,2150,0,31,125,0,30
"2,35",3,2155,2155,0,31,125,0,30
"2,35",3,2160,2160,0,31,125,0,30
"2,35",3,2175,2175,0,31,99,0,30
"2,35",3,2180,2180,0,31,99,0,30
"2,35",3,2230,2230,0,31,51,0,30
"2,35",3,2235,2235,0,31,51,0,30
"2,35",3,2240,2240,0,31,51,0,30
"2,35",3,2245,2245,0,31,51,0,30
"2,35",3,2260,2260,0,31,51,0,30
"2,35",3,4255,4255,0,31,141,0,30
"2,35",3,5010,5010,0,31,131,0,30
"2,35",3,5015,5015,0,31,80,0,30
"2,35",3,5100,5100,0,31,115,0,30
"2,35",3,5115,5115,0,31,369,0,30
"2,35",3,5120,5120,0,31,369,0,30
"2,35",3,5125,5125,0,31,369,0,30
"2,35",3,5130,5130,0,31,521,0,30
"2,35",3,5135,5135,0,31,521,0,30
"2,35",3,5140,5140,0,31,481,0,30
"2,35",3,5145,5145,0,31,521,0,30
"2,35",3,5150,5150,0,31,231,0,30
"2,35",3,5155,5155,0,31,99,0,30
"2,35",3,5165,5165,0,31,99,0,30
"2,35",3,5170,5170,0,31,336,0,30
"2,35",3,5175,5175,0,31,99,0,30
"2,35",3,5180,5180,0,31,99,0,30
"2,35",3,5185,5185,0,31,99,0,30
"2,35",3,5190,5190,0,31,99,0,30
"2,35",3,5195,5195,0,31,103,0,30
"2,35",3,5200,5200,0,31,103,0,30
"2,35",3,5205,5205,0,31,155,0,30
"2,35",3,5210,5210,0,31,597,0,30
"2,35",3,5215,5215,0,31,103,0,30
"2,35",3,5220,5220,0,31,208,0,30
"2,35",3,5225,5225,0,31,208,0,30
"2,35",3,5340,5340,0,31,142,0,30
"2,35",3,6000,6000,0,31,119,0,30
"2,35",3,7275,7275,0,31,72,0,30
"2,35",3,7280,7280,0,31,74,0,30
"2,35",3,7285,7285,0,31,76,0,30
"2,35",3,7290,7290,0,31,72,0,30
"2,35",3,7295,7295,0,31,46,0,30
"2,35",3,7305,7305,0,31,65,0,30
"2,35",3,7310,7310,0,31,45,0,30
"2,35",3,7315,7315,0,31,67,0,30
"2,35",3,7325,7325,0,31,92,0,30
"2,35",3,7340,7340,0,31,59,0,30
"2,35",3,7345,7345,0,31,46,0,30
"2,35",3,7365,7365,0,31,82,0,30
"2,35",3,7375,7375,0,31,62,0,30
"2,35",3,7395,7395,0,31,28,0,30
"2,35",3,7400,7400,0,31,17,0,30
"2,35",3,7415,7415,0,31,28,0,30
"2,35",3,7430,7430,0,31,92,0,30
"2,35",3,7435,7435,0,31,92,0,30
"2,35",3,7445,7445,0,31,61,0,30
"2,35",3,7455,7455,0,31,111,0,30
"2,35",3,7460,7460,0,31,79,0,30
"2,35",3,7465,7465,0,31,208,0,30
"2,35",3,7470,7470,0,31,186,0,30
"2,35",3,7485,7485,0,31,173,0,30
"2,35",3,7490,7490,0,31,152,0,30
