markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,40",2,149C,NEW WAVE(corte),"10,00%",2,"24,068",0,0
"2,40",2,163C,TRELLIS(corte),"10,00%",2,"25,784",0,0
"2,40",2,103C,ESSEX(corte),"10,00%",2,"31,603",0,0
"2,40",2,104C,PRISMA(corte),"10,00%",2,"31,603",0,0
"2,40",2,152C,COLORSTONE(corte),"10,00%",2,"30,393",0,0
"2,40",2,172C,CROSS(corte),"10,00%",2,"33,374",0,0
"2,40",2,177C,NATURAL CHARM(corte),"10,00%",2,"28,105",0,0
"2,40",2,155C,NEW TANGIERS(corte),"10,00%",2,"42,779",0,0
"2,40",2,135C,FINESSE(corte),"10,00%",2,"36,135",0,0
"2,40",2,175C,MOROCCO(corte),"10,00%",2,"52,118",0,0
"2,40",2,180C,SOFT (corte),"10,00%",2,"46,871",0,0
"2,40",2,132C,ASTRAL ANTRON(corte),"10,00%",2,"47,443",0,0
"2,40",2,192C,MISTRAL(corte),"10,00%",2,"40,436",0,0
"2,40",2,164C,OPERA(corte),"10,00%",2,"48,851",0,0
"2,40",2,182C,SENSATION SDN(corte),"10,00%",2,"76,428",0,0
"2,40",2,181C,OBSESSION SDN(corte),"10,00%",2,"113,63",0,0
"2,40",2,138C,BALTIMORE(corte),"10,00%",2,"73,315",0,0
"2,40",2,183C,LUXURY(corte),"10,00%",2,"73,315",0,0
"2,40",2,186C,DIMENSION(corte),"10,00%",2,"73,315",0,0
"2,40",2,184C,VEGAS(corte),"10,00%",2,"73,315",0,0
"2,40",2,187C,INDUNA(corte),"10,00%",2,"73,315",0,0
"2,40",2,185C,RUBIX(corte),"10,00%",2,"73,315",0,0
"2,40",2,189C,METROPOLITAN(corte),"10,00%",2,"85,393",0,0
"2,40",2,188C,TRADICION(corte),"10,00%",2,"67,705",0,0
"2,40",2,994C,PRIMERA(corte),"10,00%",2,"21,274",0,0
"2,40",2,996C,SYMPHONY(corte),"10,00%",2,"33,517",0,0
"2,40",2,912C,MARBELLA(corte),"10,00%",2,"28,402",0,0
"2,40",2,971C,XL PU(corte),"10,00%",2,"28,05",0,0
"2,40",2,973C,CLASSIC MYSTIQUE PUR(corte),"10,00%",2,"44,99",0,0
"2,40",2,972C,PEARLAZZO PUR(corte),"10,00%",2,"54,725",0,0
"2,40",2,908C,LAR'T(corte),"10,00%",2,"76,549",0,0
"2,40",2,909C,BOLERO(corte),"10,00%",2,"76,549",0,0
"2,40",2,926C,KALEYDOSCOPE(corte),"10,00%",2,"26,73",0,0
"2,40",2,980C,GRASS SUMMER(corte),"10,00%",2,"34,1",0,0
"2,40",2,981C,GRASS CAMPO(corte),"10,00%",2,"53,537",0,0
"2,40",2,988C,GRASS TEMPO(corte),"10,00%",2,"60,291",0,0
"2,40",2,979C,GRASS COUNTRY(corte),"10,00%",2,"76,406",0,0
