markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,4",2,10R,BERBERPOINT 650(rolo),"10,00%",2,"21,74",0,0
"2,4",2,20R,BERBERPOINT 920(rolo),"10,00%",2,"27,2",0,0
"2,4",2,23R,BERBERPOINT 920 TILES(rolo),"10,00%",2,"31,39",0,0
"2,4",2,100R,BRAVO(rolo),"10,00%",2,"18,18",0,0
"2,4",2,149R,NEW WAVE(rolo),"10,00%",2,"21,88",0,0
"2,4",2,163R,TRELLIS(rolo),"10,00%",2,"23,44",0,0
"2,4",2,103R,ESSEX(rolo),"10,00%",2,"28,73",0,0
"2,4",2,104R,PRISMA(rolo),"10,00%",2,"28,73",0,0
"2,4",2,152R,COLORSTONE(rolo),"10,00%",2,"27,63",0,0
"2,4",2,172R,CROSS(rolo),"10,00%",2,"30,34",0,0
"2,4",2,177R,NATURAL CHARM(rolo),"10,00%",2,"25,55",0,0
"2,4",2,155R,NEW TANGIERS(rolo),"10,00%",2,"38,89",0,0
"2,4",2,135R,FINESSE(rolo),"10,00%",2,"32,85",0,0
"2,4",2,175R,MOROCCO(rolo),"10,00%",2,"47,38",0,0
"2,4",2,180R,SOFT (rolo),"10,00%",2,"42,61",0,0
"2,4",2,132R,ASTRAL ANTRON(rolo),"10,00%",2,"43,13",0,0
"2,4",2,192R,MISTRAL(rolo),"10,00%",2,"36,76",0,0
"2,4",2,164R,OPERA(rolo),"10,00%",2,"44,41",0,0
"2,4",2,182R,SENSATION SDN(rolo),"10,00%",2,"69,48",0,0
"2,4",2,181R,OBSESSION SDN(rolo),"10,00%",2,"103,3",0,0
"2,4",2,138R,BALTIMORE(rolo),"10,00%",2,"66,65",0,0
"2,4",2,183R,LUXURY(rolo),"10,00%",2,"66,65",0,0
"2,4",2,186R,DIMENSION(rolo),"10,00%",2,"66,65",0,0
"2,4",2,184R,VEGAS(rolo),"10,00%",2,"66,65",0,0
"2,4",2,187R,INDUNA(rolo),"10,00%",2,"66,65",0,0
"2,4",2,185R,RUBIX(rolo),"10,00%",2,"66,65",0,0
"2,4",2,189R,METROPOLITAN(rolo),"10,00%",2,"77,63",0,0
"2,4",2,188R,TRADICION(rolo),"10,00%",2,"61,55",0,0
"2,4",2,34R,ASTRAL MODULAR BAC(rolo),"10,00%",2,"58,7",0,0
"2,4",2,43R,INTERLUDE(rolo),"10,00%",2,"62,73",0,0
"2,4",2,48R,MATRIX MB(rolo),"10,00%",2,"62,73",0,0
"2,4",2,55R,EQUINOX(rolo),"10,00%",2,"62,73",0,0
"2,4",2,59R,SHADOW(rolo),"10,00%",2,"65,24",0,0
"2,4",2,46R,CITY SQUARE(rolo),"10,00%",2,"57,51",0,0
"2,4",2,52R,GRADUAL (rolo),"10,00%",2,"57,51",0,0
"2,4",2,57R,MISTRAL MB(rolo),"10,00%",2,"57,65",0,0
"2,4",2,33R,COLORSTONE MB(rolo),"10,00%",2,"51,41",0,0
"2,5",2,990R,CORINA(corte),"10,00%",2,"12,99",0,0
"2,6",2,994R,PRIMERA(corte),"10,00%",2,"19,34",0,0
"2,7",2,996R,SYMPHONY(corte),"10,00%",2,"30,47",0,0
"2,8",2,912R,MARBELLA(corte),"10,00%",2,"25,82",0,0
"2,9",2,983R,SENECA CLIC(corte),"10,00%",2,"54,82",0,0
"2,10",2,985R,HARTSFIELD(corte),"10,00%",2,"46,19",0,0
"2,11",2,984R,PROVIDENCE(corte),"10,00%",2,"30,53",0,0
"2,12",2,986/987R,NEWPORT/NEWTOWN(corte),"10,00%",2,"72,45",0,0
"2,13",2,971R,XL PU(corte),"10,00%",2,"25,5",0,0
"2,14",2,973R,CLASSIC MYSTIQUE PUR(corte),"10,00%",2,"40,9",0,0
"2,15",2,972R,PEARLAZZO PUR(corte),"10,00%",2,"49,75",0,0
"2,16",2,908R,LAR'T(corte),"10,00%",2,"69,59",0,0
"2,17",2,909R,BOLERO(corte),"10,00%",2,"69,59",0,0
"2,18",2,926R,KALEYDOSCOPE(corte),"10,00%",2,"24,3",0,0
"2,19",2,980R,GRASS SUMMER(corte),"10,00%",2,31,0,0
"2,20",2,981R,GRASS CAMPO(corte),"10,00%",2,"48,67",0,0
"2,21",2,988R,GRASS TEMPO(corte),"10,00%",2,"54,81",0,0
"2,22",2,979R,GRASS COUNTRY(corte),"10,00%",2,"69,46",0,0
"2,23",2,906R,CCB Greenstep(corte),"10,00%",2,"9,64",0,0
"2,24",2,907R,CCB Extrastep(corte),"10,00%",2,"14,06",0,0
"2,25",2,905R,AIRTREAD ESPUMA ORANGE(corte),"10,00%",2,"18,74",0,0
