markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,4",2,20C,BERBERPOINT 920 (corte),"10,00%",2,"26,774",0,0
"2,4",2,103C,ESSEX (corte),"10,00%",2,"25,113",0,0
"2,4",2,104C,PRISMA (corte),"10,00%",2,"25,113",0,0
"2,4",2,132C,ASTRAL ANTRON (corte),"10,00%",2,"37,653",0,0
"2,4",2,136C,FINESSE (corte),"10,00%",2,"29,271",0,0
"2,4",2,138C,BALTIMORE  (corte),"10,00%",2,"66,165",0,0
"2,4",2,149C,NEW WAVE (corte),"10,00%",2,"19,943",0,0
"2,4",2,152C,COLORSTONE (corte),"10,00%",2,"25,179",0,0
"2,4",2,155C,NEW TANGIERS (corte),"10,00%",2,"34,661",0,0
"2,4",2,163C,TRELLIS (corte),"10,00%",2,"22,528",0,0
"2,4",2,164C,OPERA (corte),"10,00%",2,"41,855",0,0
"2,4",2,172C,CROSS (corte),"10,00%",2,"28,545",0,0
"2,4",2,175C,MOROCCO (corte),"10,00%",2,"47,014",0,0
"2,4",2,177C,NATURAL CHARM (corte),"10,00%",2,"24,068",0,0
"2,4",2,180C,SOFT COLLECTION (corte),"10,00%",2,"42,295",0,0
"2,4",2,181C,OBSESSION SDN (corte),"10,00%",2,"98,164",0,0
"2,4",2,182C,SENSATION SDN (corte),"10,00%",2,"64,251",0,0
"2,4",2,183C,LUXURY (corte),"10,00%",2,"66,165",0,0
"2,4",2,184C,VEGAS (corte),"10,00%",2,"66,165",0,0
"2,4",2,185C,RUBIX (corte),"10,00%",2,"66,165",0,0
"2,4",2,186C,DIMENSION (corte),"10,00%",2,"66,165",0,0
"2,4",2,187C,INDUNA (corte),"10,00%",2,"66,165",0,0
"2,4",2,188C,TRADICION (corte),"10,00%",2,"61,149",0,0
"2,4",2,189C,METROPOLITAN (corte),"10,00%",2,"77,066",0,0
"2,4",2,192C,MISTRAL (corte),"10,00%",2,"36,52",0,0
"2,4",2,908C,L'ART (corte),"10,00%",2,"69,234",0,0
"2,4",2,909C,BOLERO (corte),"10,00%",2,"69,234",0,0
"2,4",2,926C,KALEIDOSCOPE (corte),"10,00%",2,"25,135",0,0
"2,4",2,980C,GRAMA SINTÉTICA SUMMER (corte),"10,00%",2,"27,478",0,0
"2,4",2,981C,GRAMA SINTÉTICA CAMPO (corte),"10,00%",2,"42,845",0,0
"2,4",2,912C,MARBELLA (corte),"10,00%",2,"28,864",0,0
"2,4",2,994C,PRIMERA (corte),"10,00%",2,"21,714",0,0
"2,4",2,996C,SYMPHONY (corte),"10,00%",2,"33,968",0,0
"2,4",2,906C,CCB Greenstep (corte),"10,00%",2,"8,81",0,0
"2,4",2,907C,CCB Extrastep (corte),"10,00%",2,"12,83",0,0
"2,4",2,983C,Sêneca Clic (corte),"10,00%",2,"50,86",0,0
"2,4",2,984C,Providence (corte),"10,00%",2,"30,53",0,0
"2,4",2,985C,Hartsfield (corte),"10,00%",2,"45,1",0,0
"2,4",2,986C,Newport (corte),"10,00%",2,69,0,0
"2,4",2,987C,Newtown (corte),"10,00%",2,69,0,0
"2,4",2,971C,XL PU  (corte),"10,00%",2,"27,731",0,0
"2,4",2,973C,CLASSIC MYSTIQUE PUR (corte),"10,00%",2,"44,473",0,0
"2,4",2,972C,PEARLAZZO PUR (corte),"10,00%",2,"54,098",0,0
"2,4",2,33C,COLORSTONE MODULAR BAC (corte),"10,00%",2,"44,49",0,0
"2,4",2,34C,ASTRAL MODULAR BAC (corte),"10,00%",2,"50,8",0,0
"2,4",2,43C,INTERLUDE MODULAR BAC (corte),"10,00%",2,"54,76",0,0
"2,4",2,46C,CITY SQUARE MODULAR BAC (corte),"10,00%",2,"49,73",0,0
"2,4",2,48C,MATRIX MODULAR BAC (corte),"10,00%",2,"54,76",0,0
"2,4",2,52C,GRADUAL MODULAR BAC (corte),"10,00%",2,"50,18",0,0
"2,4",2,55C,EQUINOX MODULAR BAC (corte),"10,00%",2,"54,76",0,0
"2,4",2,57C,MISTRAL MODULAR BAC (corte),"10,00%",2,"50,39",0,0
"2,4",2,59C,SHADOW MODULAR BAC (corte),"10,00%",2,"56,98",0,0
"2,4",2,23C,BERBER POINT 920 (corte),"10,00%",2,"26,66",0,0
