markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,4",2,10R,BERBERPOINT 650 (rolo),"10,00%",2,"19,66",0,0
"2,4",2,20R,BERBERPOINT 920 (rolo),"10,00%",2,"24,34",0,0
"2,4",2,100R,BRAVO (rolo),"10,00%",2,"15,59",0,0
"2,4",2,103R,ESSEX (rolo),"10,00%",2,"22,83",0,0
"2,4",2,104R,PRISMA (rolo),"10,00%",2,"22,83",0,0
"2,4",2,132R,ASTRAL ANTRON (rolo),"10,00%",2,"34,23",0,0
"2,4",2,136R,FINESSE (rolo),"10,00%",2,"26,61",0,0
"2,4",2,138R,BALTIMORE  (rolo),"10,00%",2,"60,15",0,0
"2,4",2,149R,NEW WAVE (rolo),"10,00%",2,"18,13",0,0
"2,4",2,152R,COLORSTONE (rolo),"10,00%",2,"22,89",0,0
"2,4",2,155R,NEW TANGIERS (rolo),"10,00%",2,"31,51",0,0
"2,4",2,163R,TRELLIS (rolo),"10,00%",2,"20,48",0,0
"2,4",2,164R,OPERA (rolo),"10,00%",2,"38,05",0,0
"2,4",2,172R,CROSS (rolo),"10,00%",2,"25,95",0,0
"2,4",2,175R,MOROCCO (rolo),"10,00%",2,"42,74",0,0
"2,4",2,177R,NATURAL CHARM (rolo),"10,00%",2,"21,88",0,0
"2,4",2,180R,SOFT COLLECTION (rolo),"10,00%",2,"38,45",0,0
"2,4",2,181R,OBSESSION SDN (rolo),"10,00%",2,"89,24",0,0
"2,4",2,182R,SENSATION SDN (rolo),"10,00%",2,"58,41",0,0
"2,4",2,183R,LUXURY (rolo),"10,00%",2,"60,15",0,0
"2,4",2,184R,VEGAS (rolo),"10,00%",2,"60,15",0,0
"2,4",2,185R,RUBIX (rolo),"10,00%",2,"60,15",0,0
"2,4",2,186R,DIMENSION (rolo),"10,00%",2,"60,15",0,0
"2,4",2,187R,INDUNA (rolo),"10,00%",2,"60,15",0,0
"2,4",2,188R,TRADICION (rolo),"10,00%",2,"55,59",0,0
"2,4",2,189R,METROPOLITAN (rolo),"10,00%",2,"70,06",0,0
"2,4",2,192R,MISTRAL (rolo),"10,00%",2,"33,2",0,0
"2,4",2,908R,L'ART (rolo),"10,00%",2,"62,94",0,0
"2,4",2,909R,BOLERO (rolo),"10,00%",2,"62,94",0,0
"2,4",2,926R,KALEIDOSCOPE (rolo),"10,00%",2,"22,85",0,0
"2,4",2,980R,GRAMA SINTÄTICA SUMMER (rolo),"10,00%",2,"24,98",0,0
"2,4",2,981R,GRAMA SINTÄTICA CAMPO (rolo),"10,00%",2,"38,95",0,0
"2,4",2,912R,MARBELLA (rolo),"10,00%",2,"26,24",0,0
"2,4",2,990R,CORINA (rolo),"10,00%",2,"13,26",0,0
"2,4",2,994R,PRIMERA (rolo),"10,00%",2,"19,74",0,0
"2,4",2,996R,SYMPHONY (rolo),"10,00%",2,"30,88",0,0
"2,4",2,971R,XL PU  (rolo),"10,00%",2,"25,21",0,0
"2,4",2,973R,CLASSIC MYSTIQUE PUR (rolo),"10,00%",2,"40,43",0,0
"2,4",2,972R,PEARLAZZO PUR (rolo),"10,00%",2,"49,18",0,0
