markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,40",6,RC-004/006,PLACAS DE COURO,0,26,771,0,50
"2,40",6,RC-017/006,PLACAS DE COURO RELEVO CêRCULOS,0,26,1219,0,50
"2,40",6,RC-027/014,REVESTIMENTO DE CHIFRE COM OU SEM MDF,0,26,5999,0,50
"2,40",6,RC-027/040,REVESTIMENTO DE CHIFRE COM MDF,0,26,5999,0,50
"2,40",6,RC-027/053,REVESTIMENTO DE CHIFRE COM MDF,0,26,5999,0,50
"2,40",6,RC-027/099,REVESTIMENTO DE CHIFRE COM MDF,0,26,5687,0,50
"2,40",6,RC-027/100,REVESTIMENTO DE OSSO COM OU SEM MDF,0,26,5687,0,50
"2,40",6,RC-027/153,REVESTIMENTO DE CHIFRE COM MDF,0,26,5687,0,50
"2,40",6,RC-028/095,REVESTIMENTO DE OSSO CINZA COM MDF,0,26,5999,0,50
"2,40",6,RC-031/006,REVESTIMENTO DE COURO COM MDF,0,26,1058,0,50
"2,40",6,RC-032/014,PLACA PARA REVESTIMENTO EM CHIFRE,0,26,301,0,50
"2,40",6,RC-032/040,PLACA PARA REVESTIMENTO EM CHIFRE,0,26,301,0,50
"2,40",6,RC-032/099,PLACA PARA REVESTIMENTO EM CHIFRE,0,26,301,0,50
"2,40",6,RC-032/153,PLACA PARA REVESTIMENTO EM CHIFRE,0,26,301,0,50
"2,40",6,RC-033/095,PLACA PARA REVESTIMENTO EM OSSO CINZA,0,26,321,0,50
"2,40",6,RC-033/100,PLACA PARA REVESTIMENTO EM OSSO,0,26,301,0,50
"2,40",6,RC-036/006,PLACAS DE COURO COM PAPEL’O,0,26,944,0,50
"2,40",6,RC-046/006,PLACAS DE TECIDO OU COURO COM PAPEL’O E ESPUMA,0,26,503,0,50
"2,40",6,RC-047/006,PLACAS DE CAMUR‰A COM PAPEL’O E ESPUMA,0,26,1211,0,50
"2,40",6,RC-050/006,PLACA DE PELE BOVINA EXÓTICA OU LISA,0,26,1388,0,50
"2,40",6,RC-057/006,PLACA DE PELE BOVINA,0,26,2137,0,50
"2,40",6,RC-060/006,PLACA DE COURO RELEVO RELEVOS,0,26,1220,0,50
