markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,40",3,SE-024/002,SEDA LINEA,0,26,195,0,50
"2,40",3,SE-024/004,SEDA LINEA,0,26,195,0,50
"2,40",3,SE-056/002,SEDA REMUç,0,26,330,0,50
"2,40",3,SE-056/012,SEDA REMUç,0,26,330,0,50
"2,40",3,SE-058/002,SEDA DUPIONE,0,26,271,0,50
"2,40",3,SE-058/008,SEDA DUPIONE,0,26,271,0,50
"2,40",3,SE-058/031,SEDA DUPIONE,0,26,271,0,50
"2,40",3,SE-058/044,SEDA DUPIONE,0,26,271,0,50
"2,40",3,SE-058/099,SEDA DUPIONE,0,26,271,0,50
"2,40",3,SE-058/116,SEDA DUPIONE,0,26,271,0,50
"2,40",3,SE-058/204,SEDA DUPIONE,0,26,271,0,50
"2,40",3,SE-068/008,SEDA TELA,0,26,199,0,50
"2,40",3,SE-068/011,SEDA TELA,0,26,199,0,50
"2,40",3,SE-073/002,SEDA VOLTAIRE,0,26,149,0,50
"2,40",3,SE-073/095,SEDA VOLTAIRE,0,26,149,0,50
"2,40",3,SE-073/098,SEDA VOLTAIRE,0,26,149,0,50
"2,40",3,SE-081/002,ORGANZA TIFFANY,0,26,156,0,50
"2,40",3,SE-083/002,SEDA WIND,0,26,430,0,50
"2,40",3,SE-084/055,SEDA TARCILA,0,26,289,0,50
"2,40",3,SE-090/002,SEDA MYSORE,0,26,170,0,50
"2,40",3,SE-096/002,SEDA SAFARI,0,26,160,0,50
"2,40",3,SE-119/002,SEDA PREMIER,0,26,435,0,50
"2,40",3,SE-119/008,SEDA PREMIER,0,26,435,0,50
"2,40",3,SE-122/003,SEDA RAFFIA,0,26,225,0,50
"2,40",3,SE-127/002,SEDA VICTORIA,0,26,225,0,50
"2,40",3,SE-128/002,SEDA VERANO,0,26,315,0,50
"2,40",3,SE-128/004,SEDA VERANO,0,26,315,0,50
"2,40",3,SE-182/002,SEDA ERBA,0,26,274,0,50
"2,40",3,SE-186/091,SEDA MAQUINÄ,0,26,370,0,50
"2,40",3,SE-198/004,SEDA SPOLE,0,26,323,0,50
"2,40",3,SE-243/002,SEDA REALE,0,26,224,0,50
"2,40",3,SE-268/001,SEDA PORTINARI,0,26,442,0,50
"2,40",3,SE-268/002,SEDA PORTINARI,0,26,442,0,50
"2,40",3,SE-268/008,SEDA PORTINARI,0,26,442,0,50
"2,40",3,SE-268/078,SEDA PORTINARI,0,26,442,0,50
"2,40",3,SE-274/001,SEDA AMARIS,0,26,385,0,50
"2,40",3,SE-274/020,SEDA AMARIS,0,26,385,0,50
"2,40",3,SE-274/094,SEDA AMARIS,0,26,385,0,50
"2,40",3,SE-279/001,SEDA SEGALL,0,26,242,0,50
"2,40",3,SE-279/002,SEDA SEGALL,0,26,242,0,50
"2,40",3,SE-279/012,SEDA SEGALL,0,26,242,0,50
"2,40",3,SE-285/044,SEDA AVIS,0,26,377,0,50
"2,40",3,SE-298/008,ORGANZA ECKHOUT - DESENHO GRANDE,0,26,325,0,50
"2,40",3,SE-334/089,SEDA TIE DYE,0,26,220,0,50
"2,40",3,SE-334/098,SEDA TIE DYE,0,26,220,0,50
"2,40",3,SE-337/002,DIWAN-E-KHAS,0,26,762,0,50
"2,40",3,SE-338/045,SEDA IKAT,0,26,598,0,50
"2,40",3,SE-338/078,SEDA IKAT,0,26,598,0,50
"2,40",3,SE-339/004,DESERT SAND,0,26,495,0,50
"2,40",3,SE-339/163,DESERT SAND,0,26,495,0,50
"2,40",3,SE-341/092,SEDA TWEED,0,26,276,0,50
"2,40",3,SE-342/002,SEDA BALIA,0,26,390,0,50
"2,40",3,SE-342/092,SEDA BALIA,0,26,390,0,50
"2,40",3,SE-342/095,SEDA BALIA,0,26,390,0,50
"2,40",3,SE-343/096,SEDA DUBBAI,0,26,640,0,50
"2,40",3,SE-344/002,SEDA BIELLA,0,26,175,0,50
"2,40",3,SE-344/004,SEDA BIELLA,0,26,175,0,50
"2,40",3,SE-354/092,SEDA FERRARI,0,26,207,0,50
"2,40",3,SE-356/002,SEDA REMUç 2,0,26,242,0,50
"2,40",3,SE-356/045,SEDA REMUç 2,0,26,242,0,50
"2,40",3,SE-356/200,SEDA REMUç 2,0,26,242,0,50
"2,40",3,AL-107/001,CETIM BOMARIA,0,26,140,0,50
"2,40",3,AL-107/002,CETIM BOMARIA,0,26,140,0,50
"2,40",3,AL-110/002,GORGORíO ALBIZIA,0,26,185,0,50
"2,40",3,AL-114/002,JACQUARD LICANIA,0,26,188,0,50
