markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"1,20",2,TS-200/002,T. DE SISAL CORDA,0,26,304,0,50
"1,20",2,TS-200/099,T. DE SISAL CORDA,0,26,304,0,50
"1,20",2,TS-200/145,T. DE SISAL CORDA,0,26,304,0,50
"1,20",2,TS-401/012,T. DE SISAL,0,26,253,0,50
"1,20",2,TS-402/096,T. DE SISAL,0,26,253,0,50
"1,20",2,TS-403/045,T. DE SISAL,0,26,253,0,50
"1,20",2,TP-503/001,T.PELE DEVON,0,26,1066,0,50
"1,20",2,TP-503/010,T.PELE DEVON,0,26,1066,0,50
"1,20",2,TP-503/012,T.PELE DEVON,0,26,1066,0,50
"1,20",2,TP-503/040,T.PELE DEVON,0,26,1066,0,50
"1,20",2,TP-503/099,T.PELE DEVON,0,26,1066,0,50
"1,20",2,TP-600/002,T. PELE LEQUE,0,26,1897,0,50
"1,20",2,TP-600/040,T. PELE LEQUE,0,26,1897,0,50
"1,20",2,TP-600/044,T. PELE LEQUE,0,26,1897,0,50
"1,20",2,TP-600/099,T. PELE LEQUE,0,26,1897,0,50
"1,20",2,TP-610/029,T. PELE ZEBRA,0,26,1701,0,50
"1,20",2,TP-610/099,T. PELE ZEBRA,0,26,1701,0,50
"1,20",2,TP-620/001,T. PELE TRAMADO,0,26,1701,0,50
"1,20",2,TP-620/012,T. PELE TRAMADO,0,26,1701,0,50
"1,20",2,TP-620/037,T. PELE TRAMADO,0,26,1701,0,50
"1,20",2,TP-630/092,T. PELE RETRO,0,26,1435,0,50
"1,20",2,TP-630/141,T. PELE RETRO,0,26,1435,0,50
"1,20",2,TP-631/001,T. PELE TIRAS,0,26,872,0,50
"1,20",2,TP-631/012,T. PELE TIRAS,0,26,872,0,50
"1,20",2,TP-631/044,T. PELE TIRAS,0,26,872,0,50
"1,20",2,TP-631/095,T. PELE TIRAS,0,26,872,0,50
"1,20",2,TP-632/096,T. PELE ARRAIA,0,26,1435,0,50
"1,20",2,TP-701/012,T. PELE PIRç,0,26,1701,0,50
"1,20",2,TP-701/029,T. PELE PIRç,0,26,1701,0,50
"1,20",2,TP-701/099,T. PELE PIRç,0,26,1701,0,50
"1,20",2,TP-701/171,T. PELE PIRç,0,26,1701,0,50
"1,20",2,TP-814/001,T. MANZO RETANGULAR,0,26,1708,0,50
"1,20",2,TP-814/010,T. MANZO RETANGULAR,0,26,1708,0,50
"1,20",2,TP-814/012,T. MANZO RETANGULAR,0,26,1708,0,50
"1,20",2,TP-814/037,T. MANZO RETANGULAR,0,26,1708,0,50
"1,20",2,TP-814/044,T. MANZO RETANGULAR,0,26,1708,0,50
"1,20",2,TP-814/095,T. MANZO RETANGULAR,0,26,1708,0,50
"1,20",2,TP-814/099,T. MANZO RETANGULAR,0,26,1708,0,50
"1,20",2,TP-820/001,T. MANZO,0,26,1435,0,50
"1,20",2,TP-820/010,T. MANZO,0,26,1232,0,50
"1,20",2,TP-820/012,T. MANZO,0,26,1435,0,50
"1,20",2,TP-820/037,T. MANZO,0,26,1232,0,50
"1,20",2,TP-820/044,T. MANZO,0,26,1232,0,50
"1,20",2,TP-820/095,T. MANZO,0,26,1232,0,50
"1,20",2,TP-820/099,T. MANZO,0,26,1232,0,50
"1,20",2,TP-826/006,T. PELE MANZO,0,26,1001,0,50
"1,20",2,TP-827/006,T. PELE MANZO,0,26,887,0,50
"1,20",2,TL-050/097,T.LÌ CREOLE,0,26,909,0,50
"1,20",2,TL-050/107,T.LÌ CREOLE,0,26,909,0,50
"1,20",2,TL-085/004,T.LÌ CUERA,0,26,2137,0,50
"1,20",2,TT-003/032,T. COURO ONDAS,0,26,1297,0,50
"1,20",2,TT-003/037,T. COURO ONDAS,0,26,1297,0,50
"1,20",2,TT-087/045,T.TEAR MAKUNA,0,26,743,0,50
"1,20",2,TT-095/097,T. TEAR GALLIATO,0,26,934,0,50
"1,20",2,TT-240/008,T. KAETƒ,0,26,1232,0,50
"1,20",2,TT-240/177,T. KAETƒ,0,26,1232,0,50
"1,20",2,TT-252/008,T. LISO KAETƒ,0,26,1098,0,50
"1,20",2,TT-253/002,T. TEAR KAMÌ,0,26,1285,0,50
"1,20",2,TT-253/008,T. TEAR KAMÌ,0,26,1285,0,50
"1,20",2,TT-350/095,T. FIO DE SEDA,0,26,2224,0,50
"1,20",2,TT-360/002,T.TEAR MURICI,0,26,585,0,50
"1,20",2,TT-370/158,T.TEAR KURÌ,0,26,557,0,50
"1,20",2,TT-374/002,T.TEAR AREIAS,0,26,752,0,50
"1,20",2,TT-374/095,T.TEAR AREIAS,0,26,752,0,50
"1,20",2,TT-374/130,T.TEAR AREIAS,0,26,752,0,50
"1,20",2,TT-374/173,T.TEAR AREIAS,0,26,752,0,50
"1,20",2,TT-375/095,T.TEAR TARUMÌ,0,26,791,0,50
"1,20",2,TT-380/095,T. SOFT,0,26,928,0,50
"1,20",2,TT-381/141,T. TEAR PAYTç,0,26,579,0,50
"1,20",2,TT-382/047,T. TEAR ACAIA,0,26,567,0,50
"1,20",2,TT-383/145,T. TEAR TIMBî MESCLA,0,26,813,0,50
"1,20",2,TT-384/078,T. TEAR TIMBî,0,26,672,0,50
"1,20",2,TT-384/091,T. TEAR TIMBî,0,26,672,0,50
"1,20",2,TT-384/141,T. TEAR TIMBî,0,26,672,0,50
"1,20",2,TT-384/182,T. TEAR TIMBî,0,26,672,0,50
"1,20",2,TT-384/191,T. TEAR TIMBî,0,26,672,0,50
"1,20",2,TT-385/095,T. TEAR LISTRAS,0,26,724,0,50
"1,20",2,TT-386/091,T. TEAR KILIN,0,26,689,0,50
"1,20",2,TT-387/095,T. TEAR KILIN SISAL,0,26,745,0,50
"1,20",2,TT-388/008,T. TEAR KAETƒ MESCLA,0,26,771,0,50
"1,20",2,TT-388/078,T. TEAR KAETƒ MESCLA,0,26,771,0,50
"1,20",2,TT-388/095,T. TEAR KAETƒ MESCLA,0,26,771,0,50
"1,20",2,TT-389/002,T. TEAR JABUTI,0,26,766,0,50
"1,20",2,TT-389/095,T. TEAR JABUTI,0,26,766,0,50
"1,20",2,TT-389/111,T. TEAR JABUTI,0,26,766,0,50
"1,20",2,TT-390/091,T. TEAR KILIN CHEN,0,26,728,0,50
"1,20",2,TT-392/002,T. TEAR  HIMALIA,0,26,813,0,50
"1,20",2,TT-393/002,T. TEAR  KILIN MESCLA,0,26,617,0,50
"1,20",2,TT-395/002,T. TEAR TOGLIE,0,26,724,0,50
"1,20",2,TT-496/097,T.TEAR POLGETO,0,26,464,0,50
"1,20",2,TT-570/109,T. TEAR,0,26,682,0,50
"1,20",2,TT-590/091,T. TEAR,0,26,682,0,50
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
