markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,40",3,SE-024/002,SEDA LINEA,0,26,195,0,50
"2,40",3,SE-024/004,SEDA LINEA,0,26,195,0,50
"2,40",3,SE-058/002,SEDA DUPIONE,0,26,236,0,50
"2,40",3,SE-058/008,SEDA DUPIONE,0,26,236,0,50
"2,40",3,SE-058/031,SEDA DUPIONE,0,26,236,0,50
"2,40",3,SE-058/044,SEDA DUPIONE,0,26,236,0,50
"2,40",3,SE-058/099,SEDA DUPIONE,0,26,236,0,50
"2,40",3,SE-058/116,SEDA DUPIONE,0,26,236,0,50
"2,40",3,SE-058/204,SEDA DUPIONE,0,26,236,0,50
"2,40",3,SE-068/008,SEDA TELA,0,26,199,0,50
"2,40",3,SE-068/011,SEDA TELA,0,26,199,0,50
"2,40",3,SE-081/002,ORGANZA TIFFANY,0,26,156,0,50
"2,40",3,SE-083/002,SEDA WIND,0,26,430,0,50
"2,40",3,SE-084/055,SEDA TARCILA,0,26,289,0,50
"2,40",3,SE-096/002,SEDA SAFARI,0,26,160,0,50
"2,40",3,SE-119/002,SEDA PREMIER,0,26,435,0,50
"2,40",3,SE-119/008,SEDA PREMIER,0,26,435,0,50
"2,40",3,SE-122/003,SEDA RAFFIA,0,26,225,0,50
"2,40",3,SE-127/002,SEDA VICTORIA,0,26,225,0,50
"2,40",3,SE-128/002,SEDA VERANO,0,26,315,0,50
"2,40",3,SE-128/004,SEDA VERANO,0,26,315,0,50
"2,40",3,SE-182/002,SEDA ERBA,0,26,274,0,50
"2,40",3,SE-186/091,SEDA MAQUINÉ,0,26,370,0,50
"2,40",3,SE-198/004,SEDA SPOLE,0,26,323,0,50
"2,40",3,SE-274/001,SEDA AMARIS,0,26,395,0,50
"2,40",3,SE-274/020,SEDA AMARIS,0,26,395,0,50
"2,40",3,SE-274/094,SEDA AMARIS,0,26,395,0,50
"2,40",3,SE-279/012,SEDA SEGALL,0,26,242,0,50
"2,40",3,SE-285/044,SEDA AVIS,0,26,377,0,50
"2,40",3,SE-298/008,ORGANZA ECKHOUT - DESENHO GRANDE,0,26,325,0,50
"2,40",3,SE-337/002,DIWAN-E-KHAS,0,26,762,0,50
"2,40",3,SE-338/045,SEDA IKAT,0,26,598,0,50
"2,40",3,SE-338/078,SEDA IKAT,0,26,598,0,50
"2,40",3,SE-339/004,DESERT SAND,0,26,495,0,50
"2,40",3,SE-339/163,DESERT SAND,0,26,495,0,50
"2,40",3,SE-341/092,SEDA TWEED,0,26,276,0,50
"2,40",3,SE-342/002,SEDA BALIA,0,26,391,0,50
"2,40",3,SE-342/092,SEDA BALIA,0,26,391,0,50
"2,40",3,SE-342/095,SEDA BALIA,0,26,391,0,50
"2,40",3,SE-353/092,SEDA ELLA,0,26,160,0,50
"2,40",3,SE-354/092,SEDA FERRARI,0,26,207,0,50
"2,40",3,SE-356/002,SEDA REMUÁ,0,26,259,0,50
"2,40",3,SE-356/045,SEDA REMUÁ 2,0,26,242,0,50
"2,40",3,SE-356/200,SEDA REMUÁ,0,26,259,0,50
"2,40",3,LI-119/009,LINHO BARROCO,0,26,184,0,50
"2,40",3,LI-119/095,LINHO BARROCO,0,26,184,0,50
"2,40",3,LI-145/045,LINHO CIPÓS,0,26,170,0,50
"2,40",3,LI-146/107,LINHO CARAÍVA,0,26,170,0,50
"2,40",3,LI-150/002,LINHO RIGATTO,0,26,108,0,50
"2,40",3,LI-151/001,LINHO SUBLIME,0,26,195,0,50
"2,40",3,LI-152/073,LINHO MOON,0,26,215,0,50
"2,40",3,LI-152/077,LINHO MOON,0,26,215,0,50
"2,40",3,LI-152/080,LINHO MOON,0,26,215,0,50
"2,40",3,LI-152/089,LINHO MOON,0,26,215,0,50
"2,40",3,LI-152/093,LINHO MOON,0,26,215,0,50
"2,40",3,LI-152/095,LINHO MOON,0,26,215,0,50
"2,40",3,LI-152/141,LINHO MOON,0,26,215,0,50
"2,40",3,LI-153/002,LINHO SKY,0,26,92,0,50
"2,40",3,LI-154/002,LINHO PAPIRO,0,26,96,0,50
"2,40",3,LI-154/008,LINHO PAPIRO,0,26,96,0,50
"2,40",3,LI-155/096,LINHO MALTA,0,26,296,0,50
"2,40",3,LI-156/093,LINHO BALANCE,0,26,264,0,50
"2,40",3,LI-156/095,LINHO BALANCE,0,26,264,0,50
"2,40",3,LI-157/048,LINHO DUO,0,26,195,0,50
"2,40",3,LI-157/096,LINHO DUO,0,26,195,0,50
"2,40",3,LI-158/002,LINHO GALES,0,26,283,0,50
