markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,25",3,1000,VOIL ACRE,0,3,"52,87","2,9","28,75"
"2,25",3,1001,VOIL ALAGOAS,0,3,"40,17","2,8","28,75"
"2,25",3,1004,BOURRETE BAHIA,0,3,"55,52","2,8","28,75"
"2,25",3,1007,BORDADO GOIAS,0,3,"72,36","2,7","28,75"
"2,25",3,1013,BLACK OUT IMP,0,3,"24,31","1,4","28,75"
"2,25",3,1014,BOURRETE DE SEDA PERNANBUCO,0,3,"31,79",3,"28,75"
"2,25",3,1015,BOUCLET PIAUI,0,3,"39,99",3,"28,75"
"2,25",3,1016,VOIL PARANA,0,3,"38,27","2,75","28,75"
"2,25",3,1017,VOIL RIO DE JANEIRO,0,3,"35,21","2,75","28,75"
"2,25",3,1018,VOIL RIO GRANDE DO NORTE,0,3,"36,6","2,75","28,75"
"2,25",3,1021,VEDA LUZ DUPLA FACE,0,3,"13,87","1,4","28,75"
"2,25",3,1022,VOIL SANTA CATARINA,0,3,"36,6","2,75","28,75"
"2,25",3,1024,CASCA DE ARVORE,0,3,"15,08",3,"28,75"
"2,25",3,1026,FORRO,0,3,"11,55",3,"28,75"
"2,25",3,1027,VOIL CREPE,0,3,"22,45",3,"28,75"
"2,25",3,1028,VOIL XADREZ,0,3,"24,8",3,"28,75"
"2,25",3,1029,VOIL ANARRUGA,0,3,"27,75",3,"28,75"
"2,25",3,1030,VOIL ZADREZ,0,3,"21,69",3,"28,75"
"2,25",3,1031,VOIL SUIÇO,0,3,"18,88",3,"28,75"
"2,25",3,1032,VOIL ESTAMPADO,0,3,"11,1","1,5","28,75"
"2,25",3,1033,LINHO LISO,0,3,"43,88",3,"28,75"
"2,25",3,1035,CETIM LISO,0,3,"16,08",3,"28,75"
"2,25",3,1036,LISTADO RIO BRANCO,0,3,"28,62",3,"28,75"
"2,25",3,1039,VOIL MACAPA,0,3,"34,85",3,"28,75"
"2,25",3,1041,JUTA SALVADOR,0,3,"44,02","2,95","28,75"
"2,25",3,1042,RUSTICO FORTALEZA,0,3,"29,72","2,95","28,75"
"2,25",3,1043,BLACK OUT COLORS,0,3,"30,41","1,5","28,75"
"2,25",3,1044,VOIL FLAME VITORIA,0,3,"29,58",3,"28,75"
"2,25",3,1047,VOIL BELO HORIZONTE,0,3,"53,39",3,"28,75"
"2,25",3,1048,VOIL XADREZ CUIABA,0,3,"29,75",3,"28,75"
"2,25",3,1051,FLAME RECIFE,0,3,"45,04",3,"28,75"
"2,25",3,1052,VOIL BOTONE TEREZINA,0,3,"29,03",3,"28,75"
"2,25",3,1053,VOIL CURITIBA,0,3,"44,22",3,"28,75"
"2,25",3,1054,VOIL NATAL,0,3,"19,8",3,"28,75"
"2,25",3,1055,BOURRETE PORTO VELHO,0,3,"33,81",3,"28,75"
"2,25",3,1056,BOURRETE BOA VISTA,0,3,"45,43",3,"28,75"
"2,25",3,1058,TAFETA FLORIANOPOLIS,0,3,"35,04","2,75","28,75"
"2,25",3,1059,VOIL XADREZ ARACAJU,0,3,"17,43",3,"28,75"
"2,25",3,1060,GABARDINE,0,3,"29,87",3,"28,75"
"2,25",3,1061,VOIL PALMAS,0,3,"39,15",3,"28,75"
