markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,36",1,ABBY ROSE I,ABBY ROSE I,0,5,112,"0,50",0
"2,36",1,CHRISTEL,CHRISTEL,0,5,158,"0,50",0
"2,36",1,SMART STRIPES,SMART STRIPES,0,5,158,"0,50",0
"2,36",1,TRIANON 2015,TRIANON 2015,0,5,158,"0,50",0
"2,36",1,FACTORY,FACTORY,0,5,158,"0,50",0
"2,36",1,SEDUCTION 2015,SEDUCTION 2015,0,5,158,"0,50",0
"2,36",1,STRIPES,STRIPES,0,5,141,"0,50",0
"2,36",1,DAMASKE 2,DAMASKE 2,0,5,141,"0,50",0
"2,36",1,LA BOHEME,LA BOHEME,0,5,141,"0,50",0
"2,36",1,ROSE GARDEN,ROSE GARDEN,0,5,141,"0,50",0
"2,36",1,GIRLS RULE,GIRLS RULE,0,5,144,"0,50",0
"2,36",1,INSPIRE,INSPIRE,0,5,141,"0,50",0
"2,36",1,BARBARA BECKER,BARBARA BECKER,0,5,141,"0,50",0
"2,36",1,CHEEKY MONKEYS,CHEEKY MONKEYS,0,5,121,"0,50",0
"2,36",1,YORK KIDS IV,YORK KIDS IV,0,5,144,"0,50",0
"2,36",1,STRICLY STRIPES,STRICLY STRIPES,0,5,69,"0,50",0
"2,36",1,STRIPES & DAMASK,STRIPES & DAMASK,0,5,69,"0,50",0
"2,36",1,EN VOGUE,EN VOGUE,0,5,69,"0,50",0
"2,36",1,NOVAMUR,NOVAMUR,0,5,69,"0,50",0
"2,36",1,ROOM MATES,ROOM MATES,0,5,40,"0,50",0
"2,36",1,HOME STICKERS,HOME STICKERS,0,5,40,"0,50",0
"2,36",1,TUXEDO,TUXEDO,0,5,104,"0,50",0
"2,36",1,BLACK WHITE I,BLACK WHITE I,0,5,104,"0,50",0
"2,36",1,PORTS OF CALL,PORTS OF CALL,0,5,121,"0,50",0
"2,36",1,TRIANON,TRIANON,0,5,121,"0,50",0
"2,36",1,TEXTURE STYLE,TEXTURE STYLE,0,5,121,"0,50",0
"2,36",1,NUBUK,NUBUK,0,5,121,"0,50",0
"2,36",1,"PALHA ORIENTAL GRUPO A, B e C","PALHA ORIENTAL GRUPO A, B e C",0,5,282,"0,50",0
"2,36",1,"PALHA ORIENTAL GRUPO D, E e F","PALHA ORIENTAL GRUPO D, E e F",0,5,311,"0,50",0
"2,36",1,HAVEN,HAVEN,0,5,158,"0,50",0
"2,36",1,FEEL GOOD,FEEL GOOD,0,5,158,"0,50",0
"2,36",1,MARTIVISSER,MARTIVISSER,0,5,158,"0,50",0
"2,36",1,18 KARAT II,18 KARAT II,0,5,188,"0,50",0
"2,36",1,ELEMENTS,ELEMENTS,0,5,158,"0,50",0
"2,36",1,GLAMOUR,GLAMOUR,0,5,158,"0,50",0
"2,36",1,AFRICAN QUEEN 2014,AFRICAN QUEEN 2014,0,5,158,"0,50",0
"2,36",1,BLACK WHITE II,BLACK WHITE II,0,5,141,"0,50",0
"2,36",1,NATURAL INSTINCT,NATURAL INSTINCT,0,5,141,"0,50",0
"2,36",1,SIMPLY SILKS,SIMPLY SILKS,0,5,132,"0,50",0
"2,36",1,PUNCH,PUNCH,0,5,132,"0,50",0
"2,36",1,ABBY ROSE II,ABBY ROSE II,0,5,141,"0,50",0
"2,36",1,STRIKE,STRIKE,0,5,141,"0,50",0
"2,36",1,WALLTON,WALLTON,0,5,107,"0,50",0
"2,36",1,PRETTY PRINTS 3,PRETTY PRINTS 3,0,5,141,"0,50",0
