markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,20",1,DGP198,Bindu,0,19,272,0,40
"2,20",1,DGP199,Shamsa,0,19,370,0,40
"2,20",1,DGP200,Padma,0,19,272,0,40
"2,20",1,DGP202,Kalamkari,0,19,370,0,40
"2,20",1,DGP203,Jali,0,19,370,0,40
"2,20",1,DGP204,Kusumam Border,0,19,370,0,40
"2,20",1,DGP205,Starbright,0,19,220,0,40
"2,20",1,DGP209,Checkmate,0,19,250,0,40
"2,20",1,DGP212,Cock-A-Doodle Border,0,19,353,0,40
"2,20",1,DGP213,Yankee Doodle Border,0,19,128,0,40
"2,20",1,DGP215,Spotty Border,0,19,128,0,40
"2,20",1,DGP216,Kala,0,19,272,0,40
"2,20",1,DGP217,Jhati,0,19,272,0,40
"2,20",1,DGP219,Ajanta,0,19,234,0,40
"2,20",1,DGP220,Lin-Yi,0,19,272,0,40
"2,20",1,DGP221,Jinshi,0,19,272,0,40
"2,20",1,DGP222,Jiang,0,19,370,0,40
"2,20",1,DGP223,Tianjun,0,19,254,0,40
"2,20",1,DGP224,Li-T'ang Border,0,19,180,0,40
"2,20",1,DGP226,Tulipa,0,19,370,0,40
"2,20",1,DGP227,Sarala,0,19,351,0,40
"2,20",1,DGP229,Aquarium Border,0,19,331,0,40
"2,20",1,DGP231,Quite Contrary Border,0,19,179,0,40
"2,20",1,DGP236,Patch,0,19,226,0,40
"2,20",1,DGP238,Hopscotch,0,19,353,0,40
"2,20",1,DGP239,Aquarium,0,19,236,0,40
"2,20",1,DGP240,Quite Contrary,0,19,353,0,40
"2,20",1,DGP241,Two By Two,0,19,353,0,40
"2,20",1,DGP243,Pushpa,0,19,356,0,40
"2,20",1,DGP244,Hiyoku,0,19,481,0,40
"2,20",1,DGP246,Ryoshi,0,19,481,0,40
"2,20",1,DGP247,Hanabashi,0,19,481,0,40
"2,20",1,DGP249,Pesto,0,19,388,0,40
"2,20",1,DGP250,Cannella,0,19,382,0,40
"2,20",1,DGP251,Frutetto,0,19,382,0,40
"2,20",1,DGP253,Misticanza Border,0,19,331,0,40
"2,20",1,DGP255,Paglia,0,19,382,0,40
"2,20",1,DGP256,Sakri,0,19,382,0,40
"2,20",1,DGP258,Kirat,0,19,382,0,40
"2,20",1,DGP259,Kumudini,0,19,382,0,40
"2,20",1,DGP262,Patadar,0,19,272,0,40
"2,20",1,DGP266,Criss Cross,0,19,353,0,40
"2,20",1,DGP267,Pooch,0,19,353,0,40
"2,20",1,DGP268,Pooch Border,0,19,353,0,40
