markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,20",3,DGFJ001,Sprig,0,19,336,0,40
"2,20",3,DGFJ002,Rose,0,19,262,0,40
"2,20",3,DGFJ003,Camellia,0,19,262,0,40
"2,20",3,DGFJ004,Daisy,0,19,252,0,40
"2,20",3,DGFJ005,Regent,0,19,330,0,40
"2,20",3,DGFJ006,Acorn,0,19,378,0,40
"2,20",3,DGFJ007,Plush,0,19,333,0,40
"2,20",3,DGFJ008,Cambridge,0,19,311,0,40
"2,20",3,DGFJ009,Oxford,0,19,239,0,40
"2,20",3,DGFJ010,Saville,0,19,246,0,40
"2,20",3,DGFJ011,Albany,0,19,236,0,40
"2,20",3,DGFJ014,Clifford,0,19,364,0,40
"2,20",3,DGFJ015,Jermyn,0,19,364,0,40
"2,20",3,DGFJ016,Burlington,0,19,364,0,40
"2,20",3,DGFJ018,Argyll,0,19,490,0,40
"2,20",3,DGFJ019,Heddon,0,19,742,0,40
"2,20",3,DGFJ020,St James,0,19,741,0,40
"2,20",3,DGFJ021,Clarges Stripe,0,19,765,0,40
"2,20",3,DGFJ022,Stratton,0,19,646,0,40
"2,20",3,DGFJ023,Portman,0,19,595,0,40
"2,20",3,DGFJ024,Maddox,0,19,388,0,40
"2,20",3,DGFJ025,Bourdon,0,19,442,0,40
"2,20",3,DGFJ026,Sackville,0,19,730,0,40
"2,20",3,DGFJ027,Marlborough,0,19,600,0,40
"2,20",3,DGFJ028,Albemarle,0,19,580,0,40
"2,20",3,DGFJ029,Audley,0,19,395,0,40
"2,20",3,DGFJ030,Cleveland,0,19,742,0,40
"2,20",3,DGFJ031,Mayfair,0,19,718,0,40
"2,20",3,DGFL01,Lining Fabric - White,0,19,114,0,40
"2,20",3,DGFL02,Lining Fabric - Natural,0,19,114,0,40
"2,20",3,DGFL03,FR Lining Fabric  Cream,0,19,139,0,40
"2,20",3,DGFL04,Blackout Lining Fabric,0,19,161,0,40
"2,20",3,DGFL05,Blackout Lining Fabric,0,19,229,0,40
"2,20",3,DGFQ001,Oriel,0,19,1052,0,40
"2,20",3,DGFQ002,Arundale,0,19,1147,0,40
"2,20",3,DGFQ003,Chantrey,0,19,1147,0,40
"2,20",3,DGFQ004,Campanile,0,19,1147,0,40
"2,20",3,DGFQ005,Charlotte,0,19,1734,0,40
"2,20",3,DGFQ006,Tabinet,0,19,1888,0,40
"2,20",3,DGFQ007,Verity,0,19,2477,0,40
"2,20",3,DGFQ008,Trefoil,0,19,1086,0,40
"2,20",3,DGFQ009,Montrose,0,19,1062,0,40
"2,20",3,DGFQ010,Greville,0,19,1576,0,40
"2,20",3,DGFQ011,Augusta,0,19,1258,0,40
"2,20",3,DGFQ012,Cleve,0,19,1133,0,40
"2,20",3,DGFQ013,Hawksmoor,0,19,2703,0,40
"2,20",3,DGFQ014,Emlyn,0,19,1810,0,40
"2,20",3,DGFQ015,Cabochon,0,19,2409,0,40
"2,20",3,DGFQ016,Gilpin,0,19,1271,0,40
"2,20",3,DGFQ017,Edgar,0,19,1576,0,40
"2,20",3,DGFQ018,Rundell,0,19,966,0,40
"2,20",3,DGFQ019,Seddon,0,19,1271,0,40
"2,20",3,DGFQ020,Linford,0,19,2541,0,40
"2,20",3,DGFQ021,Darnley,0,19,2541,0,40
"2,20",3,DGFQ022,Dorothea,0,19,2372,0,40
"2,20",3,DGFQ023,Mathilde,0,19,2382,0,40
"2,20",3,DGFQ024,Henrietta,0,19,2326,0,40
"2,20",3,DGFQ025,Savigny,0,19,2434,0,40
"2,20",3,DGFQ026,Rochet,0,19,1260,0,40
"2,20",3,DGFQ027,Briolette,0,19,1312,0,40
"2,20",3,DGFQ028,Julienne,0,19,1196,0,40
"2,20",3,DGFQ029,Amelia,0,19,916,0,40
"2,20",3,DGFQ030,Wyatt,0,19,519,0,40
"2,20",3,DGFQ031,Campanula,0,19,685,0,40
"2,20",3,DGFQ032,Bourbon Rose,0,19,1761,0,40
"2,20",3,DGFQ033,Gallica rose,0,19,1761,0,40
"2,20",3,DGFQ034,Rosa,0,19,1159,0,40
"2,20",3,DGFQ035,Calton,0,19,1036,0,40
"2,20",3,DGFQ036,Acanthus,0,19,1200,0,40
"2,20",3,DGFQ037,Cramond,0,19,1230,0,40
"2,20",3,DGFQ038,Salisbury,0,19,976,0,40
"2,20",3,DGFQ039,Morel,0,19,1130,0,40
"2,20",3,DGFQ040,Tulip Tree,0,19,1883,0,40
"2,20",3,DGFQ041,Peacock Flower,0,19,700,0,40
"2,20",3,DGFQ042,Arboretum,0,19,700,0,40
"2,20",3,DGFQ043,Rosa Chinensis,0,19,700,0,40
"2,20",3,DGFQ044,Shandwick,0,19,1184,0,40
"2,20",3,DGFQ045,Isabella,0,19,1291,0,40
"2,20",3,DGFQ046,Isabella Voile,0,19,1184,0,40
"2,20",3,DGFQ047,Bryce,0,19,1023,0,40
"2,20",3,DGFQ048,Giorgiana,0,19,1614,0,40
"2,20",3,DGFQ049,Clarence,0,19,1023,0,40
"2,20",3,DGFQ050,Stothard,0,19,1023,0,40
"2,20",3,DGFQ051,Moser,0,19,2238,0,40
"2,20",3,DGFQ052,Regent,0,19,1614,0,40
"2,20",3,DGFQ053,Elizabeth,0,19,1614,0,40
"2,20",3,DGFQ054,Savill,0,19,1980,0,40
"2,20",3,DGFQ055,Alexandra,0,19,1099,0,40
"2,20",3,DGFQ056,Victoria,0,19,1378,0,40
"2,20",3,DGFQ057,Silvia,0,19,1248,0,40
"2,20",3,DGFQ058,Brocas,0,19,786,0,40
"2,20",3,DGFQ059,Tuberosa,0,19,1099,0,40
"2,20",3,DGFT1329,Pavlovsk,0,19,958,0,40
"2,20",3,DGFT1330,Coromandel,0,19,958,0,40
"2,20",3,DGFT1331,Foscari,0,19,958,0,40
"2,20",3,DGFT1332,Ruzzini,0,19,850,0,40
"2,20",3,DGFT1333,Merati,0,19,821,0,40
"2,20",3,DGFT1458,Ferrara,0,19,969,0,40
"2,20",3,DGFT1459,Cecina,0,19,850,0,40
"2,20",3,DGFT1459X,CECINA,0,19,516,0,40
"2,20",3,DGFT1460,Abruzzi,0,19,850,0,40
"2,20",3,DGFT1460X,ABRUZZI,0,19,613,0,40
"2,20",3,DGFT1461,Foligno,0,19,796,0,40
"2,20",3,DGFT1462,Faenza,0,19,864,0,40
"2,20",3,DGFT1462X,FAENZA,0,19,726,0,40
"2,20",3,DGFT1463,Sassari,0,19,969,0,40
"2,20",3,DGFT1527,Venezia,0,19,1132,0,40
"2,20",3,DGFT1528,Roma,0,19,1132,0,40
"2,20",3,DGFT1529,Milano,0,19,1132,0,40
"2,20",3,DGFT1556,Oristano,0,19,830,0,40
"2,20",3,DGFT1565,Palermo,0,19,1250,0,40
"2,20",3,DGFT1770,Napoli,0,19,999,0,40
"2,20",3,DGFT1771,Bologna,0,19,548,0,40
"2,20",3,DGFT1772,Umbria,0,19,904,0,40
"2,20",3,DGFT1773,Amalfi,0,19,958,0,40
"2,20",3,DGFT1774,Cecilia,0,19,958,0,40
"2,20",3,DGFT1775,Toscana,0,19,548,0,40
"2,20",3,DGFT1776,Piemonte,0,19,958,0,40
"2,20",3,DGFT1778,Cortona,0,19,958,0,40
"2,20",3,DGFT1860,Cecita,0,19,958,0,40
"2,20",3,DGFT1861,Molveno,0,19,958,0,40
"2,20",3,DGFT1862,Bracciano,0,19,958,0,40
"2,20",3,DGFT1863,Corbara,0,19,821,0,40
"2,20",3,DGFT1864,Marecchia,0,19,548,0,40
"2,20",3,DGFT1876,Tesino,0,19,915,0,40
"2,20",3,DGFT1877,Brenta,0,19,915,0,40
"2,20",3,DGFT1878,Cesano,0,19,915,0,40
"2,20",3,DGFT1974,Canossa,0,19,958,0,40
"2,20",3,DGFT1976,Lismore,0,19,870,0,40
"2,20",3,DGFT1977,Cara,0,19,941,0,40
"2,20",3,DGFT1978,Tanara,0,19,484,0,40
"2,20",3,DGFT1980,Arnaldi,0,19,958,0,40
"2,20",3,DGFT2026,Riolo,0,19,892,0,40
"2,20",3,DGFT2032,Mezzola Alta,0,19,811,0,40
"2,20",3,DGFT2054,Lucente,0,19,722,0,40
"2,20",3,DGFW001,Taho,0,19,542,0,40
