markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,20",3,244-00190,SEDA RUSTICA SISAL,0,24,288,"1,4",20
"2,20",3,244-00222,LIST DP FINA ROSA/ROS,0,24,128,"1,3",20
"2,20",3,244-00227,LIST DP FINA ROSA/CRU,0,24,148,"1,3",20
"2,20",3,244-00232,LIST DP FINA AZ C/ AZ,0,24,88,"1,3",20
"2,20",3,244-00237,SHABBY ROSA,0,24,158,"1,4",20
"2,20",3,244-00238,SHABBY AZUL CLARO,0,24,158,"1,4",20
"2,20",3,244-00245,SHABBY FUNDO BEGE,0,24,158,"1,4",20
"2,20",3,244-00246,SHABBY AZUL MEDIO,0,24,158,"1,4",20
"2,20",3,244-00264,TEC COELHO FUNDO BRANCO,0,24,168,"1,4",20
"2,20",3,244-00265,TECIDO COELHO ROSA,0,24,168,"1,4",20
"2,20",3,244-00268,TECIDO COELHO AZUL,0,24,168,"1,4",20
"2,20",3,244-00271,TE CACHORRO LINHO CELADON,0,24,208,"1,4",20
"2,20",3,244-00272,LIST DP FNA LINH CRU/CELA,0,24,148,"1,38",20
"2,20",3,244-00274,LIST DP FNA LINH CRU/VINH,0,24,148,"1,38",20
"2,20",3,244-00275,LIST DP FNA LINH MOST/VIN,0,24,78,"1,38",20
"2,20",3,244-00278,FLORZINHA ROSA,0,24,128,"1,4",20
"2,20",3,244-00280,OUTDOOR LIST LG BEGE,0,24,168,"1,4",20
"2,20",3,244-00281,TEC. OUTDOOR CELADON,0,24,168,"1,4",20
"2,20",3,244-00282,OUTDOOR LISTA LG MARINHO,0,24,168,"1,4",20
"2,20",3,244-00285,CACHORRO TERRA LINHO,0,24,208,"1,4",20
"2,20",3,244-00289,PAISLEY LINHO OLIVA,0,24,148,"1,38",20
"2,20",3,244-00293,SHABBY LINHO PECAN,0,24,198,"1,4",20
"2,20",3,244-00295,LIST DP FNA BEGE/KHAKI,0,24,138,"1,38",20
"2,20",3,244-00299,TEC. LINHO CODORNA CAFE,0,24,208,"1,4",20
"2,20",3,244-00300,LIST LARG OUTDOOR NAVY,0,24,168,"1,4",20
"2,20",3,244-00308,LIST DP FINA MARINHO/CRU,0,24,148,"1,38",20
"2,20",3,244-00310,LIST DP LINHO MENTA,0,24,148,"1,4",20
"2,20",3,244-00311,OUTDOOR CACHORRO CELADON,0,24,228,"1,4",20
"2,20",3,244-00318,PASLEY LINHO MARINHO,0,24,208,"1,38",20
"2,20",3,244-00319,LINHO SHABBY FENDI,0,24,188,"1,4",20
"2,20",3,244-00321,LIST DP FNA LINH FEND/VER,0,24,148,"1,38",20
"2,20",3,244-00327,OUTDOOR PASLEY MARINHO,0,24,228,"1,4",20
"2,20",3,244-00329,SHABBY CRU E MARINHO,0,24,158,"1,4",20
"2,20",3,244-00335,LIST DP FNA ALG VERME/CRU,0,24,148,"1,4",20
"2,20",3,244-00336,SHABBY ALGODAO VERMELHO,0,24,158,"1,4",20
"2,20",3,244-00338,PASSARO LINHO MARINHO,0,24,208,"1,4",20
"2,20",3,244-00340,SHABBY XADREZ FLOR PINK,0,24,178,"1,4",20
"2,20",3,244-00341,SHABBY XADREZ FLOR FENDI,0,24,178,"1,4",20
"2,20",3,244-00342,SHABBY XADREZ FLOR MARINH,0,24,148,"1,4",20
"2,20",3,244-00343,SHABBY XADREZ FLOR VERM,0,24,108,"1,4",20
"2,20",3,244-00346,SHABBY LISTA AZ MEDIO,0,24,128,"1,4",20
"2,20",3,244-00348,SHABBY LISTA ROSA,0,24,158,"1,4",20
"2,20",3,244-00349,SHABBY LISTA VERMELHO,0,24,158,"1,4",20
"2,20",3,244-00351,SHABBY LISTA AZUL CLARO,0,24,158,"1,4",20
"2,20",3,244-00352,SHABBY LISTA MARINHO,0,24,158,"1,4",20
"2,20",3,244-00361,PALHA MARFIN,0,24,168,"1,4",20
"2,20",3,244-00375,BEISEBOL ALGOD AZUL C/ AZ,0,24,128,"1,4",20
"2,20",3,244-00385,ADAMASCADO RUBI,0,24,148,"1,4",20
"2,20",3,244-00393,PALHA AMBAR,0,24,168,"1,4",20
"2,20",3,244-00394,TAPECARIA RUSTICO RUBI,0,24,198,"1,4",20
"2,20",3,244-00401,LIST 2 COR ALG KHAKI/MARI,0,24,148,"1,4",20
"2,20",3,244-00402,LISTA 2 COR ALG MAR/VERM,0,24,98,"1,4",20
"2,20",3,244-00407,COELHO VERDE,0,24,118,"1,4",20
"2,20",3,244-00408,LINHO LONDRES NATURAL,0,24,138,"1,4",20
"2,20",3,244-00409,LINHO LONDRES AREIA,0,24,138,"1,4",20
"2,20",3,244-00410,LINHO LONDRES BEGE,0,24,138,"1,4",20
"2,20",3,244-00419,JACQUARD ANFORA AMBAR,0,24,208,"1,3",20
"2,20",3,244-00427,MEDALHAO RUBI/OURO,0,24,208,"1,3",20
"2,20",3,244-00438,LISTA 3 CORES AZUL/AZUL,0,24,158,"1,4",20
"2,20",3,244-00440,LISTA 3 CORES VERMEL/AZUL,0,24,158,"1,4",20
"2,20",3,244-00441,LISTA 3 CORES BEGE/CRU,0,24,158,"1,4",20
"2,20",3,244-00442,LINHO VOIL CRU,0,24,78,"1,3",20
"2,20",3,244-00443,LINHO VOIL KHAKI,0,24,78,"1,3",20
"2,20",3,244-00444,TOALHA CANELADA BEGE,0,24,128,"1,3",20
"2,20",3,244-00445,TOALHA CANELADA CRU,0,24,218,"1,3",20
"2,20",3,244-00448,LISO LONDRES AZUL,0,24,138,"1,4",20
"2,20",3,244-00453,LISTA BRISA OUTD BEGE/CRU,0,24,148,"1,4",20
"2,20",3,244-00454,BRISA LISTA OUTD VINH/BEG,0,24,168,"1,4",20
"2,20",3,244-00456,SHABBY FLOR LINHO VERMELH,0,24,198,"1,4",20
"2,20",3,244-00458,BRISA LISTA LINHO AZUL/AZ,0,24,148,"1,4",20
"2,20",3,244-00460,FLOR BRISA LINHO VIN/AZUL,0,24,238,"1,3",20
"2,20",3,244-00462,BARCO LINHO/ALG KHAKI,0,24,118,"1,5",20
"2,20",3,244-00463,BARCO LINHO/ALG BEGE,0,24,118,"1,5",20
"2,20",3,244-00467,ONCA CAMURCA BEGE,0,24,148,"1,4",20
