markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,35",3,F101,veludo basic,0,33,"18,5","1,40",10
"2,35",3,F102,veludo molhado,0,33,33,"1,40",10
"2,35",3,F103,lona de linho,0,33,44,"1,40",10
"2,35",3,F104,linho tramado,0,33,"35,9","1,40",10
"2,35",3,F105,linho misto 10%,0,33,36,"1,40",10
"2,35",3,F106,lona stonada,0,33,"30,7","1,40",10
"2,35",3,F108,linho misto 20%,0,33,41,"1,40",10
"2,35",3,F109,veludo cristal,0,33,27,"1,40",10
"2,35",3,F110,veludo pied de poule  ,0,33,44,"1,40",10
"2,35",3,F111,veludo cristal texturizado,0,33,"29,9","1,40",10
"2,35",3,F112,veludo atoalhado,0,33,"38,6","1,40",10
"2,35",3,F113,veludo tipo algodão,0,33,34,"1,40",10
"2,35",3,F114,linho de rayon,0,33,46,"1,40",10
"2,35",3,F131,veludo mescla,0,33,"23,80","1,40",10
