markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,30",2,KA1,SISAL Sisal P/ Carpete,0,28,220,0,0
"2,30",2,KA2,SISAL Lã Merlin com acabamento em cordão,0,28,220,0,0
"2,30",2,KA3,MERLIN Sisal P/ Carpete,0,28,220,0,0
"2,30",2,KA4,MERLIN Lã Merlin com acabamento em cordão,0,28,220,0,0
"2,30",2,KA5,SPAGHETTI Spaghetti,0,28,190,0,0
"2,30",2,KA6,SPAGHETTI Spaghetti redondo,0,28,240,0,0
"2,30",2,KA7,SPAGHETTI Penne,0,28,130,0,0
"2,30",2,KA8,SPAGHETTI Almofadas: Spaghetti,0,28,80,0,0
"2,30",2,KA9,LANCELOT,0,28,300,0,0
"2,30",2,KA10,CONSTANTINE,0,28,300,0,0
"2,30",2,KA11,REVOLUTION s/ back p/ revestimento só corte,0,28,125,0,0
"2,30",2,KA12,REVOLUTION Tapete /corte largura de 2 metros s/ boder,0,28,165,0,0
"2,30",2,KA13,REVOLUTION Tapete/corte largura maior ou menor que 2 metros s/ border,0,28,180,0,0
"2,30",2,KA14,REVOLUTION C/ border em overloque,0,28,190,0,0
"2,30",2,KA15,REVOLUTION C/ border em Couro ecologico ou cadarço,0,28,200,0,0
"2,30",2,KA16,REVOLUTION C/ border de revolution costurado ou fundido,0,28,240,0,0
"2,30",2,KA17,REVOLUTION C/ border em couro natural,0,28,240,0,0
"2,30",2,KA18,REVOLUTION Revolution design/ vitral/listras/ou fora de padrão,0,28,300,0,0
