markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,25",3,2080,TEC.JACQUARD ESTAMPADO,0,20,"27,08",0,0
"2,25",3,2081,TEC.VERONA,0,20,"27,08",0,0
"2,25",3,2090,TEC.JACQUARD ESTAMPADO-FL,0,20,"27,08",0,0
"2,25",3,2211,TEC.RUSTICO,0,20,"83,2",0,0
"2,25",3,2263,TEC.JACQUARD ESTAMPADO,0,20,"27,08",0,0
"2,25",3,2265,TEC.JACQUARD ESTAMPO,0,20,"27,08",0,0
"2,25",3,2266,TEC.JACQUARD ESTAMPADO,0,20,"27,08",0,0
"2,25",3,2271,TEC.JACQUARD,0,20,"35,97",0,0
"2,25",3,2349,TEC.CHENILLE,0,20,"52,78",0,0
"2,25",3,2417,TEC.JACQUARD,0,20,"35,97",0,0
"2,25",3,2422,TEC.JACQUARD,0,20,"35,97",0,0
"2,25",3,2424,TEC.JACQUARD VERDE,0,20,"35,97",0,0
"2,25",3,2425,TEC.JACQUARD,0,20,"35,97",0,0
"2,25",3,2482,TEC.TINTO.100%PES,0,20,"45,69",0,0
"2,25",3,2483,TEC.TINTO.100%PES,0,20,"45,69",0,0
"2,25",3,2484,TEC.TINTO.100%PES,0,20,"45,69",0,0
"2,25",3,2485,TEC.TINTO.100%PES,0,20,"45,69",0,0
"2,25",3,2513,TEC.RUSTICO CHENILLE,0,20,"84,93",0,0
"2,25",3,2527,TEC.JACQUARD,0,20,"60,42",0,0
"2,25",3,2528,TEC.JACQUARD,0,20,"60,42",0,0
"2,25",3,2530,TEC.JACQUARD,0,20,"58,33",0,0
"2,25",3,3531,TEC.JACQUARD,0,20,"58,33",0,0
"2,25",3,2532,TEC.JACQUARD,0,20,"58,33",0,0
"2,25",3,2533,TEC.JACQUARD,0,20,"66,67",0,0
"2,25",3,2534,TEC.JACQUARD,0,20,"66,67",0,0
"2,25",3,2535,TEC.JACQUARD,0,20,"66,67",0,0
"2,25",3,2537,TEC.JACQUARD,0,20,"66,67",0,0
"2,25",3,2539,TEC.JACQUARD,0,20,"69,31",0,0
"2,25",3,2540,TEC.JACQUARD,0,20,"69,31",0,0
"2,25",3,2541,TEC.JACQUARD,0,20,"69,31",0,0
"2,25",3,2542,TEC.JACQUARD,0,20,"69,31",0,0
"2,25",3,2543,TEC.JACQUARD,0,20,"69,31",0,0
"2,25",3,2544,TEC.JACQUARD,0,20,"69,31",0,0
"2,25",3,2545,TEC.JACQUARD,0,20,"69,31",0,0
"2,25",3,2546,TEC.JACQUARD,0,20,"69,31",0,0
"2,25",3,2547,TEC.JACQUARD,0,20,"69,31",0,0
"2,25",3,2548,TEC.JACQUARD,0,20,"69,31",0,0
"2,25",3,2549,TEC.JACQUARD,0,20,"69,31",0,0
"2,25",3,2550,TEC.JACQUARD,0,20,"69,31",0,0
"2,25",3,2551,TEC.JACQUARD,0,20,"69,31",0,0
"2,25",3,2553,TEC.JACQUARD,0,20,"69,31",0,0
"2,25",3,2555,TEC.JACQUARD,0,20,"58,33",0,0
"2,25",3,2567,"TEC.JACQUARD 2,80 LG",0,20,"40,14",0,0
"2,25",3,2568,"TEC.JACQUARD 2,80 LG",0,20,"40,14",0,0
"2,25",3,2569,"TEC.JACQUARD 2,80 LG",0,20,"40,14",0,0
"2,25",3,2570,"TEC.JACQUARD 2,80 LG",0,20,"40,14",0,0
"2,25",3,2571,"TEC.JACQUARD 2,80 LG",0,20,"40,14",0,0
"2,25",3,4688,TEC.ACQUABLOCK,0,20,"37,36",0,0
"2,25",3,4695,TEC.ACQUABLOCK-DUNAS,0,20,"37,36",0,0
"2,25",3,4774,TEC.ACQUABLOCK ARACA,0,20,"37,36",0,0
"2,25",3,4877,TEC.JACQUARD,0,20,"37,36",0,0
"2,25",3,4880,TEC.ACQUABLOCK SAQUAREMA,0,20,"37,36",0,0
"2,25",3,4913,TEC.JACQUARD ESTAMPADO,0,20,"27,08",0,0
"2,25",3,4914,TEC.JACQUARD ESTAMPADO,0,20,"27,08",0,0
