markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,5",3,KA1, ALBÂNIA ,0,6,44,"1,50",30
"2,5",3,KA2, ANDORRA    ,0,6,56,3,30
"2,5",3,KA3, ANKARA ,0,6,19,3,30
"2,5",3,KA4, ARUBA ,0,6,95,0,30
"2,5",3,KA5, ÁUSTRIA 35 / 36 / 37  ,0,6,70,0,30
"2,5",3,KA6, BAHAMAS    ,0,6,79,0,30
"2,5",3,KA7, BLACKOUT COLORIDO  ,0,6,49,0,30
"2,5",3,KA8, BLACKOUT TEXTURIZADO ,0,6,54,"1,40",30
"2,5",3,KA9, BLACKOUT TRENTO ,0,6,78,"1,50",30
"2,5",3,KA10, BRUXELAS  ,0,6,80,0,30
"2,5",3,KA11, CAMURÇA ANTILHAS ,0,6,88,0,30
"2,5",3,KA12, CAMURÇA ESTONADA ,0,6,85,"1,5",30
"2,5",3,KA13, CANCUN ,0,6,98,3,30
"2,5",3,KA14, CANNES ,0,6,78,3,30
"2,5",3,KA15, CARACAS ,0,6,98,0,30
"2,5",3,KA16, CHENILLE IMPULSE ,0,6,71,0,30
"2,5",3,KA17, CHENILLE LETÔNIA ,0,6,87,0,30
"2,5",3,KA18, DIJON BORDADO  ,0,6,148,0,30
"2,5",3,KA19, DINAMARCA  ,0,6,87,0,30
"2,5",3,KA20, DUBLIN   ,0,6,59,0,30
"2,5",3,KA21, FINLÂNDIA  ,0,6,96,0,30
"2,5",3,KA22, FIRENZE ,0,6,74,0,30
"2,5",3,KA23, FLOWERS c/ Teflon ,0,6,98,0,30
"2,5",3,KA24, GÊNOVA ,0,6,72,0,30
"2,5",3,KA25, GIBRALTAR   ,0,6,91,0,30
"2,5",3,KA26, GRÉCIA 01 ao 12 / 25 ao 55 ,0,6,115,0,30
"2,5",3,KA27, HOLANDA   ,0,6,74,0,30
"2,5",3,KA28, HUNGRIA    ,0,6,102,0,30
"2,5",3,KA29, IBIZA 07 ao 20 ,0,6,102,0,30
"2,5",3,KA30, INDONÉSIA ,0,6,47,0,30
"2,5",3,KA31, JAMAICA ,0,6,68,3,30
"2,5",3,KA32, LAS PALMAS ,0,6,69,3,30
"2,5",3,KA33, LINHO BARCELONA ,0,6,93,0,30
"2,5",3,KA34, LINHO BELGA    ,0,6,115,0,30
"2,5",3,KA35, LINHO BRUGGI   ,0,6,168,0,30
"2,5",3,KA36, LINHO ESTAMPADO IMPORTADO  ,0,6,110,0,30
"2,5",3,KA37, LINHO FRANCÊS 05 ao 08 ,0,6,130,0,30
"2,5",3,KA38, LINHO FRANCÊS 01 ao 04 / 09 ao 22 ,0,6,182,0,30
"2,5",3,KA39, LINHO DUBAI BORDADO ,0,6,1347,3,30
"2,5",3,KA40, LINHO ROYAL BORDADO ,0,6,324,3,30
"2,5",3,KA41, LINHO STELLA ,0,6,218,3,30
"2,5",3,KA42, LINHO SUÉCIA ,0,6,127,0,30
"2,5",3,KA43, LONDRES ,0,6,59,3,30
"2,5",3,KA44, MADAGASCAR   ,0,6,95,0,30
"2,5",3,KA45, MARSEILLE ,0,6,108,0,30
"2,5",3,KA46, MIAMI ESTAMPADO c/ Teflon ,0,6,133,0,30
"2,5",3,KA47, MIAMI LISO c/ Teflon  ,0,6,68,0,30
"2,5",3,KA48, MICROSEDA  ,0,6,125,0,30
"2,5",3,KA49, MILANO ,0,6,73,0,30
"2,5",3,KA50, MÔNACO  ,0,6,48,0,30
"2,5",3,KA51, MOSCOU ,0,6,192,0,30
"2,5",3,KA52, NANTES ,0,6,56,0,30
"2,5",3,KA53, NAUTÍCO  ,0,6,64,0,30
