markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,5",3,KA1, ALBåNIA ,0,7,44,"1,50",30
"2,5",3,KA2, ANDORRA    ,0,7,56,3,30
"2,5",3,KA3, ANKARA ,0,7,19,3,30
"2,5",3,KA4, ARUBA ,0,7,95,0,30
"2,5",3,KA5, çUSTRIA 35 / 36 / 37  ,0,7,70,0,30
"2,5",3,KA6, BAHAMAS    ,0,7,79,0,30
"2,5",3,KA7, BLACKOUT COLORIDO  ,0,7,49,0,30
"2,5",3,KA8, BLACKOUT TEXTURIZADO ,0,7,54,"1,40",30
"2,5",3,KA9, BLACKOUT TRENTO ,0,7,78,"1,50",30
"2,5",3,KA10, BRUXELAS  ,0,7,80,0,30
"2,5",3,KA11, CAMUR‚A ANTILHAS ,0,7,88,0,30
"2,5",3,KA12, CAMUR‚A ESTONADA ,0,7,85,"1,5",30
"2,5",3,KA13, CANCUN ,0,7,98,3,30
"2,5",3,KA14, CANNES ,0,7,78,3,30
"2,5",3,KA15, CARACAS ,0,7,98,0,30
"2,5",3,KA16, CHENILLE IMPULSE ,0,7,71,0,30
"2,5",3,KA17, CHENILLE LETïNIA ,0,7,87,0,30
"2,5",3,KA18, DIJON BORDADO  ,0,7,148,0,30
"2,5",3,KA19, DINAMARCA  ,0,7,87,0,30
"2,5",3,KA20, DUBLIN   ,0,7,59,0,30
"2,5",3,KA21, FINLåNDIA  ,0,7,96,0,30
"2,5",3,KA22, FIRENZE ,0,7,74,0,30
"2,5",3,KA23, FLOWERS c/ Teflon ,0,7,98,0,30
"2,5",3,KA24, GæNOVA ,0,7,72,0,30
"2,5",3,KA25, GIBRALTAR   ,0,7,91,0,30
"2,5",3,KA26, GRƒCIA 01 ao 12 / 25 ao 55 ,0,7,115,0,30
"2,5",3,KA27, HOLANDA   ,0,7,74,0,30
"2,5",3,KA28, HUNGRIA    ,0,7,102,0,30
"2,5",3,KA29, IBIZA 07 ao 20 ,0,7,102,0,30
"2,5",3,KA30, INDONƒSIA ,0,7,47,0,30
"2,5",3,KA31, JAMAICA ,0,7,68,3,30
"2,5",3,KA32, LAS PALMAS ,0,7,69,3,30
"2,5",3,KA33, LINHO BARCELONA ,0,7,93,0,30
"2,5",3,KA34, LINHO BELGA    ,0,7,115,0,30
"2,5",3,KA35, LINHO BRUGGI   ,0,7,168,0,30
"2,5",3,KA36, LINHO ESTAMPADO IMPORTADO  ,0,7,110,0,30
"2,5",3,KA37, LINHO FRANCæS 05 ao 08 ,0,7,130,0,30
"2,5",3,KA38, LINHO FRANCæS 01 ao 04 / 09 ao 22 ,0,7,182,0,30
"2,5",3,KA39, LINHO DUBAI BORDADO ,0,7,1347,3,30
"2,5",3,KA40, LINHO ROYAL BORDADO ,0,7,324,3,30
"2,5",3,KA41, LINHO STELLA ,0,7,218,3,30
"2,5",3,KA42, LINHO SUƒCIA ,0,7,127,0,30
"2,5",3,KA43, LONDRES ,0,7,59,3,30
"2,5",3,KA44, MADAGASCAR   ,0,7,95,0,30
"2,5",3,KA45, MARSEILLE ,0,7,108,0,30
"2,5",3,KA46, MIAMI ESTAMPADO c/ Teflon ,0,7,133,0,30
"2,5",3,KA47, MIAMI LISO c/ Teflon  ,0,7,68,0,30
"2,5",3,KA48, MICROSEDA  ,0,7,125,0,30
"2,5",3,KA49, MILANO ,0,7,73,0,30
"2,5",3,KA50, MïNACO  ,0,7,48,0,30
"2,5",3,KA51, MOSCOU ,0,7,192,0,30
"2,5",3,KA52, NANTES ,0,7,56,0,30
"2,5",3,KA53, NAUTêCO  ,0,7,64,0,30
"2,5",3,KA54, NAUTILINE ,0,7,57,0,30
"2,5",3,KA55, NAUTILUS  ,0,7,76,0,30
"2,5",3,KA56, ORGANZA LISA ,0,7,27,3,30
"2,5",3,KA57, ORLANDO   ,0,7,107,0,30
"2,5",3,KA58, OSAKA  ,0,7,130,0,30
"2,5",3,KA59, PELE SINTƒTICA ,0,7,99,0,30
"2,5",3,KA60, ROMA ,0,7,22,0,30
"2,5",3,KA61, RUSTILINHO  ,0,7,79,0,30
"2,5",3,KA62, SAIN«T LORENT CAMUR‚A ESTAMPADA ,0,7,139,0,30
"2,5",3,KA63, SAIN'T LORENT ESTAMPADO ,0,7,142,0,30
"2,5",3,KA64, SAIN«T LORENT LINHO EST ,0,7,156,0,30
"2,5",3,KA65, SANTIAGO ,0,7,36,3,30
"2,5",3,KA66, SAPHIRE  ,0,7,179,"2,8",30
