markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,35",1,IM1301,book imagine,0,32,420,"0,53",0
"2,35",1,IM1302,book imagine,0,32,420,"0,53",0
"2,35",1,IM1303,book imagine,0,32,420,"0,53",0
"2,35",1,IM1304,book imagine,0,32,420,"0,53",0
"2,35",1,IM1305,book imagine,0,32,260,"0,53",0
"2,35",1,IM1306,book imagine,0,32,260,"0,53",0
"2,35",1,IM1307,book imagine,0,32,260,"0,53",0
"2,35",1,IM1308,book imagine,0,32,260,"0,53",0
"2,35",1,IM1309,book imagine,0,32,260,"0,53",0
"2,35",1,IM1310,book imagine,0,32,260,"0,53",0
"2,35",1,IM1311,book imagine,0,32,165,"0,53",0
"2,35",1,IM1312,book imagine,0,32,170,"0,53",0
"2,35",1,IM1313,book imagine,0,32,190,"0,53",0
"2,35",1,IM1314,book imagine,0,32,190,"0,53",0
"2,35",1,IM1315,book imagine,0,32,190,"0,53",0
"2,35",1,IM1316,book imagine,0,32,190,"0,53",0
"2,35",1,IM1317,book imagine,0,32,190,"0,53",0
"2,35",1,IM1318,book imagine,0,32,190,"0,53",0
"2,35",1,IM1319,book imagine,0,32,190,"0,53",0
"2,35",1,IM1320,book imagine,0,32,190,"0,53",0
"2,35",1,IM1321,book imagine,0,32,190,"0,53",0
"2,35",1,IM1322,book imagine,0,32,190,"0,53",0
"2,35",1,IM1323,book imagine,0,32,190,"0,53",0
"2,35",1,IM1324,book imagine,0,32,165,"0,53",0
"2,35",1,IM1325,book imagine,0,32,165,"0,53",0
"2,35",1,IM1326,book imagine,0,32,165,"0,53",0
"2,35",1,IM1327,book imagine,0,32,165,"0,53",0
"2,35",1,IM1328,book imagine,0,32,165,"0,53",0
"2,35",1,IM1329,book imagine,0,32,140,"0,53",0
"2,35",1,IM1330,book imagine,0,32,140,"0,53",0
"2,35",1,IM1331,book imagine,0,32,155,"0,53",0
"2,35",1,IM1332,book imagine,0,32,165,"0,53",0
"2,35",1,IM1333,book imagine,0,32,140,"0,53",0
"2,35",1,IM1334,book imagine,0,32,140,"0,53",0
"2,35",1,IM1335,book imagine,0,32,140,"0,53",0
"2,35",1,IM1336,book imagine,0,32,170,"0,53",0
"2,35",1,IM1337,book imagine,0,32,170,"0,53",0
"2,35",1,IM1338,book imagine,0,32,170,"0,53",0
"2,35",1,IM1339,book imagine,0,32,170,"0,53",0
"2,35",1,IM1340,book imagine,0,32,170,"0,53",0
"2,35",1,IM1341,book imagine,0,32,160,"0,53",0
"2,35",1,IM1342,book imagine,0,32,160,"0,53",0
"2,35",1,IM1343,book imagine,0,32,160,"0,53",0
