markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,15",4,MF1,CORTINAS ATE 3MT,0,14,120,0,0
"2,15",4,MF2,CORTINAS ACIMA DE 3MT,0,14,160,0,0
"2,15",4,MF3,FORRO/BO,0,14,70,0,0
"2,15",4,MF4,XALE SIMPLES,0,14,120,0,0
"2,15",4,MF5,XALE TRABALHADO,0,14,140,0,0
"2,15",4,MF6,SAIA CAMA (SOLT/CASAL),0,14,120,0,0
"2,15",4,MF7,COLCHA SOLTEIRO (FORRO SIMPLES),0,14,340,0,0
"2,15",4,MF8,COLCHA VAPT VULP (FORRO SIMPLES),0,14,280,0,0
"2,15",4,MF9,"COLCHA CASAL (ATí‹ 1,60 x 2,00) (FORRO SIMPLES)",0,14,390,0,0
"2,15",4,MF10,COLCHA CASAL KING (FORRO SIMPLES),0,14,480,0,0
"2,15",4,MF11,MANTA Pí‹ DA CAMA COM FRANJA,0,14,280,0,0
"2,15",4,MF12,MANTA Pí‹ DA CAMA SEM FRANJA,0,14,220,0,0
"2,15",4,MF13,FUTON (m2),0,14,480,0,0
"2,15",4,MF14,TRAVESSEIROS (60 x 90/ 55 x 90/ 80 x 60),0,14,140,0,0
"2,15",4,MF15,TRAVESSEIROS (70 x 50 / 70 x 40 ),0,14,100,0,0
"2,15",4,MF16,LOMBAR (30 x 50 / 30 x 60),0,14,65,0,0
"2,15",4,MF17,CAPA TRAVESSEIROS SIMPLES,0,14,50,0,0
"2,15",4,MF18,CAPA TRAVESSEIROS TRABALHADA,0,14,60,0,0
"2,15",4,MF19,ALMOFADAS (ATí‹ 50 x50),0,14,65,0,0
"2,15",4,MF20,LOMBAR (30 x 50 / 30 x 60),0,14,65,0,0
"2,15",4,MF21,ALMOFADAS (ATí‹ 70 x 70),0,14,85,0,0
"2,15",4,MF22,CAPA  DE ALMOFADA (QQUER TAMANHO),0,14,50,0,0
