markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,15",4,MF1,CORTINAS ATE 3MT s/acess,0,14,120,0,0
"2,15",4,MF2,CORTINAS ACIMA DE 3MT s/acess,0,14,160,0,0
"2,15",4,MF3,FORRO/BO s/acess,0,14,70,0,0
"2,15",4,MF4,XALE SIMPLES s/acess,0,14,120,0,0
"2,15",4,MF5,XALE TRABALHADO s/acess,0,14,140,0,0
"2,15",4,MF6,CORTINAS ATE 3MT varão simp,0,14,189,0,0
"2,15",4,MF7,CORTINAS ACIMA DE 3MT varão simp,0,14,229,0,0
"2,15",4,MF8,FORRO/BO varão simp,0,14,139,0,0
"2,15",4,MF9,XALE SIMPLES varão simp,0,14,189,0,0
"2,15",4,MF10,XALE TRABALHADO varão simp,0,14,209,0,0
"2,15",4,MF11,CORTINAS ATE 3MT varão duplo,0,14,288,0,0
"2,15",4,MF12,CORTINAS ACIMA DE 3MT varão duplo,0,14,328,0,0
"2,15",4,MF13,FORRO/BO varão duplo,0,14,238,0,0
"2,15",4,MF14,XALE SIMPLES varão duplo,0,14,288,0,0
"2,15",4,MF15,XALE TRABALHADO varão duplo,0,14,308,0,0
"2,15",4,MF16,CORTINAS ATE 3MT trilho suísso,0,14,134,0,0
"2,15",4,MF17,CORTINAS ACIMA DE 3MT trilho suísso,0,14,174,0,0
"2,15",4,MF18,FORRO/BO trilho suísso,0,14,84,0,0
"2,15",4,MF19,XALE SIMPLES trilho suísso,0,14,134,0,0
"2,15",4,MF20,XALE TRABALHADO trilho suísso,0,14,154,0,0
"2,15",4,MF21,SAIA CAMA (SOLT/CASAL),0,14,120,0,0
"2,15",4,MF22,COLCHA SOLTEIRO (FORRO SIMPLES),0,14,340,0,0
"2,15",4,MF23,COLCHA SOLTEIRO  SARJA (FORRO SIMPLES),0,14,270,0,0
"2,15",4,MF24,COLCHA VAPT VULP (FORRO SIMPLES),0,14,280,0,0
"2,15",4,MF25,COLCHA VAPT VULP  SARJA (FORRO SIMPLES),0,14,224,0,0
"2,15",4,MF26,"COLCHA CASAL (ATÉ 1,60 x 2,00) (FORRO SIMPLES)",0,14,390,0,0
"2,15",4,MF27,"COLCHA CASAL SARJA (ATÉ 1,60 x 2,00) (FORRO SIMPLES)",0,14,312,0,0
"2,15",4,MF28,COLCHA CASAL KING (FORRO SIMPLES),0,14,480,0,0
"2,15",4,MF29,COLCHA CASAL KING  SARJA (FORRO SIMPLES),0,14,384,0,0
"2,15",4,MF30,MANTA PÉ DA CAMA COM FRANJA,0,14,280,0,0
"2,15",4,MF31,MANTA PÉ DA CAMA SEM FRANJA,0,14,220,0,0
"2,15",4,MF32,TRAVESSEIROS  GRANDE(60 x 90/ 55 x 90/ 80 x 60),0,14,140,0,0
"2,15",4,MF33,TRAVESSEIROS MÉDIO (70 x 50 / 70 x 40 ),0,14,100,0,0
"2,15",4,MF34,LOMBAR (30 x 50 / 30 x 60),0,14,65,0,0
"2,15",4,MF35,CAPA TRAVESSEIROS SIMPLES,0,14,50,0,0
"2,15",4,MF36,CAPA TRAVESSEIROS TRABALHADA,0,14,60,0,0
"2,15",4,MF37,ALMOFADAS (ATÉ 70 x 70),0,14,85,0,0
"2,15",4,MF38,ALMOFADAS (ATÉ 50 x50),0,14,65,0,0
"2,15",4,MF39,ALMOFADAS TRABALHADAS (qualquer tamanho),0,14,75,0,0
"2,15",4,MF40,LOMBAR (30 x 50 / 30 x 60),0,14,65,0,0
"2,15",4,MF41,CAPA  DE ALMOFADA (qualquer tamanho),0,14,50,0,0
"2,15",4,MF42,ROLO ( até 1mt),0,14,140,0,0
"2,15",4,MF43,FUTON (m_),0,14,480,0,0
"2,15",4,MF44,"KIT BERÇO ( protetor lateral, pezeira, cabeceira,",0,14,600,0,0
