markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,3",1,10001,BLOOM  HAPPY TREE LIGHT GREEN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10002,BLOOM  FAUX LEAF LIGHT GREEN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10005,BLOOM  FAUX MARBLE LIGHT GREEN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10006,BLOOM  FAUX STRIPE LIGHT GREEN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10007,BLOOM  ORCHID FLOWER LIGHT GREEN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10008,BLOOM  PERSIAN DAMASK LIGHT GREEN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10009,BLOOM  FAUX LEAF SILVER ,0,23,"R$ 171,74 ",0,0
"2,3",1,10010,BLOOM  HAPPY TREE SILVER ,0,23,"R$ 171,74 ",0,0
"2,3",1,10011,BLOOM  FAUX MARBLE SILVER ,0,23,"R$ 171,74 ",0,0
"2,3",1,10012,BLOOM  FAUX STRIPE SILVER ,0,23,"R$ 171,74 ",0,0
"2,3",1,10013,BLOOM  PERSIAN DAMASK SILVER ,0,23,"R$ 171,74 ",0,0
"2,3",1,10014,BLOOM  FAUX LEAF GOLD ,0,23,"R$ 171,74 ",0,0
"2,3",1,10015,BLOOM  HAPPY TREE GOLD ,0,23,"R$ 171,74 ",0,0
"2,3",1,10016,BLOOM  FAUX MARBLE GOLD ,0,23,"R$ 171,74 ",0,0
"2,3",1,10017,BLOOM  FAUX STRIPE GOLD ,0,23,"R$ 171,74 ",0,0
"2,3",1,10018,BLOOM  PERSIAN DAMASK GOLD ,0,23,"R$ 171,74 ",0,0
"2,3",1,10019,BLOOM  FAUX LEAF COPPER ,0,23,"R$ 171,74 ",0,0
"2,3",1,10020,BLOOM  HAPPY TREE COPPER ,0,23,"R$ 171,74 ",0,0
"2,3",1,10021,BLOOM  FAUX MARBLE COPPER ,0,23,"R$ 171,74 ",0,0
"2,3",1,10022,BLOOM  FAUX STRIPE COPPER ,0,23,"R$ 171,74 ",0,0
"2,3",1,10023,BLOOM  PERSIAN DAMASK COPPER ,0,23,"R$ 171,74 ",0,0
"2,3",1,10024,BLOOM  FAUX MARBLE COPPER ,0,23,"R$ 171,74 ",0,0
"2,3",1,10025,BLOOM  THAI BASKET COPPER ,0,23,"R$ 171,74 ",0,0
"2,3",1,10026,BLOOM  FAUX LEAF METAL BROWN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10027,BLOOM  HAPPY TREE METAL BROWN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10028,BLOOM  FAUX MARBLE METAL BROWN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10029,BLOOM  FAUX STRIPE METAL BROWN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10030,BLOOM  PERSIAN DAMASK METAL BROWN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10031,BLOOM  THAI BASKET METAL BROWN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10032,BLOOM  FAUX MARBLE METAL BROWN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10033,BLOOM  HAPPY TREE METAL BROWN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10034,BLOOM  PERSIAN DAMASK METAL BROWN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10035,BLOOM  ISTANBUL SHADE METAL BROWN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10036,BLOOM  STRING BLOCK METAL BROWN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10037,BLOOM  STRING METAL BROWN ,0,23,"R$ 171,74 ",0,0
"2,3",1,10038,BLOOM  FAUX LEAF BLACK ,0,23,"R$ 171,74 ",0,0
"2,3",1,10039,BLOOM  HAPPY TREE BLACK ,0,23,"R$ 171,74 ",0,0
"2,3",1,10040,BLOOM  FAUX MARBLE BLACK ,0,23,"R$ 171,74 ",0,0
"2,3",1,10041,BLOOM  FAUX STRIPE BLACK ,0,23,"R$ 171,74 ",0,0
"2,3",1,10042,BLOOM  PERSIAN DAMASK BLACK ,0,23,"R$ 171,74 ",0,0
"2,3",1,10043,BLOOM  THAI BASKET BLACK ,0,23,"R$ 171,74 ",0,0
"2,3",1,10044,BLOOM  ISTANBUL SHADE BLACK ,0,23,"R$ 171,74 ",0,0
"2,3",1,10045,BLOOM  STRING BLOCK BLACK ,0,23,"R$ 171,74 ",0,0
"2,3",1,10046,BLOOM  STRING BLACK ,0,23,"R$ 171,74 ",0,0
"2,3",1,10047,BLOOM  FAUX LEAF WHITE ,0,23,"R$ 171,74 ",0,0
"2,3",1,10048,BLOOM  HAPPY TREE WHITE ,0,23,"R$ 171,74 ",0,0
