markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,30",2,OT48,Super Silk (medidas padroes),0,17,"278,00",0,0
"2,30",2,OT49,Super Silk (medidas especiais),0,17,"318,00",0,0
"2,30",2,OT50,Perana (medidas padr_es),0,17,"358,00",0,0
"2,30",2,OT51,Perana (medidas especiais),0,17,"408,00",0,0
"2,30",2,OT52,Marly (medidas padr_es),0,17,"315,00",0,0
"2,30",2,OT53,Marly (medidas especiais),0,17,"364,00",0,0
"2,30",2,OT54,Shaggy,0,17,"249,00",0,0
"2,30",2,OT55,PVC s/ acabamento,0,17,125,0,0
"2,30",2,OT56,PVC c/ acabamento/borda,0,17,225,0,0
"2,3",2,OT57,Barra Virada,0,17,8,0,0
"2,3",2,OT58,Debrum a Máquina,0,17,6,0,0
"2,3",2,OT59,Debrum a Mão ,0,17,20,0,0
"2,3",2,OT60,Colocação de Palmilha,0,17,40,0,0
"2,3",2,OT61,Colocação de Antiderrapante Especial (em todo tapete),0,17,30,0,0
"2,3",2,OT62,Colocação de Antiderrapante nas Bordas,0,17,7,0,0
"2,3",2,OT63,Colocação de feltro,0,17,38,0,0
"2,3",2,OT64,Colocação de forro em Sarja  ,0,17,25,0,0
"2,3",2,OT65,Colocação de EVA,0,17,25,0,0
"2,3",2,OT66,Borda em Couro Ecológico até 10cm,0,17,26,0,0
"2,3",2,OT67,Borda em Couro Ecológico até 15cm     ,0,17,28,0,0
"2,3",2,OT68,Borda em Couro Natural até 10 cm ,0,17,90,0,0
"2,3",2,OT69,Borda em Couro natural até 15 cm,0,17,120,0,0
"2,3",2,OT70,Borda em Lona Less até 9 cm ,0,17,20,0,0
"2,3",2,OT71,Borda invertida ,0,17,25,0,0
"2,3",2,OT72,Aplicação de Borda de Couro  / Eco ,0,17,20,0,0
"2,3",2,OT73,Aplicação de Borda de Lona Less   ,0,17,15,0,0
"2,3",2,OT74,Remoção de borda ,0,17,6,0,0
"2,3",2,OT75,Taxa de corte em tapete,0,17,25,0,0
"2,3",2,OT76,Unificação ,0,17,25,0,0
"2,3",2,OT77,Cabeceira de cama em Couro Natural,0,17,450,0,0
"2,3",2,OT78,Cabeceira de cama em Lona de Caminhão,0,17,400,0,0
"2,3",2,OT79,Móveis e Cabeceira de cama em Couro Eco,0,17,300,0,0
"2,3",2,OT80,Painel em Couro Natural,0,17,400,0,0
"2,3",2,OT81,Painel em Couro Ecológico,0,17,250,0,0
"2,3",2,OT82,Tapete em Couro Natural até 40 x 40 cm ,0,17,290,0,0
"2,3",2,OT83,Tapete em Couro  Ecológico até 25 x 25 cm ,0,17,210,0,0
"2,3",2,OT84,Tapete em Couro Ecológico até 50 x 50 cm ,0,17,190,0,0
"2,3",2,OT85,Tapete em Vinil até 50 x 50cm ,0,17,190,0,0
"2,3",2,OT86,Tapete de Lona  (Impressão Digital) Pespontado ,0,17,220,0,0
"2,3",2,OT87,Tapete em Lona de Caminhão Authentic,0,17,290,0,0
"2,3",2,OT88,"Execução de Tapete em couro natural, eco ou vinil",0,17,120,0,0
"2,3",2,OT89,Cordão (Restauração de Tapetes Importado) ,0,17,36,0,0
"2,3",2,OT90,Franja envelhecida,0,17,36,0,0
"2,3",2,OT91,Lavagem de Tapetes          ,0,17,25,0,0
"2,3",2,OT92,Lavagem de Carpetes       ,0,17,16,0,0
"2,3",2,OT93,Impermeabilização,0,17,10,0,0
