markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,30",3,OT1,Barra Virada,0,17,8,0,0
"2,30",3,OT2,Debrum a Máquina,0,17,6,0,0
"2,30",3,OT3,Debrum a Mão ,0,17,20,0,0
"2,30",3,OT4,Colocação de Palmilha,0,17,40,0,0
"2,30",3,OT5,Colocação de Antiderrapante Especial (em todo tapete),0,17,30,0,0
"2,30",3,OT6,Colocação de Antiderrapante nas Bordas,0,17,7,0,0
"2,30",3,OT7,Colocação de feltro,0,17,38,0,0
"2,30",3,OT8,Colocação de forro em Sarja  ,0,17,25,0,0
"2,30",3,OT9,Colocação de EVA,0,17,25,0,0
"2,30",3,OT10,Borda em Couro Ecológico até 10cm,0,17,26,0,0
"2,30",3,OT11,Borda em Couro Ecológico até 15cm     ,0,17,28,0,0
"2,30",3,OT12,Borda em Couro Natural até 10 cm ,0,17,90,0,0
"2,30",3,OT13,Borda em Couro natural até 15 cm,0,17,120,0,0
"2,30",3,OT14,Borda em Lona Less até 9 cm ,0,17,20,0,0
"2,30",3,OT15,Borda invertida ,0,17,25,0,0
"2,30",3,OT16,Aplicação de Borda de Couro  / Eco ,0,17,20,0,0
"2,30",3,OT17,Aplicação de Borda de Lona Less   ,0,17,15,0,0
"2,30",3,OT18,Remoção de borda ,0,17,6,0,0
"2,30",3,OT19,Taxa de corte em tapete,0,17,25,0,0
"2,30",3,OT20,Unificação ,0,17,25,0,0
"2,30",3,OT21,Cabeceira de cama em Couro Natural,0,17,450,0,0
"2,30",3,OT22,Cabeceira de cama em Lona de Caminhão,0,17,400,0,0
"2,30",3,OT23,Móveis e Cabeceira de cama em Couro Eco,0,17,300,0,0
"2,30",3,OT24,Painel em Couro Natural com instalação,0,17,400,0,0
"2,30",3,OT25,Painel em Couro Ecológico com instalação,0,17,250,0,0
"2,30",3,OT26,Tapete em Couro Natural até 40 x 40 cm ,0,17,290,0,0
"2,30",3,OT27,Tapete em Couro  Ecológico até 25 x 25 cm ,0,17,210,0,0
"2,30",3,OT28,Tapete em Couro Ecológico até 50 x 50 cm ,0,17,190,0,0
"2,30",3,OT29,Tapete em Vinil até 50 x 50cm ,0,17,190,0,0
"2,30",3,OT30,Tapete de Lona  (Impressão Digital) Pespontado ,0,17,220,0,0
"2,30",3,OT31,Tapete em Lona de Caminhão Authentic,0,17,290,0,0
"2,30",3,OT32,"Execução de Tapete em couro natural, eco ou vinil",0,17,120,0,0
"2,30",3,OT33,Cordão (Restauração de Tapetes Importado) ,0,17,36,0,0
"2,30",3,OT34,Franja envelhecida,0,17,36,0,0
"2,30",3,OT35,Restaurações de tap. Importados,0,17,"0,1",0,0
"2,30",3,OT36,Lavagem de Tapetes          ,0,17,25,0,0
"2,30",3,OT37,Lavagem de Carpetes       ,0,17,16,0,0
"2,30",3,OT38,Impermeabilização,0,17,10,0,0
"2,30",3,OT39,"Sisal – Tramas AB, AD",0,17,64,0,0
"2,30",3,OT40,"Sisal – Tramas CB, CC, CD, CE, CH, CK, CL, CX, CY",0,17,56,0,0
"2,30",3,OT41,"Sisal – Tramas FD, FE, FG",0,17,74,0,0
"2,30",3,OT42,"Sisal – Trama FOX, MHD",0,17,78,0,0
"2,30",3,OT43,"Sisal – Tramas LC, LD, LE",0,17,61,0,0
"2,30",3,OT44,Sisal NJ,0,17,"64,50",0,0
"2,30",3,OT45,"Sisal – Tramas L15, L1",0,17,"88,50",0,0
"2,30",3,OT46,Sisal KONA,0,17,"106,60",0,0
"2,30",3,OT47,Sisal MANDACARÚ,0,17,"106,60",0,0
