markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,30",2,or334,Tapete Casa Cor,0,9,290,0,0
"2,30",2,or335,Tapete Curitiba I,0,9,450,0,0
"2,30",2,or336,Tapete Curitiba III,0,9,290,0,0
"2,30",2,or337,Tapete Curitiba IV,0,9,450,0,0
"2,30",2,or338,Tapete Curitiba VI,0,9,290,0,0
"2,30",2,or339,Tapete Curitiba VII,0,9,290,0,0
"2,30",2,or340,Tapete Curitiba VIII,0,9,290,0,0
"2,30",2,or341,Tapete Giselda,0,9,290,0,0
"2,30",2,or342,Tapete Hammamet II,0,9,290,0,0
"2,30",2,or343,Tapete Hammamet V,0,9,290,0,0
"2,30",2,or344,Tapete Hammamet VI,0,9,290,0,0
"2,30",2,or345,Tapete Hammamet VII,0,9,290,0,0
"2,30",2,or346,Tapete Pirenopolis II,0,9,290,0,0
"2,30",2,or347,Tapete Pirenopolis III,0,9,290,0,0
"2,30",2,or348,Tapete Pirenopolis IV,0,9,290,0,0
"2,30",2,or349,Tapete Pirenopolis IX,0,9,290,0,0
"2,30",2,or350,Tapete Pirenopolis VII,0,9,290,0,0
"2,30",2,or351,Tapete Tunis III,0,9,290,0,0
"2,30",2,or352,Tapete Wening,0,9,290,0,0
"2,30",2,or353,Modulor II,0,9,400,0,0
"2,30",2,or354,Modulor IV,0,9,400,0,0
"2,30",2,or355,Modulor VII,0,9,400,0,0
"2,30",2,or356,Tapete Avignon,0,9,325,0,0
"2,30",2,or357,Tapete Avignon,0,9,400,0,0
"2,30",2,or358,Tapete Chamonix,0,9,440,0,0
"2,30",2,or359,Tapete Dijon,0,9,305,0,0
"2,30",2,or360,Tapete Lattes,0,9,440,0,0
"2,30",2,or361,Tapete Limoges,0,9,440,0,0
"2,30",2,or362,Tapete Lirac,0,9,395,0,0
"2,30",2,or363,Tapete Lussan,0,9,360,0,0
"2,30",2,or364,Tapete Lussan,0,9,440,0,0
"2,30",2,or365,Tapete Meynes ,0,9,440,0,0
"2,30",2,or366,Tapete Mouthe,0,9,440,0,0
"2,30",2,or367,Tapete Nimes,0,9,325,0,0
"2,30",2,or368,Tapete Tolouse,0,9,325,0,0
"2,30",2,or369,Tapete Bizancio 1,0,9,328,0,0
"2,30",2,or370,Tepete Bizancio 2,0,9,300,0,0
"2,30",2,or371,Tepete Bizancio 2,0,9,325,0,0
"2,30",2,or372,Tapete Bizancio 3,0,9,327,0,0
"2,30",2,or373,Tapete Bizancio 4,0,9,325,0,0
"2,30",2,or374,Tapete Bizancio 5,0,9,325,0,0
"2,30",2,or375,Tapete Bizancio 5,0,9,375,0,0
"2,30",2,or376,Tapete Black Diamond 1 ,0,9,385,0,0
"2,30",2,or377,Tapete Black Diamond 2,0,9,385,0,0
"2,30",2,or378,Tapete Canaletto 1,0,9,385,0,0
"2,30",2,or379,Tapete Canaletto 2,0,9,385,0,0
"2,30",2,or380,Tapete Canaletto 3,0,9,385,0,0
"2,30",2,or381,Tapete Canaletto 4,0,9,385,0,0
"2,30",2,or382,Tapete Ellos,0,9,385,0,0
"2,30",2,or383,Tapete Specchio,0,9,385,0,0
"2,30",2,or384,Tapete Bordeaux ,0,9,300,0,0
"2,30",2,or385,Tapete Paris,0,9,365,0,0
"2,30",2,or386,Tapete Agrinio,0,9,440,0,0
"2,30",2,or387,Tapete Alimos ,0,9,305,0,0
"2,30",2,or388,Tapete Argas ,0,9,260,0,0
"2,30",2,or389,Tapete Atenas redondo,0,9,260,0,0
"2,30",2,or390,Tapete Atenas redondo,0,9,290,0,0
"2,30",2,or391,Tapete Barras 1 ( possivel somente nesta palheta de cores),0,9,305,0,0
"2,30",2,or392,Tapete Barras 2 ( possivel somente nesta palheta de cores),0,9,305,0,0
"2,30",2,or393,Tapete Creta ,0,9,390,0,0
"2,30",2,or394,Tapete Delfos,0,9,260,0,0
"2,30",2,or395,Tapete Efeso,0,9,320,0,0
"2,30",2,or396,Tapete Efeso,0,9,345,0,0
"2,30",2,or397,Tapete Grevena,0,9,260,0,0
"2,30",2,or398,Tapete Hydras,0,9,395,0,0
"2,30",2,or399,Tapete Hydras,0,9,450,0,0
"2,30",2,or400,Tapete Ikaria,0,9,290,0,0
"2,30",2,or401,Tapete Knossos,0,9,440,0,0
"2,30",2,or402,Tapete Lamia,0,9,305,0,0
"2,30",2,or403,Tapete Macedonia ,0,9,440,0,0
"2,30",2,or404,Tapete Micenas,0,9,385,0,0
"2,30",2,or405,Tapete Mikonos,0,9,395,0,0
"2,30",2,or406,Tapete Nikaia 1,0,9,400,0,0
"2,30",2,or407,Tapete Nikaia 2,0,9,440,0,0
"2,30",2,or408,Tapete Olimpia,0,9,385,0,0
"2,30",2,or409,Tapete Phylos,0,9,395,0,0
"2,30",2,or410,Tapete Poros 1,0,9,350,0,0
"2,30",2,or411,Tapete Poros 2,0,9,400,0,0
"2,30",2,or412,Tapete Quios,0,9,395,0,0
"2,30",2,or413,Tapete Rhodes ,0,9,325,0,0
"2,30",2,or414,Tapete Santorini,0,9,440,0,0
"2,30",2,or415,Tapete Tricala,0,9,440,0,0
"2,30",2,or416,Tapete Tricala,0,9,490,0,0
"2,30",2,or417,Tapete Troia ,0,9,310,0,0
"2,30",2,or418,Tapete Xanthi ,0,9,310,0,0
"2,30",2,or419,Tapete Xanthi ,0,9,360,0,0
"2,30",2,or420,Abruzzo,0,9,345,0,0
"2,30",2,or421,Tapete Amalfi,0,9,345,0,0
"2,30",2,or422,Tapete Avezzano ,0,9,345,0,0
"2,30",2,or423,Tapete Bologna ,0,9,354,0,0
"2,30",2,or424,Tapete Cagliari,0,9,395,0,0
"2,30",2,or425,Tapete Campobasso,0,9,260,0,0
"2,30",2,or426,Tapete Cantazaro ,0,9,362,0,0
"2,30",2,or427,Tapete Firenze ,0,9,395,0,0
"2,30",2,or428,Tapete L'Aquila ,0,9,"360,5",0,0
"2,30",2,or429,Tapete Lázio 1,0,9,280,0,0
"2,30",2,or430,Tapete Lázio 2,0,9,280,0,0
"2,30",2,or431,Tapete Lázio 3,0,9,280,0,0
"2,30",2,or432,Tapete Lázio 4,0,9,280,0,0
"2,30",2,or433,Tapete Lázio 5,0,9,280,0,0
"2,30",2,or434,Tapete Lázio 6,0,9,280,0,0
"2,30",2,or435,Tapete Lázio 7,0,9,280,0,0
"2,30",2,or436,Tapete Lazio,0,9,280,0,0
"2,30",2,or437,Tapete Liguria ,0,9,305,0,0
"2,30",2,or438,Tapete Milano ,0,9,399,0,0
"2,30",2,or439,Tapete Napoli ,0,9,450,0,0
"2,30",2,or440,Tapete Palermo ,0,9,422,0,0
"2,30",2,or441,Tapete Potenza ,0,9,280,0,0
"2,30",2,or442,Tapete Ravenna ,0,9,366,0,0
"2,30",2,or443,Tapete Roma ,0,9,320,0,0
"2,30",2,or444,Tapete Roma ,0,9,400,0,0
"2,30",2,or445,Tapete Sardegna ,0,9,260,0,0
"2,30",2,or446,Tapete Sicilia ,0,9,350,0,0
"2,30",2,or447,Tapete Sicilia (esculpido),0,9,395,0,0
"2,30",2,or448,Tapete Torino 1 ,0,9,395,0,0
"2,30",2,or449,Tapete Torino 2 ,0,9,395,0,0
"2,30",2,or450,Tapete Trieste,0,9,295,0,0
"2,30",2,or451,Tapete Umbria ,0,9,310,0,0
"2,30",2,or452,Tapete Umbria (esculpido),0,9,340,0,0
"2,30",2,or453,Tapete Veneto (esculpido),0,9,440,0,0
"2,30",2,or454,Passadeira Veneto (esculpido),0,9,400,0,0
"2,30",2,or455,Tapete Venezia ,0,9,290,0,0
"2,30",2,or456,Tapete Beatrice,0,9,420,0,0
"2,30",2,or457,Tapete Catarina,0,9,260,0,0
"2,30",2,or458,Tapete Chiara,0,9,260,0,0
"2,30",2,or459,Tapete Elisabeta,0,9,420,0,0
"2,30",2,or460,Tapete Greta,0,9,340,0,0
"2,30",2,or461,Tapete Helena,0,9,375,0,0
"2,30",2,or462,Tapete Isabella,0,9,260,0,0
"2,30",2,or463,Tapete Alacanto,0,9,440,0,0
"2,30",2,or464,Tapete Alexandria,0,9,480,0,0
"2,30",2,or465, Tapete Babilonia 1,0,9,360,0,0
"2,30",2,or466,Tapete Babilonia 1,0,9,370,0,0
"2,30",2,or467,Tapete Babilonia 1,0,9,410,0,0
"2,30",2,or468,Tapete Babilonia 2,0,9,390,0,0
"2,30",2,or469,Tapete Babilonia 2,0,9,390,0,0
"2,30",2,or470,Tapete Babilonia 2,0,9,450,0,0
