markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,30",2,or153,Tapete Casa Cor,0,9,290,0,0
"2,30",2,or154,Tapete Curitiba I,0,9,450,0,0
"2,30",2,or155,Tapete Curitiba III,0,9,290,0,0
"2,30",2,or156,Tapete Curitiba IV,0,9,450,0,0
"2,30",2,or157,Tapete Curitiba VI,0,9,290,0,0
"2,30",2,or158,Tapete Curitiba VII,0,9,290,0,0
"2,30",2,or159,Tapete Curitiba VIII,0,9,290,0,0
"2,30",2,or160,Tapete Giselda,0,9,290,0,0
"2,30",2,or161,Tapete Hammamet II,0,9,290,0,0
"2,30",2,or162,Tapete Hammamet V,0,9,290,0,0
"2,30",2,or163,Tapete Hammamet VI,0,9,290,0,0
"2,30",2,or164,Tapete Hammamet VII,0,9,290,0,0
"2,30",2,or165,Tapete Pirenopolis II,0,9,290,0,0
"2,30",2,or166,Tapete Pirenopolis III,0,9,290,0,0
"2,30",2,or167,Tapete Pirenopolis IV,0,9,290,0,0
"2,30",2,or168,Tapete Pirenopolis IX,0,9,290,0,0
"2,30",2,or169,Tapete Pirenopolis VII,0,9,290,0,0
"2,30",2,or170,Tapete Tunis III,0,9,290,0,0
"2,30",2,or171,Tapete Wening,0,9,290,0,0
"2,30",2,or172,Modulor II,0,9,400,0,0
"2,30",2,or173,Modulor IV,0,9,400,0,0
"2,30",2,or174,Modulor VII,0,9,400,0,0
"2,30",2,or175,Tapete Avignon,0,9,325,0,0
"2,30",2,or176,Tapete Avignon,0,9,400,0,0
"2,30",2,or177,Tapete Chamonix,0,9,440,0,0
"2,30",2,or178,Tapete Dijon,0,9,305,0,0
"2,30",2,or179,Tapete Lattes,0,9,440,0,0
"2,30",2,or180,Tapete Limoges,0,9,440,0,0
"2,30",2,or181,Tapete Lirac,0,9,395,0,0
"2,30",2,or182,Tapete Lussan,0,9,360,0,0
"2,30",2,or183,Tapete Lussan,0,9,440,0,0
"2,30",2,or184,Tapete Meynes ,0,9,440,0,0
"2,30",2,or185,Tapete Mouthe,0,9,440,0,0
"2,30",2,or186,Tapete Nimes,0,9,325,0,0
"2,30",2,or187,Tapete Tolouse,0,9,325,0,0
"2,30",2,or188,Tapete Bizancio 1,0,9,328,0,0
"2,30",2,or189,Tepete Bizancio 2,0,9,300,0,0
