markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,30",2,or511,Tapete Casa Cor,0,9,290,0,0
"2,30",2,or512,Tapete Curitiba I,0,9,450,0,0
"2,30",2,or513,Tapete Curitiba III,0,9,290,0,0
"2,30",2,or514,Tapete Curitiba IV,0,9,450,0,0
"2,30",2,or515,Tapete Curitiba VI,0,9,290,0,0
"2,30",2,or516,Tapete Curitiba VII,0,9,290,0,0
"2,30",2,or517,Tapete Curitiba VIII,0,9,290,0,0
"2,30",2,or518,Tapete Giselda,0,9,290,0,0
"2,30",2,or519,Tapete Hammamet II,0,9,290,0,0
"2,30",2,or520,Tapete Hammamet V,0,9,290,0,0
"2,30",2,or521,Tapete Hammamet VI,0,9,290,0,0
"2,30",2,or522,Tapete Hammamet VII,0,9,290,0,0
"2,30",2,or523,Tapete Pirenopolis II,0,9,290,0,0
"2,30",2,or524,Tapete Pirenopolis III,0,9,290,0,0
"2,30",2,or525,Tapete Pirenopolis IV,0,9,290,0,0
"2,30",2,or526,Tapete Pirenopolis IX,0,9,290,0,0
"2,30",2,or527,Tapete Pirenopolis VII,0,9,290,0,0
"2,30",2,or528,Tapete Tunis III,0,9,290,0,0
"2,30",2,or529,Tapete Wening,0,9,290,0,0
"2,30",2,or530,Modulor II,0,9,400,0,0
"2,30",2,or531,Modulor IV,0,9,400,0,0
"2,30",2,or532,Modulor VII,0,9,400,0,0
"2,30",2,or533,Tapete Avignon,0,9,325,0,0
"2,30",2,or534,Tapete Avignon,0,9,400,0,0
"2,30",2,or535,Tapete Chamonix,0,9,440,0,0
"2,30",2,or536,Tapete Dijon,0,9,305,0,0
"2,30",2,or537,Tapete Lattes,0,9,440,0,0
"2,30",2,or538,Tapete Limoges,0,9,440,0,0
"2,30",2,or539,Tapete Lirac,0,9,395,0,0
"2,30",2,or540,Tapete Lussan,0,9,360,0,0
"2,30",2,or541,Tapete Lussan,0,9,440,0,0
"2,30",2,or542,Tapete Meynes ,0,9,440,0,0
"2,30",2,or543,Tapete Mouthe,0,9,440,0,0
"2,30",2,or544,Tapete Nimes,0,9,325,0,0
"2,30",2,or545,Tapete Tolouse,0,9,325,0,0
"2,30",2,or546,Tapete Bizancio 1,0,9,328,0,0
"2,30",2,or547,Tepete Bizancio 2,0,9,300,0,0
"2,30",2,or548,Tepete Bizancio 2,0,9,325,0,0
"2,30",2,or549,Tapete Bizancio 3,0,9,327,0,0
"2,30",2,or550,Tapete Bizancio 4,0,9,325,0,0
"2,30",2,or551,Tapete Bizancio 5,0,9,325,0,0
"2,30",2,or552,Tapete Bizancio 5,0,9,375,0,0
"2,30",2,or553,Tapete Black Diamond 1 ,0,9,385,0,0
"2,30",2,or554,Tapete Black Diamond 2,0,9,385,0,0
