markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,35",2,or688,Tapete B1 10mm/17mm(esculpido),0,9,800,0,0
"2,35",2,or689,Tapete D1 17mm,0,9,800,0,0
"2,35",2,or690,Tapete Fiori  10mm/17mm,0,9,800,0,0
"2,35",2,or691,Tapete Formale Solare  10mm/17mm,0,9,800,0,0
"2,35",2,or692,Tapete Quadro Seda 10mm/17mm,0,9,800,0,0
"2,35",2,or693,Tapete metempsi 10mm/17mm,0,9,800,0,0
"2,35",2,or694,Tapete Recanto  10mm/17mm,0,9,800,0,0
"2,35",2,or695,Tapete Sole della casa 17mm,0,9,800,0,0
"2,35",2,or696,Tapete Z 17mm,0,9,800,0,0
"2,35",2,or697,Tapete Avignon 10mm,0,9,345,0,0
"2,35",2,or698,Tapete Avignon 10mm/17mm,0,9,400,0,0
"2,35",2,or699,Tapete Chamonix 10mm,0,9,440,0,0
"2,35",2,or700,Tapete Dijon 10mm,0,9,370,0,0
"2,35",2,or701,Tapete Lattes 10mm,0,9,440,0,0
"2,35",2,or702,Tapete Limoges 10mm,0,9,440,0,0
"2,35",2,or703,Tapete Lirac 10mm,0,9,395,0,0
"2,35",2,or704,Tapete Lussan 10mm,0,9,345,0,0
"2,35",2,or705,"Tapete Lussan 10mm,/17mm (esculpido)",0,9,400,0,0
"2,35",2,or706,Tapete Meynes  10mm,0,9,345,0,0
"2,35",2,or707,Tapete Meynes  10mm/17mm (esculpido),0,9,400,0,0
"2,35",2,or708,Tapete Mouthe 10mm,0,9,440,0,0
"2,35",2,or709,Tapete Nimes 10mm,0,9,395,0,0
"2,35",2,or710,Tapete Tolouse 10mm,0,9,325,0,0
"2,35",2,or711,Tapete Bizancio 1 10mm/17mm,0,9,390,0,0
"2,35",2,or712,Tepete Bizancio 2 10mm,0,9,360,0,0
"2,35",2,or713,Tepete Bizancio 2 10mm/17mm,0,9,390,0,0
"2,35",2,or714,Tapete Bizancio 3 10mm,0,9,360,0,0
"2,35",2,or715,Tapete Bizancio 4 10mm/17mm,0,9,390,0,0
"2,35",2,or716,Tapete Bizancio 5 10mm,0,9,360,0,0
"2,35",2,or717,Tapete Bizancio 5 10mm/17mm,0,9,390,0,0
"2,35",2,or718,Tapete Black Diamond 1  10mm/17mm,0,9,385,0,0
"2,35",2,or719,Tapete Black Diamond 2 10mm/17mm,0,9,385,0,0
"2,35",2,or720,Tapete Canaletto 1 10mm,0,9,385,0,0
"2,35",2,or721,Tapete Canaletto 2 10mm/17mm,0,9,385,0,0
"2,35",2,or722,Tapete Canaletto 3 10mm/17mm,0,9,385,0,0
"2,35",2,or723,Tapete Canaletto 4 10mm/17mm,0,9,385,0,0
"2,35",2,or724,Tapete Ellos 10mm/17mm (esculpido),0,9,390,0,0
"2,35",2,or725,Tapete Specchio 10mm/17mm,0,9,385,0,0
"2,35",2,or726,Tapete Bordeaux  10mm/17mm (esculpido),0,9,300,0,0
"2,35",2,or727,Tapete Paris 10mm/17mm (esculpido),0,9,365,0,0
"2,35",2,or728,Tapete Agrinio 10mm,0,9,440,0,0
"2,35",2,or729,Tapete Alimos  10mm,0,9,310,0,0
"2,35",2,or730,Tapete Argas  10mm,0,9,310,0,0
"2,35",2,or731,Tapete Atenas redondo 10mm,0,9,280,0,0
"2,35",2,or732,Tapete Atenas redondo 17mm,0,9,290,0,0
"2,35",2,or733,Tapete Barras 1 ( possivel somente nesta palheta de cores) 10mm,0,9,340,0,0
"2,35",2,or734,Tapete Barras 2 ( possivel somente nesta palheta de cores) 10mm,0,9,340,0,0
"2,35",2,or735,Tapete Creta  10mm/17mm,0,9,390,0,0
"2,35",2,or736,Tapete Delfos 10mm,0,9,330,0,0
"2,35",2,or737,Tapete Efeso 10mm,0,9,320,0,0
"2,35",2,or738,Tapete Efeso 10mm/17mm,0,9,345,0,0
"2,35",2,or739,Tapete Galatsi 10mm/17mm (esculpido),0,9,490,0,0
"2,35",2,or740,Tapete Grevena 10mm,0,9,345,0,0
"2,35",2,or741,Tapete Grevena  10mm/17mm (esculpido),0,9,400,0,0
"2,35",2,or742,Tapete Hydras 10mm,0,9,395,0,0
"2,35",2,or743,Tapete Hydras 10mm/17mm,0,9,450,0,0
"2,35",2,or744,Tapete Ikaria 10mm/17mm,0,9,320,0,0
"2,35",2,or745,Tapete Knossos 10mm,0,9,440,0,0
"2,35",2,or746,Tapete Lamia 10mm,0,9,310,0,0
"2,35",2,or747,Tapete Lepanto  10mm/17mm (esculpido),0,9,1500,0,0
"2,35",2,or748,Tapete Lepanto 2 10mm/17mm(esculpido ,0,9,1000,0,0
"2,35",2,or749,Tapete Macedonia  10mm,0,9,490,0,0
"2,35",2,or750,Tapete Micenas 10mm,0,9,385,0,0
"2,35",2,or751,Tapete Mikonos 10mm,0,9,395,0,0
"2,35",2,or752,Tapete Nikaia 1 10mm,0,9,400,0,0
"2,35",2,or753,Tapete Nikaia 2 10mm,0,9,445,0,0
"2,35",2,or754,Tapete Olimpia 10mm,0,9,385,0,0
"2,35",2,or755,Tapete Phylos 10mm/17mm,0,9,395,0,0
"2,35",2,or756,Tapete Poros 1 10mm,0,9,350,0,0
"2,35",2,or757,Tapete Poros 2 10mm,0,9,350,0,0
"2,35",2,or758,Tapete Quios 10mm,0,9,395,0,0
"2,35",2,or759,Tapete Rhodes  10mm,0,9,325,0,0
"2,35",2,or760,Tapete Santorini 10mm,0,9,450,0,0
"2,35",2,or761,Tapete Tricala 10mm,0,9,445,0,0
"2,35",2,or762,Tapete Troia  10mm,0,9,390,0,0
"2,35",2,or763,Tapete Xanthi  10mm,0,9,380,0,0
"2,35",2,or764,Tapete Xanthi  10mm/17mm (esculpido),0,9,440,0,0
"2,35",2,or765,Tapete Casa Cor 10mm,0,9,500,0,0
"2,35",2,or766,Tapete Curitiba III 10mm,0,9,345,0,0
"2,35",2,or767,Tapete Curitiba IV 10mm,0,9,375,0,0
"2,35",2,or768,Tapete Curitiba VI 10mm,0,9,375,0,0
"2,35",2,or769,Tapete Curitiba VII 10mm,0,9,415,0,0
"2,35",2,or770,Tapete Curitiba VIII 10mm,0,9,360,0,0
"2,35",2,or771,Tapete Giselda 10mm,0,9,455,0,0
"2,35",2,or772,Tapete Hammamet II 10mm,0,9,455,0,0
"2,35",2,or773,Tapete Hammamet V 10mm,0,9,450,0,0
"2,35",2,or774,Tapete Hammamet VI 10mm,0,9,600,0,0
"2,35",2,or775,Tapete Hammamet VII 10mm,0,9,475,0,0
"2,35",2,or776,Tapete Pirenopolis II 10mm,0,9,440,0,0
"2,35",2,or777,Tapete Pirenopolis III 10mm,0,9,440,0,0
"2,35",2,or778,Tapete Pirenopolis IV 10mm,0,9,475,0,0
"2,35",2,or779,Tapete Pirenopolis VII 10mm,0,9,455,0,0
"2,35",2,or780,Tapete Tunis III 10mm,0,9,600,0,0
"2,35",2,or781,Tapete Wening 10mm,0,9,345,0,0
"2,35",2,or782,Modulor II 10mm,0,9,500,0,0
"2,35",2,or783,Modulor IV 10mm,0,9,500,0,0
"2,35",2,or784,Modulor VII 10mm,0,9,500,0,0
"2,35",2,or785,Abruzzo 10mm,0,9,345,0,0
"2,35",2,or786,Tapete Amalfi 10mm,0,9,345,0,0
"2,35",2,or787,Tapete Avezzano  10mm,0,9,345,0,0
"2,35",2,or788,Tapete Bologna  10mm/17mm,0,9,395,0,0
"2,35",2,or789,Tapete Cagliari 10mm,0,9,395,0,0
"2,35",2,or790,Tapete Campobasso 10mm,0,9,305,0,0
"2,35",2,or791,Tapete Cantazaro  10mm/17mm,0,9,395,0,0
"2,35",2,or792,Tapete Firenze  10mm/17mm,0,9,395,0,0
"2,35",2,or793,Tapete L'Aquila  10mm,0,9,400,0,0
"2,35",2,or794,Tapete L‡zio 1 10mm/17mm(esculpido),0,9,290,0,0
"2,35",2,or795,Tapete L‡zio 2 10mm/17mm(esculpido),0,9,290,0,0
"2,35",2,or796,Tapete L‡zio 3 10mm/17mm(esculpido),0,9,290,0,0
"2,35",2,or797,Tapete L‡zio 4 10mm/17mm(esculpido),0,9,290,0,0
"2,35",2,or798,Tapete L‡zio 5 10mm/17mm(esculpido),0,9,290,0,0
"2,35",2,or799,Tapete L‡zio 6 10mm/17mm(esculpido),0,9,290,0,0
"2,35",2,or800,Tapete L‡zio 7 10mm/17mm(esculpido),0,9,290,0,0
"2,35",2,or801,Tapete Lazio 10mm/17mm,0,9,290,0,0
"2,35",2,or802,Tapete Liguria  10mm,0,9,310,0,0
"2,35",2,or803,Tapete Milano  10mm/17mm,0,9,400,0,0
"2,35",2,or804,Tapete Napoli  10mm,0,9,450,0,0
"2,35",2,or805,Tapete Palermo  10mm/17mm,0,9,425,0,0
"2,35",2,or806,Tapete Potenza  10mm/17mm,0,9,310,0,0
"2,35",2,or807,Tapete Ravenna  10mm,0,9,310,0,0
"2,35",2,or808,Tapete Roma  10mm,0,9,400,0,0
"2,35",2,or809,Tapete Roma  10mm/17mm,0,9,440,0,0
"2,35",2,or810,Tapete Sardegna  10mm,0,9,270,0,0
"2,35",2,or811,Tapete Sicilia  10mm,0,9,350,0,0
"2,35",2,or812,Tapete Sicilia 10mm/17mm(esculpido),0,9,395,0,0
"2,35",2,or813,Tapete Torino 2  10mm/17mm,0,9,395,0,0
"2,35",2,or814,Tapete Torino 1 10mm/17mm,0,9,395,0,0
"2,35",2,or815,Tapete Trieste 17mm,0,9,310,0,0
"2,35",2,or816,Tapete Umbria  10mm,0,9,340,0,0
"2,35",2,or817,Tapete Umbria  10mm/17mm(esculpido),0,9,370,0,0
"2,35",2,or818,Tapete Veneto  10mm,0,9,400,0,0
"2,35",2,or819,Tapete Veneto  10mm/17mm (esculpido),0,9,440,0,0
"2,35",2,or820,Passadeira Veneto  10mm,0,9,380,0,0
"2,35",2,or821,Passadeira Veneto  10mm/17mm (esculpido),0,9,400,0,0
"2,35",2,or822,Tapete Venezia  10/17mm,0,9,310,0,0
"2,35",2,or823,Tapete Beatrice 10mm/17mm/40mm,0,9,420,0,0
"2,35",2,or824,Tapete Catarina 17mm/40mm,0,9,312,0,0
"2,35",2,or825,Tapete Chiara 17mm,0,9,312,0,0
"2,35",2,or826,Tapete Elisabeta 10mm/17mm/40mm,0,9,420,0,0
"2,35",2,or827,Tapete Greta 10mm/17mm/40mm,0,9,350,0,0
"2,35",2,or828,Tapete Helena 10mm/17mm,0,9,450,0,0
"2,35",2,or829,Tapete Isabella 10mm/17mm/40mm,0,9,312,0,0
"2,35",2,or830,Tapete Alacanto 10mm,0,9,440,0,0
"2,35",2,or831,Tapete Alexandria 10mm,0,9,480,0,0
"2,35",2,or832,Tapete Ancara  10mm,0,9,500,0,0
"2,35",2,or833, Tapete Babilonia 1 10mm,0,9,360,0,0
"2,35",2,or834,Tapete Babilonia 1 17mm,0,9,390,0,0
"2,35",2,or835,Tapete Babilonia 1 10mm/17mm (esculpido),0,9,420,0,0
"2,35",2,or836,Tapete Babilonia 2 10mm,0,9,390,0,0
"2,35",2,or837,Tapete Babilonia 2 17mm,0,9,420,0,0
"2,35",2,or838,Tapete Babilonia 2 10mm/17mm( esculpido),0,9,450,0,0
"2,35",2,or839,Tapete Beirute  10mm/17mm(esculpido),0,9,390,0,0
"2,35",2,or840,Tapete Cairo  10mm,0,9,400,0,0
"2,35",2,or841,Tapete Cameroon 10mm,0,9,420,0,0
"2,35",2,or842,Tapete Capad—cia  10mm/17mm(esculpido),0,9,450,0,0
"2,35",2,or843,Tapete Capad—cia 2 10mm/17mm(esculpido),0,9,360,0,0
"2,35",2,or844,Tapete Citera 10mm,0,9,390,0,0
"2,35",2,or845,Tapete Constantine 10mm,0,9,440,0,0
"2,35",2,or846,Tapete Dakar 1 10mm,0,9,395,0,0
"2,35",2,or847,Tapete Dakar 2 10mm,0,9,395,0,0
"2,35",2,or848,Tapete Damasco  10mm,0,9,395,0,0
"2,35",2,or849,Tapete Dubai  10mm/17mm(esculpido),0,9,475,0,0
"2,35",2,or850,Tapete Georgia 10mm,0,9,450,0,0
"2,35",2,or851,Tapete Istambul 10/17mm (esculpido),0,9,440,0,0
"2,35",2,or852,Tapete Jordania  10mm/17mm,0,9,440,0,0
"2,35",2,or853,Tapete L’bano  10mm/17mm(esculpido),0,9,440,0,0
"2,35",2,or854,Tapete Libia 1  10mm,0,9,395,0,0
"2,35",2,or855,Tapete Libia 2  10mm,0,9,415,0,0
"2,35",2,or856,Tapete Meca  10mm/17mm(esculpido),0,9,430,0,0
"2,35",2,or857,Tapete M_denine 10mm,0,9,440,0,0
"2,35",2,or858,Tapete Messina 10mm,0,9,395,0,0
"2,35",2,or859,Tapete Om‹ 1 10mm/17mm,0,9,390,0,0
"2,35",2,or860,Tapete Om‹ 2 10mm/17mm(esculpido),0,9,480,0,0
"2,35",2,or861,Tapete Riad 10mm/17mm,0,9,345,0,0
"2,35",2,or862,Tapete Sari  10mm,0,9,400,0,0
"2,35",2,or863,Tapete Sari  10mm/17mm(esculpido),0,9,440,0,0
"2,35",2,or864,Tapete Shamsa 10mm/17mm,0,9,440,0,0
"2,35",2,or865,Tapete S’ria 10mm/17mm,0,9,420,0,0
"2,35",2,or866,Tapete Tabuk 10mm,0,9,390,0,0
