markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,30",2,or1,Tapete Bizancio 1 - 10mm/17mm,0,8,"327,45",0,0
"2,30",2,or2,Tapete Bizancio 2 - 10mm/17mm,0,8,"327,45",0,0
"2,30",2,or3,Tapete Bizancio 3 - 10mm,0,8,"327,45",0,0
"2,30",2,or4,Tapete Bizancio 4 - 10mm/17mm,0,8,"327,45",0,0
"2,30",2,or5,Tapete Bizancio 5 - 17mm,0,8,"327,45",0,0
"2,30",2,or6,Tapete Bordeaux - 17mm,0,8,"366,3",0,0
"2,30",2,or7,Tapete Black Diamond 1 - 10mm/17mm,0,8,"327,45",0,0
"2,30",2,or8,Tapete Black Diamond 2 - 10mm/17mm,0,8,"327,45",0,0
"2,30",2,or9,Tapete Canaletto 1 - 10mm/17mm,0,8,"382,95",0,0
"2,30",2,or10,Tapete Canaletto 2 - 10mm/17mm,0,8,"382,95",0,0
"2,30",2,or11,Tapete Canaletto 3 - 10mm/17mm,0,8,"271,95",0,0
"2,30",2,or12,Tapete Canaletto 4 - 10mm/17mm,0,8,"271,95",0,0
"2,30",2,or13,Tapete Ellos - 10mm,0,8,375,0,0
"2,30",2,or14,Tapete Ellos - 10mm/17mm,0,8,440,0,0
"2,30",2,or15,Tapete Paris - 17mm,0,8,444,0,0
"2,30",2,or16,Tapete Specchio 1 - 10mm/17mm,0,8,"366,3",0,0
"2,30",2,or17,Tapete Agrinio - 10mm,0,8,440,0,0
"2,30",2,or18,Tapete Alimos - 10mm,0,8,295,0,0
"2,30",2,or19,Tapete Argas - 17mm,0,8,295,0,0
"2,30",2,or20,Tapete Atenas - 10mm/17mm,0,8,"257,4",0,0
"2,30",2,or21,Tapete Barras I e II - 10mm,0,8,305,0,0
"2,30",2,or22,Tapete Chania - 10mm/17mm,0,8,440,0,0
"2,30",2,or23,Tapete Corinto - 10mm/17mm,0,8,345,0,0
"2,30",2,or24,Tapete Creta - 10mm/17mm,0,8,345,0,0
"2,30",2,or25,Tapete Delfos - 10mm,0,8,294,0,0
"2,30",2,or26,Tapete Efeso - 10mm/17mm,0,8,345,0,0
"2,30",2,or27,Tapete Grevena - 10mm,0,8,258,0,0
"2,30",2,or28,Tapete Grevena - 10mm/17mm,0,8,258,0,0
"2,30",2,or29,Tapete Hydras - 10mm,0,8,295,0,0
"2,30",2,or30,Tapete Hydras - 10mm/17mm,0,8,"352,5",0,0
"2,30",2,or31,Tapete Ikaria - 10mm,0,8,294,0,0
"2,30",2,or32,Tapete Ikaria - 10mm/17mm,0,8,294,0,0
"2,30",2,or33,Tapete Konossos - 10mm,0,8,440,0,0
"2,30",2,or34,Tapete Lamia - 10mm,0,8,296,0,0
"2,30",2,or35,Tapete Macedonia - 10mm,0,8,440,0,0
"2,30",2,or36,Tapete Micenas - 10mm,0,8,385,0,0
"2,30",2,or37,Tapete Mikonos - 10mm/17mm,0,8,400,0,0
"2,30",2,or38,Tapete Nikaia I - 10mm,0,8,295,0,0
"2,30",2,or39,Tapete Nikaia - 10mm,0,8,440,0,0
"2,30",2,or40,Tapete Olimpia - 10mm,0,8,385,0,0
"2,30",2,or41,Tapete Patras - 10mm/17mm,0,8,"271,5",0,0
"2,30",2,or42,Tapete Philos - 10mm/17mm,0,8,345,0,0
"2,30",2,or43,Tapete Poros I - 17mm,0,8,350,0,0
"2,30",2,or44,Tapete Poros II - 17mm,0,8,350,0,0
"2,30",2,or45,Tapete Quios - 10mm,0,8,395,0,0
"2,30",2,or46,Tapete Rhodes - 10mm,0,8,375,0,0
"2,30",2,or47,Tapete Rhodes - 17mm,0,8,420,0,0
"2,30",2,or48,Tapete Santorini - 10mm,0,8,450,0,0
"2,30",2,or49,Tapete Tebas - 10mm/17mm,0,8,345,0,0
"2,30",2,or50,Tapete Tricala - 10mm/17mm,0,8,440,0,0
"2,30",2,or51,Tapete Troia - 10mm,0,8,295,0,0
"2,30",2,or52,Tapete Xanthi - 10mm/17mm,0,8,440,0,0
"2,30",2,or53,Tapete Abruzzo - 10mm,0,8,300,0,0
"2,30",2,or54,Tapete Abruzzo - 10mm/17mm,0,8,336,0,0
"2,30",2,or55,Tapete Amalfi - 10mm,0,8,295,0,0
"2,30",2,or56,Tapete Ancona - 10mm/17mm,0,8,"382,95",0,0
"2,30",2,or57,Tapete Avezzano - 10mm,0,8,345,0,0
"2,30",2,or58,Tapete Bari I - 10mm,0,8,444,0,0
"2,30",2,or59,Tapete Bari II - 10mm,0,8,345,0,0
"2,30",2,or60,Tapete Bologna - 10mm/17mm,0,8,295,0,0
"2,30",2,or61,Tapete Cagliari - 10mm,0,8,395,0,0
"2,30",2,or62,Tapete Campobasso - 17mm,0,8,294,0,0
"2,30",2,or63,Tapete Cantazaro - 10mm/17mm,0,8,"302,42",0,0
"2,30",2,or64,Tapete Firenze - 10mm/17mm,0,8,"382,95",0,0
"2,30",2,or65,Tapete Laquila - 10mm,0,8,"360,75",0,0
"2,30",2,or66,Tapete Lazio 1 - 10mm/17mm,0,8,"259,59",0,0
"2,30",2,or67,Tapete Lazio 2 - 10mm/17mm,0,8,"259,74",0,0
"2,30",2,or68,Tapete Liguria - 10mm,0,8,"305,25",0,0
"2,30",2,or69,Tapete Milano - 10mm/17mm,0,8,333,0,0
"2,30",2,or70,Tapete Napoli - 10mm,0,8,450,0,0
"2,30",2,or71,Tapete Palermo - 10mm/17mm,0,8,352,0,0
"2,30",2,or72,Tapete Potenza - 17mm,0,8,"259,74",0,0
"2,30",2,or73,Tapete Ravenna - 10mm/17mm,0,8,305,0,0
"2,30",2,or74,Tapete Roma - 10mm,0,8,430,0,0
"2,30",2,or75,Tapete Sardegna - 10mm,0,8,"259,74",0,0
"2,30",2,or76,Tapete Sicilia - 10mm,0,8,"271,95",0,0
"2,30",2,or77,Tapete Sicilia II - 10mm/17mm,0,8,340,0,0
