markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,28",1,orl5810,PAPEL ALL ABOUT ME SWEET HEART 110538,15,16,"397,267",0,0
"2,28",1,orl5811,PAPEL ALL ABOUT ME OOPSIE  DAISE 110545,15,16,"397,267",0,0
"2,28",1,orl5812,PAPEL ALL ABOUT ME OOPSIE DAISY 110546,15,16,"397,267",0,0
"2,28",1,orl5813,PAPEL ALL ABOUT ME OOPSIE DAISY 110547,15,16,"397,15",0,0
"2,28",1,orl5814,PAPEL ALL ABOUT ME REGGIE ROBOT  110532,15,16,"397,267",0,0
"2,28",1,orl5815,PAPEL ALL ABOUT ME REGGIE ROBOT 110533,15,16,"397,15",0,0
"2,28",1,orl5816,PAPEL ALL ABOUT ME REGGIE ROBOT 110534,15,16,"397,15",0,0
"2,28",1,orl5817,PAPEL ALL ABOUT ME SAIL AWAY 110529,15,16,"397,15",0,0
"2,28",1,orl5818,PAPEL ALL ABOUT ME SAIL AWAY 110530,15,16,"397,15",0,0
"2,28",1,orl5819,PAPEL ALL ABOUT ME SAIL AWAY 110531,15,16,"397,15",0,0
"2,28",1,orl5820,PAPEL ALL ABOUT ME MINI STRIPE 110515,15,16,"397,15",0,0
"2,28",1,orl5821,PAPEL ALL ABOUT ME SWEET HEART 110539,15,16,"397,267",0,0
"2,28",1,orl5822,PAPEL ALL ABOUT ME TICKETY BOO 110516,15,16,"397,15",0,0
"2,28",1,orl5823,PAPEL ALL ABOUT ME TICKETY BOO 110517,15,16,"397,15",0,0
"2,28",1,orl5824,PAPEL ALL ABOUT ME TICKETY BOO 110518,15,16,"397,15",0,0
"2,28",1,orl5825,PAPEL ALL ABOUT ME TICKETY BOO 110519,15,16,"397,267",0,0
"2,28",1,orl5826,PAPEL ALL ABOUT ME TICKETY BOO 110520,15,16,"397,15",0,0
"2,28",1,orl5827,PAPEL ALL ABOUT ME TICKETY BOO 110521,15,16,"397,267",0,0
"2,28",1,orl5828,PAPEL ALL ABOUT ME TICKETY BOO3 110522,15,16,"397,267",0,0
"2,28",1,orl5829,PAPEL ALL ABOUT ME YO YO 110527,15,16,"397,15",0,0
"2,28",1,orl5830,PAPEL ALL ABOUT ME YO YO 110528,15,16,"397,15",0,0
"2,28",1,orl5831,PAPEL ALL ABOUT ME ABACUS 110543,15,16,"397,15",0,0
"2,28",1,orl5832,PAPEL ALL ABOUT ME KALEIDOSCOPE 110523,15,16,"397,15",0,0
"2,28",1,orl5833,PAPEL ALL ABOUT ME ABACUS 110544,15,16,"397,267",0,0
"2,28",1,orl5834,PAPEL ALL ABOUT ME ALL MY BOOKS 110535,15,16,"397,15",0,0
"2,28",1,orl5835,PAPEL ALL ABOUT ME BEST OF FRIENDS 110548,15,16,"397,267",0,0
"2,28",1,orl5836,PAPEL ALL ABOUT ME BEST OF FRIENDS 110549,15,16,"397,267",0,0
"2,28",1,orl5837,PAPEL ALL ABOUT ME BOUTIQUE BOULEVARD 110536,15,16,"397,15",0,0
"2,28",1,orl5838,PAPEL ALL ABOUT ME BOUTIQUE BOULEVARD 110537,15,16,"397,15",0,0
"2,28",1,orl5839,PAPEL ALL ABOUT ME DITSY DAISY 110550,15,16,"397,267",0,0
"2,28",1,orl5840,PAPEL ALL ABOUT ME DITSY DAISY 110551,15,16,"397,267",0,0
"2,28",1,orl5841,PAPEL ALL ABOUT ME DITSY DAISY 110552,15,16,"397,267",0,0
"2,28",1,orl5842,PAPEL ALL ABOUT ME MINI STRIPE 110514,15,16,"397,15",0,0
"2,28",1,orl5843,PAPEL ALL ABOUT ME KALEIDOSCOPE 110524,15,16,"397,15",0,0
"2,28",1,orl5844,PAPEL ALL ABOUT ME KALEIDOSCOPE 110525,15,16,"397,15",0,0
"2,28",1,orl5845,PAPEL ALL ABOUT ME KALEIDOSCOPE 110526,15,16,"397,148",0,0
"2,28",1,orl5846,PAPEL ALL ABOUT ME LA DI DA 110540,15,16,"397,267",0,0
"2,28",1,orl5847,PAPEL ALL ABOUT ME LA DI DA 110541,15,16,"397,267",0,0
"2,28",1,orl5848,PAPEL ALL ABOUT ME LA DI DA 110542,15,16,"397,15",0,0
"2,28",1,orl5849,PAPEL ALL ABOUT ME LOVE HEARTS  110553,15,16,"397,267",0,0
"2,28",1,orl5850,PAPEL ALL ABOUT ME MINI STRIPE 110512,15,16,"397,15",0,0
"2,28",1,orl5851,PAPEL ALL ABOUT ME MINI STRIPE 110513,15,16,"397,15",0,0
"2,28",1,orl5852,PAPEL AUREUS 070865,15,16,"173,493",0,0
"2,28",1,orl5853,PAPEL AUREUS 070872,15,16,"173,493",0,0
"2,28",1,orl5854,PAPEL AUREUS 070858,15,16,"173,493",0,0
"2,28",1,orl5855,PAPEL AUREUS 070841,15,16,"173,493",0,0
"2,28",1,orl5856,PAPEL AUREUS 070834,15,16,"173,493",0,0
"2,28",1,orl5857,PAPEL AUREUS 070902,15,16,"173,493",0,0
"2,28",1,orl5858,PAPEL AUREUS 070926,15,16,"173,493",0,0
"2,28",1,orl5859,PAPEL AUREUS 070940,15,16,"173,493",0,0
"2,28",1,orl5860,PAPEL AUREUS 071039,15,16,"652,095",0,0
"2,28",1,orl5861,PAPEL AUREUS 070803,15,16,"173,493",0,0
"2,28",1,orl5862,PAPEL AUREUS 070797,15,16,"173,493",0,0
"2,28",1,orl5863,PAPEL AUREUS 070780,15,16,"173,493",0,0
"2,28",1,orl5864,PAPEL AUREUS 070711,15,16,"198,42",0,0
"2,28",1,orl5865,PAPEL AUREUS 070704,15,16,"198,42",0,0
"2,28",1,orl5866,PAPEL AUREUS 070698,15,16,"198,42",0,0
"2,28",1,orl5867,PAPEL AUREUS 070681,15,16,"198,42",0,0
"2,28",1,orl5868,PAPEL AUREUS 070667,15,16,"198,42",0,0
