markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,38",1,orl1,PAPEL VILLA SIENNA SN11305,15,16,"312,444",0,0
"2,38",1,orl2,PAPEL VILLA SIENNA SN11308,15,16,"312,444",0,0
"2,38",1,orl3,PAPEL VILLA SIENNA SN11209,15,16,"312,444",0,0
"2,38",1,orl4,PAPEL VILLA SIENNA SN11208,15,16,"312,444",0,0
"2,38",1,orl5,PAPEL VILLA SIENNA SN11309,15,16,"312,444",0,0
"2,38",1,orl6,PAPEL VILLA SIENNA SN11401,15,16,"312,444",0,0
"2,38",1,orl7,PAPEL VILLA SIENNA SN11403,15,16,"312,444",0,0
"2,38",1,orl8,PAPEL VILLA SIENNA SN11404,15,16,"312,444",0,0
"2,38",1,orl9,PAPEL VILLA SIENNA SN11405,15,16,"312,444",0,0
"2,38",1,orl10,PAPEL VILLA SIENNA SN11205,15,16,"312,444",0,0
"2,38",1,orl11,PAPEL VILLA SIENNA SN11203,15,16,"312,444",0,0
"2,38",1,orl12,PAPEL VILLA SIENNA SN11108,15,16,"312,444",0,0
"2,38",1,orl13,PAPEL VILLA SIENNA SN11104,15,16,"312,444",0,0
"2,38",1,orl14,PAPEL VILLA SIENNA SN11102,15,16,"312,444",0,0
"2,38",1,orl15,PAPEL VILLA SIENNA SN11101,15,16,"312,444",0,0
"2,38",1,orl16,PAPEL VILLA SIENNA SN11009,15,16,"312,444",0,0
"2,38",1,orl17,PAPEL VILLA SIENNA SN11702,15,16,"312,444",0,0
"2,38",1,orl18,PAPEL VILLA SIENNA SN11701,15,16,"312,444",0,0
"2,38",1,orl19,PAPEL VILLA SIENNA SN11807,15,16,"468,072",0,0
"2,38",1,orl20,PAPEL VILLA SIENNA SN11805,15,16,"468,072",0,0
"2,38",1,orl21,PAPEL VILLA SIENNA SN11804,15,16,"468,072",0,0
"2,38",1,orl22,PAPEL VILLA SIENNA SN11801,15,16,"468,072",0,0
"2,38",1,orl23,PAPEL VILLA SIENNA SN11708,15,16,"312,444",0,0
"2,38",1,orl24,PAPEL VILLA SIENNA SN11704,15,16,"312,444",0,0
"2,38",1,orl25,PAPEL VILLA SIENNA SN11409,15,16,"312,444",0,0
"2,38",1,orl26,PAPEL VILLA SIENNA SN11608,15,16,"312,444",0,0
"2,38",1,orl27,PAPEL VILLA SIENNA SN11604,15,16,"312,444",0,0
"2,38",1,orl28,PAPEL VILLA SIENNA SN11602,15,16,"312,444",0,0
"2,38",1,orl29,PAPEL VILLA SIENNA SN11601,15,16,"312,444",0,0
"2,38",1,orl30,PAPEL VILLA SIENNA SN11509,15,16,"312,444",0,0
"2,38",1,orl31,PAPEL VILLA SIENNA SN11508,15,16,"312,444",0,0
"2,38",1,orl32,PAPEL VILLA SIENNA SN11505,15,16,"312,444",0,0
"2,38",1,orl33,PAPEL VILLA SIENNA SN11008,15,16,"312,444",0,0
"2,38",1,orl34,PAPEL VILLA SIENNA SN10108,15,16,"312,444",0,0
"2,38",1,orl35,PAPEL VILLA SIENNA SN10305,15,16,"312,444",0,0
"2,38",1,orl36,PAPEL VILLA SIENNA SN10304,15,16,"312,444",0,0
"2,38",1,orl37,PAPEL VILLA SIENNA SN10303,15,16,"312,444",0,0
"2,38",1,orl38,PAPEL VILLA SIENNA SN10301,15,16,"312,444",0,0
"2,38",1,orl39,PAPEL VILLA SIENNA SN10209M,15,16,"487,08",0,0
"2,38",1,orl40,PAPEL VILLA SIENNA SN10208M,15,16,"487,08",0,0
"2,38",1,orl41,PAPEL VILLA SIENNA SN10205M,15,16,"487,08",0,0
"2,38",1,orl42,PAPEL VILLA SIENNA SN10309,15,16,"312,444",0,0
"2,38",1,orl43,PAPEL VILLA SIENNA SN10107,15,16,"312,444",0,0
"2,38",1,orl44,PAPEL VILLA SIENNA SN10105,15,16,"312,444",0,0
"2,38",1,orl45,PAPEL VILLA SIENNA SN10009,15,16,"312,444",0,0
"2,38",1,orl46,PAPEL VILLA SIENNA SN10005,15,16,"312,444",0,0
"2,38",1,orl47,PAPEL VILLA SIENNA SN10003,15,16,"312,444",0,0
"2,38",1,orl48,PAPEL VILLA SIENNA SN10001,15,16,"312,444",0,0
"2,38",1,orl49,PAPEL VILLA SIENNA SN10000,15,16,"312,444",0,0
"2,38",1,orl50,PAPEL VILLA SIENNA SN11005,15,16,"312,444",0,0
"2,38",1,orl51,PAPEL VILLA SIENNA SN10705,15,16,"312,444",0,0
"2,38",1,orl52,PAPEL VILLA SIENNA SN10907,15,16,"312,444",0,0
"2,38",1,orl53,PAPEL VILLA SIENNA SN10904,15,16,"312,444",0,0
"2,38",1,orl54,PAPEL VILLA SIENNA SN10901,15,16,"312,444",0,0
"2,38",1,orl55,PAPEL VILLA SIENNA SN10804,15,16,"312,444",0,0
"2,38",1,orl56,PAPEL VILLA SIENNA SN10801,15,16,"312,444",0,0
"2,38",1,orl57,PAPEL VILLA SIENNA SN10709,15,16,"312,444",0,0
"2,38",1,orl58,PAPEL VILLA SIENNA SN10708,15,16,"312,444",0,0
"2,38",1,orl59,PAPEL VILLA SIENNA SN10501,15,16,"312,444",0,0
"2,38",1,orl60,PAPEL VILLA SIENNA SN10703,15,16,"312,444",0,0
"2,38",1,orl61,PAPEL VILLA SIENNA SN10609,15,16,"312,444",0,0
"2,38",1,orl62,PAPEL VILLA SIENNA SN10608,15,16,"312,444",0,0
"2,38",1,orl63,PAPEL VILLA SIENNA SN10605,15,16,"312,444",0,0
"2,38",1,orl64,PAPEL VILLA SIENNA SN10603,15,16,"312,444",0,0
"2,38",1,orl65,PAPEL VILLA SIENNA SN10507,15,16,"312,444",0,0
"2,38",1,orl66,PAPEL VILLA SIENNA SN10504,15,16,"312,444",0,0
"2,38",1,orl67,PAPEL STRIPES LALIKA KIA 42607 / 15607,15,16,"332,64",0,0
"2,38",1,orl68,PAPEL STRIPES LALIKA KIA 42608 / 15608,15,16,"332,64",0,0
"2,38",1,orl69,PAPEL STRIPES LALIKA KIA 42606 / 15606,15,16,"332,64",0,0
"2,38",1,orl70,PAPEL STRIPES LALIKA KIA 42605 / 15605,15,16,"332,64",0,0
"2,38",1,orl71,PAPEL STRIPES LALIKA KIA 42609 / 15609,15,16,"332,64",0,0
"2,38",1,orl72,PAPEL STRIPES LALIKA KIA 42610 / 15610,15,16,"332,64",0,0
"2,38",1,orl73,PAPEL STRIPES LALIKA KIA 42612 / 15612,15,16,"332,64",0,0
"2,38",1,orl74,PAPEL STRIPES LALIKA KIA 42613 / 15613,15,16,"332,64",0,0
"2,38",1,orl75,PAPEL STRIPES INDULGENCE ATTRACTION 46780 / 15780,15,16,"341,289",0,0
"2,38",1,orl76,PAPEL STRIPES INDULGENCE ATTRACTION 46779 / 15779,15,16,"341,289",0,0
"2,38",1,orl77,PAPEL STRIPES INDULGENCE ATTRACTION 46778 / 15778,15,16,"341,289",0,0
"2,38",1,orl78,PAPEL STRIPES INDULGENCE ATTRACTION 46777 / 15777,15,16,"341,289",0,0
"2,38",1,orl79,PAPEL STRIPES INDULGENCE ATTRACTION 46776 / 15776,15,16,"341,289",0,0
"2,38",1,orl80,PAPEL STRIPES INDULGENCE ATTRACTION 46775 / 15775,15,16,"341,289",0,0
"2,38",1,orl81,PAPEL STRIPES IDENTITY BARCODE 47831 / 15831,15,16,"381,871",0,0
"2,38",1,orl82,PAPEL STRIPES IDENTITY BARCODE 47830 / 15830,15,16,"381,871",0,0
"2,38",1,orl83,PAPEL STRIPES ROMANIE ELITE 49939 / 15939,15,16,"332,64",0,0
"2,38",1,orl84,PAPEL STRIPES TAMIKA IZUMI 40313 / 15313,15,16,"341,289",0,0
"2,38",1,orl85,PAPEL STRIPES TAMIKA IZUMI 40312 / 15312,15,16,"341,289",0,0
"2,38",1,orl86,PAPEL STRIPES TAMIKA IZUMI 40311 / 15311,15,16,"341,289",0,0
"2,38",1,orl87,PAPEL STRIPES TAMIKA IZUMI 40310 / 15310,15,16,"341,289",0,0
"2,38",1,orl88,PAPEL STRIPES ROMANIE ELITE 49943 / 15943,15,16,"332,64",0,0
"2,38",1,orl89,PAPEL STRIPES ROMANIE ELITE 49941 / 15941,15,16,"332,64",0,0
"2,38",1,orl90,PAPEL STRIPES LALIKA KIA 42614 / 15614,15,16,"332,64",0,0
