markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,25",1,orl1509,PAPEL ALL ABOUT ME SWEET HEART 110538,15,16,"361,152",0,0
"2,25",1,orl1510,PAPEL ALL ABOUT ME OOPSIE  DAISE 110545,15,16,"361,152",0,0
"2,25",1,orl1511,PAPEL ALL ABOUT ME OOPSIE DAISY 110546,15,16,"361,152",0,0
"2,25",1,orl1512,PAPEL ALL ABOUT ME OOPSIE DAISY 110547,15,16,"361,045",0,0
"2,25",1,orl1513,PAPEL ALL ABOUT ME REGGIE ROBOT  110532,15,16,"361,152",0,0
"2,25",1,orl1514,PAPEL ALL ABOUT ME REGGIE ROBOT 110533,15,16,"361,045",0,0
"2,25",1,orl1515,PAPEL ALL ABOUT ME REGGIE ROBOT 110534,15,16,"361,045",0,0
"2,25",1,orl1516,PAPEL ALL ABOUT ME SAIL AWAY 110529,15,16,"361,045",0,0
"2,25",1,orl1517,PAPEL ALL ABOUT ME SAIL AWAY 110530,15,16,"361,045",0,0
"2,25",1,orl1518,PAPEL ALL ABOUT ME SAIL AWAY 110531,15,16,"361,045",0,0
"2,25",1,orl1519,PAPEL ALL ABOUT ME MINI STRIPE 110515,15,16,"361,045",0,0
"2,25",1,orl1520,PAPEL ALL ABOUT ME SWEET HEART 110539,15,16,"361,152",0,0
"2,25",1,orl1521,PAPEL ALL ABOUT ME TICKETY BOO 110516,15,16,"361,045",0,0
"2,25",1,orl1522,PAPEL ALL ABOUT ME TICKETY BOO 110517,15,16,"361,045",0,0
"2,25",1,orl1523,PAPEL ALL ABOUT ME TICKETY BOO 110518,15,16,"361,045",0,0
"2,25",1,orl1524,PAPEL ALL ABOUT ME TICKETY BOO 110519,15,16,"361,152",0,0
"2,25",1,orl1525,PAPEL ALL ABOUT ME TICKETY BOO 110520,15,16,"361,045",0,0
"2,25",1,orl1526,PAPEL ALL ABOUT ME TICKETY BOO 110521,15,16,"361,152",0,0
"2,25",1,orl1527,PAPEL ALL ABOUT ME TICKETY BOO3 110522,15,16,"361,152",0,0
"2,25",1,orl1528,PAPEL ALL ABOUT ME YO YO 110527,15,16,"361,045",0,0
"2,25",1,orl1529,PAPEL ALL ABOUT ME YO YO 110528,15,16,"361,045",0,0
"2,25",1,orl1530,PAPEL ALL ABOUT ME ABACUS 110543,15,16,"361,045",0,0
"2,25",1,orl1531,PAPEL ALL ABOUT ME KALEIDOSCOPE 110523,15,16,"361,045",0,0
"2,25",1,orl1532,PAPEL ALL ABOUT ME ABACUS 110544,15,16,"361,152",0,0
"2,25",1,orl1533,PAPEL ALL ABOUT ME ALL MY BOOKS 110535,15,16,"361,045",0,0
"2,25",1,orl1534,PAPEL ALL ABOUT ME BEST OF FRIENDS 110548,15,16,"361,152",0,0
"2,25",1,orl1535,PAPEL ALL ABOUT ME BEST OF FRIENDS 110549,15,16,"361,152",0,0
"2,25",1,orl1536,PAPEL ALL ABOUT ME BOUTIQUE BOULEVARD 110536,15,16,"361,045",0,0
"2,25",1,orl1537,PAPEL ALL ABOUT ME BOUTIQUE BOULEVARD 110537,15,16,"361,045",0,0
"2,25",1,orl1538,PAPEL ALL ABOUT ME DITSY DAISY 110550,15,16,"361,152",0,0
"2,25",1,orl1539,PAPEL ALL ABOUT ME DITSY DAISY 110551,15,16,"361,152",0,0
"2,25",1,orl1540,PAPEL ALL ABOUT ME DITSY DAISY 110552,15,16,"361,152",0,0
"2,25",1,orl1541,PAPEL ALL ABOUT ME MINI STRIPE 110514,15,16,"361,045",0,0
"2,25",1,orl1542,PAPEL ALL ABOUT ME LA DI DA 110542,15,16,"361,045",0,0
"2,25",1,orl1543,PAPEL ALL ABOUT ME MINI STRIPE 110513,15,16,"361,045",0,0
"2,25",1,orl1544,PAPEL ALL ABOUT ME MINI STRIPE 110512,15,16,"361,045",0,0
"2,25",1,orl1545,PAPEL ALL ABOUT ME LOVE HEARTS  110553,15,16,"361,152",0,0
"2,25",1,orl1546,PAPEL ALL ABOUT ME KALEIDOSCOPE 110524,15,16,"361,045",0,0
"2,25",1,orl1547,PAPEL ALL ABOUT ME LA DI DA 110541,15,16,"361,152",0,0
"2,25",1,orl1548,PAPEL ALL ABOUT ME LA DI DA 110540,15,16,"361,152",0,0
"2,25",1,orl1549,PAPEL ALL ABOUT ME KALEIDOSCOPE 110526,15,16,"361,044",0,0
"2,25",1,orl1550,PAPEL ALL ABOUT ME KALEIDOSCOPE 110525,15,16,"361,045",0,0
"2,25",1,orl1551,PAPEL BELLAGIO FY41710,15,16,"372,438",0,0
"2,25",1,orl1552,PAPEL BELLAGIO FY41707,15,16,"372,438",0,0
"2,25",1,orl1553,PAPEL BELLAGIO FY41705,15,16,"372,438",0,0
"2,25",1,orl1554,PAPEL BELLAGIO FY41701,15,16,"372,438",0,0
"2,25",1,orl1555,PAPEL BELLAGIO FY41609,15,16,"372,438",0,0
"2,25",1,orl1556,PAPEL BELLAGIO FY41605,15,16,"372,438",0,0
"2,25",1,orl1557,PAPEL BELLAGIO FY41603,15,16,"372,438",0,0
"2,25",1,orl1558,PAPEL BELLAGIO FY41902,15,16,"372,438",0,0
"2,25",1,orl1559,PAPEL BELLAGIO FY41409,15,16,"372,438",0,0
"2,25",1,orl1560,PAPEL BELLAGIO FY41407,15,16,"372,438",0,0
"2,25",1,orl1561,PAPEL BELLAGIO FY41405,15,16,"372,438",0,0
"2,25",1,orl1562,PAPEL BELLAGIO FY41402,15,16,"372,438",0,0
"2,25",1,orl1563,PAPEL BELLAGIO FY41313,15,16,"372,438",0,0
"2,25",1,orl1564,PAPEL BELLAGIO FY41309,15,16,"372,438",0,0
"2,25",1,orl1565,PAPEL BELLAGIO FY41305,15,16,"372,438",0,0
"2,25",1,orl1566,PAPEL BELLAGIO FY41303,15,16,"372,438",0,0
"2,25",1,orl1567,PAPEL BELLAGIO FY42307,15,16,"372,438",0,0
"2,25",1,orl1568,PAPEL BELLAGIO FY42607,15,16,"372,438",0,0
"2,25",1,orl1569,PAPEL BELLAGIO FY42605,15,16,"372,438",0,0
"2,25",1,orl1570,PAPEL BELLAGIO FY42601,15,16,"372,438",0,0
"2,25",1,orl1571,PAPEL BELLAGIO FY42600,15,16,"372,438",0,0
"2,25",1,orl1572,PAPEL BELLAGIO FY42403,15,16,"372,438",0,0
"2,25",1,orl1573,PAPEL BELLAGIO FY42401,15,16,"372,438",0,0
"2,25",1,orl1574,PAPEL BELLAGIO FY41905,15,16,"372,438",0,0
"2,25",1,orl1575,PAPEL BELLAGIO FY42303,15,16,"372,438",0,0
"2,25",1,orl1576,PAPEL BELLAGIO FY42301,15,16,"372,438",0,0
"2,25",1,orl1577,PAPEL BELLAGIO FY42108,15,16,"372,438",0,0
