markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,28",1,orl2928,PAPEL ALL ABOUT ME SWEET HEART 110538,15,16,"393,656",0,0
"2,28",1,orl2929,PAPEL ALL ABOUT ME OOPSIE  DAISE 110545,15,16,"393,656",0,0
"2,28",1,orl2930,PAPEL ALL ABOUT ME OOPSIE DAISY 110546,15,16,"393,656",0,0
"2,28",1,orl2931,PAPEL ALL ABOUT ME OOPSIE DAISY 110547,15,16,"393,539",0,0
"2,28",1,orl2932,PAPEL ALL ABOUT ME REGGIE ROBOT  110532,15,16,"393,656",0,0
"2,28",1,orl2933,PAPEL ALL ABOUT ME REGGIE ROBOT 110533,15,16,"393,539",0,0
"2,28",1,orl2934,PAPEL ALL ABOUT ME REGGIE ROBOT 110534,15,16,"393,539",0,0
"2,28",1,orl2935,PAPEL ALL ABOUT ME SAIL AWAY 110529,15,16,"393,539",0,0
"2,28",1,orl2936,PAPEL ALL ABOUT ME SAIL AWAY 110530,15,16,"393,539",0,0
"2,28",1,orl2937,PAPEL ALL ABOUT ME SAIL AWAY 110531,15,16,"393,539",0,0
"2,28",1,orl2938,PAPEL ALL ABOUT ME MINI STRIPE 110515,15,16,"393,539",0,0
"2,28",1,orl2939,PAPEL ALL ABOUT ME SWEET HEART 110539,15,16,"393,656",0,0
"2,28",1,orl2940,PAPEL ALL ABOUT ME TICKETY BOO 110516,15,16,"393,539",0,0
"2,28",1,orl2941,PAPEL ALL ABOUT ME TICKETY BOO 110517,15,16,"393,539",0,0
"2,28",1,orl2942,PAPEL ALL ABOUT ME TICKETY BOO 110518,15,16,"393,539",0,0
"2,28",1,orl2943,PAPEL ALL ABOUT ME TICKETY BOO 110519,15,16,"393,656",0,0
"2,28",1,orl2944,PAPEL ALL ABOUT ME TICKETY BOO 110520,15,16,"393,539",0,0
"2,28",1,orl2945,PAPEL ALL ABOUT ME TICKETY BOO 110521,15,16,"393,656",0,0
"2,28",1,orl2946,PAPEL ALL ABOUT ME TICKETY BOO3 110522,15,16,"393,656",0,0
"2,28",1,orl2947,PAPEL ALL ABOUT ME YO YO 110527,15,16,"393,539",0,0
"2,28",1,orl2948,PAPEL ALL ABOUT ME YO YO 110528,15,16,"393,539",0,0
"2,28",1,orl2949,PAPEL ALL ABOUT ME ABACUS 110543,15,16,"393,539",0,0
"2,28",1,orl2950,PAPEL ALL ABOUT ME KALEIDOSCOPE 110523,15,16,"393,539",0,0
"2,28",1,orl2951,PAPEL ALL ABOUT ME ABACUS 110544,15,16,"393,656",0,0
"2,28",1,orl2952,PAPEL ALL ABOUT ME ALL MY BOOKS 110535,15,16,"393,539",0,0
"2,28",1,orl2953,PAPEL ALL ABOUT ME BEST OF FRIENDS 110548,15,16,"393,656",0,0
"2,28",1,orl2954,PAPEL ALL ABOUT ME BEST OF FRIENDS 110549,15,16,"393,656",0,0
"2,28",1,orl2955,PAPEL ALL ABOUT ME BOUTIQUE BOULEVARD 110536,15,16,"393,539",0,0
"2,28",1,orl2956,PAPEL ALL ABOUT ME BOUTIQUE BOULEVARD 110537,15,16,"393,539",0,0
"2,28",1,orl2957,PAPEL ALL ABOUT ME DITSY DAISY 110550,15,16,"393,656",0,0
"2,28",1,orl2958,PAPEL ALL ABOUT ME DITSY DAISY 110551,15,16,"393,656",0,0
"2,28",1,orl2959,PAPEL ALL ABOUT ME DITSY DAISY 110552,15,16,"393,656",0,0
"2,28",1,orl2960,PAPEL ALL ABOUT ME MINI STRIPE 110514,15,16,"393,539",0,0
"2,28",1,orl2961,PAPEL ALL ABOUT ME LA DI DA 110542,15,16,"393,539",0,0
"2,28",1,orl2962,PAPEL ALL ABOUT ME MINI STRIPE 110513,15,16,"393,539",0,0
"2,28",1,orl2963,PAPEL ALL ABOUT ME MINI STRIPE 110512,15,16,"393,539",0,0
"2,28",1,orl2964,PAPEL ALL ABOUT ME LOVE HEARTS  110553,15,16,"393,656",0,0
"2,28",1,orl2965,PAPEL ALL ABOUT ME KALEIDOSCOPE 110524,15,16,"393,539",0,0
"2,28",1,orl2966,PAPEL ALL ABOUT ME LA DI DA 110541,15,16,"393,656",0,0
"2,28",1,orl2967,PAPEL ALL ABOUT ME LA DI DA 110540,15,16,"393,656",0,0
"2,28",1,orl2968,PAPEL ALL ABOUT ME KALEIDOSCOPE 110526,15,16,"393,538",0,0
"2,28",1,orl2969,PAPEL ALL ABOUT ME KALEIDOSCOPE 110525,15,16,"393,539",0,0
"2,28",1,orl2970,PAPEL AUREUS 070865,15,16,"157,721",0,0
"2,28",1,orl2971,PAPEL AUREUS 070872,15,16,"157,721",0,0
"2,28",1,orl2972,PAPEL AUREUS 070902,15,16,"157,721",0,0
"2,28",1,orl2973,PAPEL AUREUS 070919,15,16,"157,721",0,0
"2,28",1,orl2974,PAPEL AUREUS 070858,15,16,"157,721",0,0
"2,28",1,orl2975,PAPEL AUREUS 070926,15,16,"157,721",0,0
"2,28",1,orl2976,PAPEL AUREUS 070940,15,16,"157,721",0,0
"2,28",1,orl2977,PAPEL AUREUS 071039,15,16,"592,814",0,0
"2,28",1,orl2978,PAPEL AUREUS 071046,15,16,"592,814",0,0
"2,28",1,orl2979,PAPEL AUREUS 070711,15,16,"180,382",0,0
"2,28",1,orl2980,PAPEL AUREUS 070841,15,16,"157,721",0,0
"2,28",1,orl2981,PAPEL AUREUS 070834,15,16,"157,721",0,0
"2,28",1,orl2982,PAPEL AUREUS 070803,15,16,"157,721",0,0
"2,28",1,orl2983,PAPEL AUREUS 070797,15,16,"157,721",0,0
"2,28",1,orl2984,PAPEL AUREUS 070780,15,16,"157,721",0,0
"2,28",1,orl2985,PAPEL AUREUS 070704,15,16,"180,382",0,0
"2,28",1,orl2986,PAPEL AUREUS 070698,15,16,"180,382",0,0
"2,28",1,orl2987,PAPEL AUREUS 070681,15,16,"180,382",0,0
"2,28",1,orl2988,PAPEL AUREUS 070667,15,16,"180,382",0,0
"2,28",1,orl2989,PAPEL AUREUS 070650,15,16,"180,382",0,0
"2,28",1,orl2990,PAPEL AUREUS 071145,15,16,"180,382",0,0
"2,28",1,orl2991,PAPEL AUREUS 087733,15,16,"223,891",0,0
"2,28",1,orl2992,PAPEL AUREUS 087719,15,16,"223,891",0,0
"2,28",1,orl2993,PAPEL AUREUS 087610,15,16,"223,891",0,0
"2,28",1,orl2994,PAPEL AUREUS 087580,15,16,"223,891",0,0
"2,28",1,orl2995,PAPEL AUREUS 087566,15,16,"223,891",0,0
"2,28",1,orl2996,PAPEL AUREUS 087535,15,16,"223,891",0,0
"2,28",1,orl2997,PAPEL AUREUS 087504,15,16,"223,891",0,0
"2,28",1,orl2998,PAPEL AUREUS 071152,15,16,"180,384",0,0
"2,28",1,orl2999,PAPEL AUREUS 071053,15,16,"592,814",0,0
"2,28",1,orl3000,PAPEL AUREUS 071138,15,16,"180,382",0,0
"2,28",1,orl3001,PAPEL AUREUS 071121,15,16,"180,382",0,0
"2,28",1,orl3002,PAPEL AUREUS 071114,15,16,"180,382",0,0
"2,28",1,orl3003,PAPEL AUREUS 071107,15,16,"180,382",0,0
"2,28",1,orl3004,PAPEL AUREUS 071091,15,16,"180,382",0,0
"2,28",1,orl3005,PAPEL AUREUS 071084,15,16,"592,814",0,0
"2,28",1,orl3006,PAPEL AUREUS 071077,15,16,"592,814",0,0
"2,28",1,orl3007,PAPEL AUREUS 071060,15,16,"592,814",0,0
"2,28",1,orl3008,PAPEL AUREUS 070438,15,16,"180,382",0,0
"2,28",1,orl3009,PAPEL AUREUS 070339,15,16,"1666,95",0,0
"2,28",1,orl3010,PAPEL AUREUS 070421,15,16,"1666,95",0,0
"2,28",1,orl3011,PAPEL AUREUS 070414,15,16,"1666,95",0,0
"2,28",1,orl3012,PAPEL AUREUS 070407,15,16,"1666,95",0,0
"2,28",1,orl3013,PAPEL AUREUS 070391,15,16,"1666,95",0,0
"2,28",1,orl3014,PAPEL AUREUS 070384,15,16,"1666,95",0,0
"2,28",1,orl3015,PAPEL AUREUS 070377,15,16,"1666,95",0,0
"2,28",1,orl3016,PAPEL AUREUS 070360,15,16,"1666,95",0,0
"2,28",1,orl3017,PAPEL AUREUS 070353,15,16,"1666,95",0,0
"2,28",1,orl3018,PAPEL AUREUS 070445,15,16,"180,382",0,0
