markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,3",1,ppl1,versatile,0,27,160,"0,53",0
"2,3",1,ppl2,ginza,0,27,370,"0,53",0
"2,3",1,ppl3,urban season,0,27,245,"0,53",0
"2,3",1,ppl4,aromas,0,27,210,"0,53",0
"2,3",1,ppl5,madras,0,27,230,"0,53",0
"2,3",1,ppl6,balmoral,0,27,195,"0,53",0
"2,3",1,ppl7,backstage,0,27,195,"0,53",0
"2,3",1,ppl8,elitis vp402,0,27,529,"0,53",0
"2,3",1,ppl9,elitis vp405,0,27,584,"0,53",0
"2,3",1,ppl10,elitis vp406,0,27,584,"0,53",0
"2,3",1,ppl11,elitis vp420,0,27,529,"0,53",0
"2,3",1,ppl12,elitis vp421,0,27,529,"0,53",0
"2,3",1,ppl13,elitis vp422,0,27,529,"0,53",0
"2,3",1,ppl14,elitis vp423,0,27,529,"0,53",0
"2,3",1,ppl15,elitis vp424,0,27,890,"0,53",0
"2,3",1,ppl16,elitis vp471,0,27,584,"0,53",0
"2,3",1,ppl17,elitis vp472,0,27,584,"0,53",0
"2,3",1,ppl18,elitis vp473,0,27,584,"0,53",0
"2,3",1,ppl19,elitis vp474,0,27,584,"0,53",0
"2,3",1,ppl20,elitis vp476,0,27,584,"0,53",0
"2,3",1,ppl21,elitis vp477,0,27,584,"0,53",0
"2,3",1,ppl22,elitis vp620,0,27,584,"0,53",0
"2,3",1,ppl23,elitis vp625,0,27,529,"0,53",0
"2,3",1,ppl24,elitis vp627,0,27,529,"0,53",0
"2,3",1,ppl25,elitis vp628,0,27,529,"0,53",0
"2,3",1,ppl26,elitis vp629,0,27,529,"0,53",0
"2,3",1,ppl27,elitis vp631,0,27,584,"0,53",0
"2,3",1,ppl28,elitis vp632,0,27,584,"0,53",0
"2,3",1,ppl29,elitis vp633,0,27,529,"0,53",0
"2,3",1,ppl30,elitis vp634,0,27,529,"0,53",0
"2,3",1,ppl31,elitis vp640,0,27,758,"0,53",0
"2,3",1,ppl32,elitis vp641,0,27,758,"0,53",0
"2,3",1,ppl33,elitis vp642,0,27,758,"0,53",0
