markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,28",2,PA1001,Liso 10mm,0,21,"181,7",0,0
"2,28",2,PA1002,Liso 14mm,0,21,"203,127436512",0,0
"2,28",2,PA1003,Liso 17mm,0,21,"216,38",0,0
"2,28",2,PA1004,Liso 25mm,0,21,"254,31",0,0
"2,28",2,PA1005,Liso 30mm,0,21,"294,44",0,0
"2,28",2,PA1006,Liso 40mm Textura Dupla,0,21,"290,5",0,0
"2,28",2,PA1007,Liso 70mm Textura Dupla,0,21,"262,74",0,0
"2,28",2,PA1010,Mesclado 10mm Bicolor,0,21,"207,4575619116",0,0
"2,28",2,PA1011,Mesclado 10mm Tricolor,0,21,"227,522258964",0,0
"2,28",2,PA1012,Mesclado 17mm Bicolor,0,21,"226,49",0,0
"2,28",2,PA1013,Mesclado 25mm Bicolor,0,21,"266,19",0,0
"2,28",2,PA1014,Mesclado 30mm Bicolor,0,21,"308,21",0,0
"2,28",2,PA1015,Mesclado 40mm Bicolor,0,21,"298,55",0,0
"2,28",2,PA1016,Mesclado 70mm Bicolor,0,21,"270,02",0,0
"2,28",2,PA1017,Mesclado 70mm Tricolor,0,21,"270,02",0,0
"2,28",2,PA1018,Bouclê 10mm Liso *,0,21,"181,707666990168",0,0
"2,28",2,PA1019,Bouclê 10mm Mesclado**,0,21,"217,14550704",0,0
"2,28",2,PA1020,Bouclê Xadrez (Casa de Abelha)**,0,21,"231,40228419",0,0
"2,28",2,PA1021,Velour 10mm*,0,21,"305,00679132",0,0
"2,28",2,PA1022,Canelado 10/10mm - Cortado/Bouclê*,0,21,"305,01939699",0,0
"2,28",2,PA1024,Canelado 17/10mm - Cortado/Bouclê*,0,21,"343,35444",0,0
"2,28",2,PA1025,Nativo**,0,21,"276,964578",0,0
"2,28",2,PA1023,Damas -  Cortado/Bouclê ,0,21,"318,96126801",0,0
"2,28",2,PA1039,Damas -  Cortado/Velour,0,21,"361,36254",0,0
"2,28",2,PA1040,Cotelê**,0,21,"301,6596858",0,0
"2,28",2,PA1041,Tweed**,0,21,"301,6596858",0,0
"2,28",2,PA1050,"Xadrez (Combinação A, B, C ou D)",0,21,"201,31",0,0
"2,28",2,PA1026,Barrado Reto 10mm/10mm Bouclê (Centro Bouclê),0,21,"194,059247382",0,0
"2,28",2,PA1031,Barrado Reto 10mm/10mm Centro Mesclado Bicolor,0,21,"227,522258964",0,0
"2,28",2,PA1032,Barrado Reto 10mm/10mm Centro Mesclado Tricolor,0,21,"247,9999177656",0,0
"2,28",2,PA1029,Barrado Reto 10mm/10mm liso (Duas cores),0,21,"194,059247382",0,0
"2,28",2,PA1033,Barrado Reto 10mm/17mm Liso (Centro em 17mm),0,21,"227,522258964",0,0
"2,28",2,PA1035,Barrado Reto 17mm/10mm Bouclê (Centro em 10mm),0,21,"216,1428685416",0,0
"2,28",2,PA1034,Barrado Reto 17mm/10mm Liso (Centro em 10mm),0,21,"216,1428685416",0,0
"2,28",2,PA1036,Barrado Reto 17mm/25mm Liso (Centro 25mm),0,21,"267,015823074",0,0
"2,28",2,PA1037,Barrado Reto 25mm/17mm Liso (Centro 17mm),0,21,"247,9999177656",0,0
"2,28",2,PA1030,Barrado Reto Duplo 10mm/10mm liso (Três cores),0,21,"227,522258964",0,0
"2,28",2,PA1028,"Barrado Reto liso 10/10 mm Bouclê xadrez ""Casa de Abelha"" (centro)",0,21,"265,84097463",0,0
"2,28",2,AO001,Agenda (para versão linhas ver código AO329),0,21,"288,916148099639",0,0
"2,28",2,AO002,Álgebra,0,21,"615,26",0,0
"2,28",2,AO004,Beijo (para versão linhas ver código AO311),0,21,"288,916148099639",0,0
"2,28",2,AO006,Bird,0,21,"302,3",0,0
"2,28",2,AO007,Bumerangue (para versão linhas ver código AO328),0,21,"288,916148099639",0,0
"2,28",2,AO009,Chemin,0,21,"358,1",0,0
"2,28",2,AO010,Congonhas,0,21,"442,6",0,0
"2,28",2,AO011,Inca,0,21,"339,38",0,0
"2,28",2,AO013,Mam,0,21,"302,3",0,0
"2,28",2,AO016,Prisma (para versão linhas ver código AO327),0,21,"358,1",0,0
"2,28",2,AO017,Punto,0,21,"302,3",0,0
"2,28",2,AO021,Revoada,0,21,"318,32",0,0
"2,28",2,AO023,Trafego,0,21,"285,19",0,0
"2,28",2,AO024,Trama (para versão linhas ver código AO326),0,21,"288,916148099639",0,0
"2,28",2,AO025,Tecla (para versão linhas ver código AO334),0,21,"358,1",0,0
"2,28",2,AO026,Vice-Versa (para versão linhas ver código AO325),0,21,"318,32",0,0
