markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,30",1,RC1,Vintage Chic,0,18,"R$ 330,00 rolo","0,53 cm",0
"2,30",1,RC2,Vintage Chic,0,18,"R$ 330,00 m2",0.53 cm,0
"2,30",1,RC3,Mistique,0,18,"R$ 330,00 rolo","0,53 cm",0
"2,30",1,RC4,Lamps,0,18,"R$ 330,00 rolo","0,53 cm",0
"2,30",1,RC5,Co rali,0,18,"R$ 330,00 Rolo","0,53 cm",0
"2,30",1,RC6,Motio,0,18,"R$ 330,00 Rolo","0,53 cm",0
"2,30",1,RC7,Lyonesse,0,18,"R$ 330,00 Rolo","0,53 cm",0
"2,30",1,RC8,Gingo,0,18,"R$ 330,00 rolo","0,53 cm",0
"2,30",1,RC9,Chateau Quarz,0,18,"R$ 390,00 rolo","0,52 cm",0
"2,30",1,RC10,Chateau Chambord,0,18,"R$ 410,00 rolo","0,52 cm",0
"2,30",1,RC11,Chateau de Savoie,0,18,"R$ 460,00 rolo","0,68 cm",0
"2,30",1,RC12,Chateau Versailles,0,18,"R$ 410,00 rolo","0,52 cm",0
"2,30",1,RC13,Annabelle,0,18,"R$ 390,00 rolo","0,53 cm",0
"2,30",1,RC14,Beatrice,0,18,"R$ 410,00 rolo","0,53 cm",0
"2,30",1,RC15,Cassandra,0,18,"R$ 420,00 rolo","0,53 cm",0
"2,30",1,RC16,Artisan,0,18,"R$ 217,00 m","0,70 cm",0
"2,30",1,RC17,Exquisite,0,18,"R$ 217,00 m","0,70 cm",0
"2,30",1,RC18,Brilliance,0,18,"R$ 274,00 m","0,70 cm",0
"2,30",1,RC19,Venita,0,18,"R$ 217,00 m","0,70 cm",0
"2,30",1,RC20,Digi,0,18,"R$ 225,00 m2",0,0
"2,30",1,RC21,Caesar,0,18,"R$ 350,00 metro","1,18 cm",0
"2,30",1,RC22,Imperator,0,18,"R$ 350,00 metro","1,18 cm",0
"2,30",1,RC23,Ludowig,0,18,"R$ 250,00 metro","1,18 cm",0
"2,30",1,RC24,East Winds III,0,18,"R$ 950,00 rolo","0,91 cm",0
"2,30",1,RC25,Clandestino,0,18,"R$ 390,00 rolo","0,53 cm",0
"2,30",1,RC26,The Essence,0,18,"R$ 390,00 rolo","0,53 cm",0
"2,30",1,RC27,Absolut Art,0,18,"R$ 490,00 rolo","0,70 cm",0
"2,30",1,RC28,Secrets,0,18,"R$ 580,00 rolo","0,70 cm",0
"2,30",1,RC29,Unlimited,0,18,"R$ 390,00 rolo","0,53 cm",0
"2,30",1,RC30,Challenger,0,18,"R$ 390,00 rolo","0,53 cm",0
"2,30",1,RC31,Tabasco,0,18,"R$ 390,00 rolo","0,53 cm",0
"2,30",1,RC32,Evolution,0,18,"290,00/m2",0,0
"2,30",1,RC33,Arabesco,0,18,"R$ 370,00 rolo","0,53 cm",0
"2,30",1,RC34,Beyond,0,18,"R$ 370,00 rolo","0,53 cm",0
"2,30",1,RC35,Idyllia,0,18,"R$ 370,00 rolo","0,53 cm",0
"2,30",1,RC36,It's All You,0,18,"R$ 225,00 rolo","0,53 cm",0
"2,30",1,RC37,Incognito,0,18,"R$ 370,00 rolo","0,53 cm",0
"2,30",1,RC38,Babies,0,18,"R$ 225,00 rolo","0,53 cm",0
"2,30",1,RC39,Dutch 1,0,18,"R$ 229,00 rolo","0,53 cm",0
"2,30",1,RC40,Dutch III,0,18,"R$ 229,00 rolo","0,53 cm",0
"2,30",1,RC41,Dutch IV,0,18,"R$ 229,00 rolo","0,53 cm",0
"2,30",1,RC42,Royal Dutch II,0,18,"R$ 249,00 rolo","0,53 cm",0
"2,30",1,RC43,Premium,0,18,"R$ 249,00 rolo","0,53 cm",0
"2,30",1,RC44,Be Yourself too,0,18,"R$ 298,00 rolo","0,53 cm",0
"2,30",1,RC45,Platinum,0,18,"R$ 298,00 rolo","0,53 cm",0
"2,30",1,RC46,City Garden,0,18,"R$ 298,00 rolo","0,53 cm",0
"2,30",1,RC47,Naturale,0,18,"R$ 330,00 rolo","0,53 cm",0
"2,30",1,RC48,Be Different,0,18,"R$ 229,00 rolo","0,53 cm",0
"2,30",1,RC49,Buckigham,0,18,"R$ 330,00 rolo","0,53 cm",0
"2,30",1,RC50,Zinc,0,18,"R$ 298,00 rolo","0,53 cm",0
