markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,25",1,62388,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62389,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62391,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62392,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62393,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62394,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62395,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62396,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62397,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62398,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62399,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62400,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62401,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62402,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62403,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62404,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62405,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62413,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62457,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62458,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62459,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62460,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62461,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62462,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62464,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62465,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62466,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62467,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,62468,BOOK DEVA NON WOVEM,15,12,"264,44","0,53",0
"2,25",1,80871,BOOK DEVA NON WOVEM,15,12,"456,76","0,53",0
"2,25",1,80873,BOOK DEVA NON WOVEM,15,12,"456,76","0,53",0
"2,25",1,80888,BOOK DEVA NON WOVEM,15,12,"456,76","0,53",0
"2,25",1,80890,BOOK DEVA NON WOVEM,15,12,"456,76","0,53",0
"2,25",1,80891,BOOK DEVA NON WOVEM,15,12,"456,76","0,53",0
"2,25",1,80892,BOOK DEVA NON WOVEM,15,12,"456,76","0,53",0
"2,25",1,80893,BOOK DEVA NON WOVEM,15,12,"456,76","0,53",0
"2,25",1,61758,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61759,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61760,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61761,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61762,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61763,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61764,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61765,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61766,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61767,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61768,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61769,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61770,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61771,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61772,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61773,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61774,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61775,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61776,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61777,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
"2,25",1,61778,BOOK LUMINA NON WOVEM,15,12,"294,49","0,53",0
