markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,40",1,B3002297,CONCORDIA TEXTILES RINATE,15,10,"159,93","0,53",0
"2,40",1,B3002320,CONCORDIA TEXTILES RINATE,15,10,"159,93","0,53",0
"2,40",1,B3002321,CONCORDIA TEXTILES RINATE,15,10,"159,93","0,53",0
"2,40",1,B3002432,CONCORDIA TEXTILES RINATE,15,10,"159,93","0,53",0
"2,40",1,B3002458,CONCORDIA TEXTILES RINATE,15,10,"159,93","0,53",0
"2,40",1,B3002460,CONCORDIA TEXTILES RINATE,15,10,"159,93","0,53",0
"2,40",1,B3002461,CONCORDIA TEXTILES RINATE,15,10,"159,93","0,53",0
"2,40",1,B3002462,CONCORDIA TEXTILES RINATE,15,10,"159,93","0,53",0
"2,40",1,B3002463,CONCORDIA TEXTILES RINATE,15,10,"159,93","0,53",0
"2,40",1,B3002464,CONCORDIA TEXTILES RINATE,15,10,"159,93","0,53",0
"2,40",1,B3002465,CONCORDIA TEXTILES RINATE,15,10,"159,93","0,53",0
"2,40",1,B3002466,CONCORDIA TEXTILES RINATE,15,10,"159,93","0,53",0
"2,40",1,B3002467,CONCORDIA TEXTILES RINATE,15,10,"159,93","0,53",0
"2,40",1,B3002468,CONCORDIA TEXTILES RINATE,15,10,"159,93","0,53",0
"2,40",1,B3002469,CONCORDIA TEXTILES RINATE,15,10,"159,93","0,53",0
"2,40",1,B3002470,CONCORDIA TEXTILES RINATE,15,10,"159,93","0,53",0
"2,40",1,B3002471,CONCORDIA TEXTILES RINATE,15,10,"159,93","0,53",0
"2,40",1,B3370001,CONCORDIA TEXTILES RINATE,15,10,"184,88","0,53",0
"2,40",1,B3370002,CONCORDIA TEXTILES RINATE,15,10,"184,88","0,53",0
"2,40",1,B3370003,CONCORDIA TEXTILES RINATE,15,10,"184,88","0,53",0
"2,40",1,B3370004,CONCORDIA TEXTILES RINATE,15,10,"168,74","0,53",0
"2,40",1,B3370005,CONCORDIA TEXTILES RINATE,15,10,"184,88","0,53",0
"2,40",1,B3370006,CONCORDIA TEXTILES RINATE,15,10,"184,88","0,53",0
"2,40",1,B3370007,CONCORDIA TEXTILES RINATE,15,10,"184,88","0,53",0
"2,40",1,B3374001,CONCORDIA TEXTILES RINATE,15,10,"168,74","0,53",0
"2,40",1,B3374002,CONCORDIA TEXTILES RINATE,15,10,"168,74","0,53",0
"2,40",1,B3374003,CONCORDIA TEXTILES RINATE,15,10,"168,74","0,53",0
"2,40",1,B3374004,CONCORDIA TEXTILES RINATE,15,10,"168,74","0,53",0
"2,40",1,B3374005,CONCORDIA TEXTILES RINATE,15,10,"168,74","0,53",0
"2,40",1,B3374006,CONCORDIA TEXTILES RINATE,15,10,"168,74","0,53",0
"2,40",1,B3374007,CONCORDIA TEXTILES RINATE,15,10,"168,74","0,53",0
"2,40",1,B3374008,CONCORDIA TEXTILES RINATE,15,10,"168,74","0,53",0
"2,40",1,B3374009,CONCORDIA TEXTILES RINATE,15,10,"168,74","0,53",0
"2,40",1,B3374010,CONCORDIA TEXTILES RINATE,15,10,"168,74","0,53",0
"2,40",1,B3374011,CONCORDIA TEXTILES RINATE,15,10,"168,74","0,53",0
"2,40",1,B3374012,CONCORDIA TEXTILES RINATE,15,10,"168,74","0,53",0
"2,40",1,B3374013,CONCORDIA TEXTILES RINATE,15,10,"168,74","0,53",0
"2,40",1,B3401001,CONCORDIA TEXTILES RINATE,15,10,"176,07","0,53",0
"2,40",1,B3401002,CONCORDIA TEXTILES RINATE,15,10,"176,07","0,53",0
"2,40",1,B3401003,CONCORDIA TEXTILES RINATE,15,10,"176,07","0,53",0
"2,40",1,B3401004,CONCORDIA TEXTILES RINATE,15,10,"176,07","0,53",0
"2,40",1,B3401005,CONCORDIA TEXTILES RINATE,15,10,"176,07","0,53",0
"2,40",1,B3401006,CONCORDIA TEXTILES RINATE,15,10,"176,07","0,53",0
"2,40",1,B3401007,CONCORDIA TEXTILES RINATE,15,10,"176,07","0,53",0
"2,40",1,B3401008,CONCORDIA TEXTILES RINATE,15,10,"176,07","0,53",0
"2,40",1,B3402001,CONCORDIA TEXTILES RINATE,15,10,"176,07","0,53",0
"2,40",1,B3402002,CONCORDIA TEXTILES RINATE,15,10,"176,07","0,53",0
"2,40",1,B3402003,CONCORDIA TEXTILES RINATE,15,10,"176,07","0,53",0
"2,40",1,B3402004,CONCORDIA TEXTILES RINATE,15,10,"176,07","0,53",0
"2,40",1,B3402005,CONCORDIA TEXTILES RINATE,15,10,"176,07","0,53",0
"2,40",1,B3402006,CONCORDIA TEXTILES RINATE,15,10,"176,07","0,53",0
"2,40",1,B3402007,CONCORDIA TEXTILES RINATE,15,10,"176,07","0,53",0
"2,40",1,B3135001,CONCORDIA TEXTILES THALEIA,15,10,"159,93291","0,53",0
"2,40",1,B3135002,CONCORDIA TEXTILES THALEIA,15,10,"159,93291","0,53",0
"2,40",1,B3135003,CONCORDIA TEXTILES THALEIA,15,10,"159,93291","0,53",0
"2,40",1,B3135004,CONCORDIA TEXTILES THALEIA,15,10,"159,93291","0,53",0
"2,40",1,B3135005,CONCORDIA TEXTILES THALEIA,15,10,"159,93291","0,53",0
"2,40",1,B3135006,CONCORDIA TEXTILES THALEIA,15,10,"159,93291","0,53",0
"2,40",1,B3135007,CONCORDIA TEXTILES THALEIA,15,10,"159,93291","0,53",0
"2,40",1,B3135008,CONCORDIA TEXTILES THALEIA,15,10,"159,93291","0,53",0
"2,40",1,B3135009,CONCORDIA TEXTILES THALEIA,15,10,"159,93291","0,53",0
"2,40",1,B3135010,CONCORDIA TEXTILES THALEIA,15,10,"159,93291","0,53",0
"2,40",1,B3135011,CONCORDIA TEXTILES THALEIA,15,10,"159,93291","0,53",0
"2,40",1,B3184001,CONCORDIA TEXTILES THALEIA,15,10,"184,87657","0,53",0
"2,40",1,B3244001,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,B3244003,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,B3244004,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,B3244006,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,B3244007,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,B3264001,CONCORDIA TEXTILES THALEIA,15,10,"176,07293","0,53",0
"2,40",1,B3264002,CONCORDIA TEXTILES THALEIA,15,10,"176,07293","0,53",0
"2,40",1,B3264003,CONCORDIA TEXTILES THALEIA,15,10,"176,07293","0,53",0
"2,40",1,B3264004,CONCORDIA TEXTILES THALEIA,15,10,"176,07293","0,53",0
"2,40",1,B3264005,CONCORDIA TEXTILES THALEIA,15,10,"176,07293","0,53",0
"2,40",1,B3264006,CONCORDIA TEXTILES THALEIA,15,10,"176,07293","0,53",0
"2,40",1,B3265001,CONCORDIA TEXTILES THALEIA,15,10,"176,07293","0,53",0
"2,40",1,B3265002,CONCORDIA TEXTILES THALEIA,15,10,"176,07293","0,53",0
"2,40",1,B3265003,CONCORDIA TEXTILES THALEIA,15,10,"176,07293","0,53",0
"2,40",1,B3265004,CONCORDIA TEXTILES THALEIA,15,10,"176,07293","0,53",0
"2,40",1,B3271001,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,B3271002,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,B3271003,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,B3271004,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,B3271005,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,B3271006,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,B3271007,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,B3271008,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,B3271009,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,B3284001,CONCORDIA TEXTILES THALEIA,15,10,"184,88","0,53",0
"2,40",1,B3284002,CONCORDIA TEXTILES THALEIA,15,10,"184,87657","0,53",0
"2,40",1,B3284003,CONCORDIA TEXTILES THALEIA,15,10,"184,87657","0,53",0
"2,40",1,B3284004,CONCORDIA TEXTILES THALEIA,15,10,"184,87657","0,53",0
"2,40",1,B3284005,CONCORDIA TEXTILES THALEIA,15,10,"184,87657","0,53",0
"2,40",1,B3284006,CONCORDIA TEXTILES THALEIA,15,10,"184,87657","0,53",0
"2,40",1,B3284007,CONCORDIA TEXTILES THALEIA,15,10,"184,87657","0,53",0
"2,40",1,B3320001,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,B3320002,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,B3320003,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,B3320004,CONCORDIA TEXTILES THALEIA,15,10,"168,73655","0,53",0
"2,40",1,2632,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2901,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2902,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2903,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2904,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2905,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2906,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2907,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2908,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2909,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2910,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2911,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2912,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2913,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2914,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2915,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2916,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2918,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2919,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2920,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2921,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2922,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2923,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2924,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2925,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2926,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2927,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2928,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2929,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2930,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2931,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2932,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2933,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2934,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2935,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2936,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2937,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2938,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2939,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2940,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2941,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,2942,DECOR MAISON BOHEMIAN RHAPSODY,15,10,"211,62611","0,53",0
"2,40",1,3301,DECOR MAISON EDEN,15,10,"211,63","0,53",0
"2,40",1,3302,DECOR MAISON EDEN,15,10,"211,63","0,53",0
"2,40",1,3303,DECOR MAISON EDEN,15,10,"211,63","0,53",0
"2,40",1,3304,DECOR MAISON EDEN,15,10,"211,63","0,53",0
"2,40",1,3305,DECOR MAISON EDEN,15,10,"211,63","0,53",0
"2,40",1,3306,DECOR MAISON EDEN,15,10,"211,63","0,53",0
"2,40",1,3307,DECOR MAISON EDEN,15,10,"211,63","0,53",0
"2,40",1,3308,DECOR MAISON EDEN,15,10,"211,63","0,53",0
"2,40",1,3309,DECOR MAISON EDEN,15,10,"211,63","0,53",0
"2,40",1,3310,DECOR MAISON EDEN,15,10,"211,63","0,53",0
"2,40",1,3311,DECOR MAISON EDEN,15,10,"211,63","0,53",0
