markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,40",1,2632,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2901,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2902,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2903,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2904,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2905,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2906,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2907,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2908,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2909,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2910,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2911,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2912,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2913,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2914,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2915,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2916,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2918,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2919,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
"2,40",1,2920,DECOR MAISON BOHEMIAN RHAPSODY,0,10,"211,62611","0,53",0
