markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,40",1,CAM1201,MASUREEL CAMELIA,0,10,"294,69435","0,53",0
"2,40",1,CAM1202,MASUREEL CAMELIA,0,10,"294,69435","0,53",0
"2,40",1,CAM1501,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1502,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1503,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1504,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1505,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1506,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1507,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1508,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1509,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1510,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1511,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1601,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1601-70,MASUREEL CAMELIA,0,10,"155,89522","0,53",0
"2,40",1,CAM1602,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1602-70,MASUREEL CAMELIA,0,10,"155,89522","0,53",0
"2,40",1,CAM1603,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1604,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1605,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1606,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1607,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1608,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1609,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1609-70,MASUREEL CAMELIA,0,10,"155,89522","0,53",0
"2,40",1,CAM1701,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1702,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1703,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1704,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1705,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1706,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1707,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1801,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1802,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM1803,MASUREEL CAMELIA,0,10,"200,57613","0,53",0
"2,40",1,CAM201,MASUREEL CAMELIA,0,10,"117,67582","0,53",0
"2,40",1,CAM202,MASUREEL CAMELIA,0,10,"117,67582","0,53",0
"2,40",1,CAM203,MASUREEL CAMELIA,0,10,"117,67582","0,53",0
"2,40",1,CAM204,MASUREEL CAMELIA,0,10,"117,67582","0,53",0
"2,40",1,CAM205,MASUREEL CAMELIA,0,10,"117,67582","0,53",0
"2,40",1,CAM206,MASUREEL CAMELIA,0,10,"117,67582","0,53",0
"2,40",1,CAM207,MASUREEL CAMELIA,0,10,"117,67582","0,53",0
"2,40",1,CAM208,MASUREEL CAMELIA,0,10,"117,67582","0,53",0
"2,40",1,LOU001,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU002,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU003,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU004,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU005,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU006,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU007,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU1001,MASUREEL LOUISA,0,10,"342,48592","0,53",0
"2,40",1,LOU101,MASUREEL LOUISA,0,10,"303,66398","0,53",0
"2,40",1,LOU102,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU103,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU201,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU202,MASUREEL LOUISA,0,10,"303,66398","0,53",0
"2,40",1,LOU203,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU204,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU205,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU206,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU207,MASUREEL LOUISA,0,10,"303,66398","0,53",0
"2,40",1,LOU208,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU209,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU301,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU302,MASUREEL LOUISA,0,10,"303,66398","0,53",0
"2,40",1,LOU303,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU304,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU305,MASUREEL LOUISA,0,10,"303,66398","0,53",0
"2,40",1,LOU306,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU307,MASUREEL LOUISA,0,10,"303,51693","0,53",0
"2,40",1,LOU401,MASUREEL LOUISA,0,10,"342,48592","0,53",0
"2,40",1,LOU402,MASUREEL LOUISA,0,10,"342,48592","0,53",0
"2,40",1,LOU501,MASUREEL LOUISA,0,10,"342,48592","0,53",0
"2,40",1,LOU502,MASUREEL LOUISA,0,10,"342,48592","0,53",0
"2,40",1,LOU601,MASUREEL LOUISA,0,10,"342,48592","0,53",0
"2,40",1,LOU602,MASUREEL LOUISA,0,10,"342,48592","0,53",0
