markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,40",1,QUE001,KHLARA QUEEN,0,10,"606,31191","0,53",0
"2,40",1,QUE002,KHLARA QUEEN,0,10,"606,31191","0,53",0
"2,40",1,QUE003,KHLARA QUEEN,0,10,"606,31191","0,53",0
"2,40",1,QUE004,KHLARA QUEEN,0,10,"606,31191","0,53",0
"2,40",1,QUE101,KHLARA QUEEN,0,10,"630,31465","0,53",0
"2,40",1,QUE102,KHLARA QUEEN,0,10,"630,31465","0,53",0
"2,40",1,QUE103,KHLARA QUEEN,0,10,"630,31465","0,53",0
"2,40",1,QUE104,KHLARA QUEEN,0,10,"630,31465","0,53",0
"2,40",1,QUE201,KHLARA QUEEN,0,10,"638,22306","0,53",0
"2,40",1,QUE202,KHLARA QUEEN,0,10,"638,22306","0,53",0
"2,40",1,QUE203,KHLARA QUEEN,0,10,"638,22306","0,53",0
"2,40",1,QUE204,KHLARA QUEEN,0,10,"638,22306","0,53",0
"2,40",1,QUE301,KHLARA QUEEN,0,10,"582,44792","0,53",0
"2,40",1,QUE302,KHLARA QUEEN,0,10,"582,44792","0,53",0
"2,40",1,QUE303,KHLARA QUEEN,0,10,"582,44792","0,53",0
"2,40",1,QUE401,KHLARA QUEEN,0,10,"653,48492","0,53",0
"2,40",1,QUE402,KHLARA QUEEN,0,10,"653,48492","0,53",0
"2,40",1,QUE403,KHLARA QUEEN,0,10,"653,48492","0,53",0
"2,40",1,QUE501,KHLARA QUEEN,0,10,"1095,19078","0,53",0
"2,40",1,QUE601,KHLARA QUEEN,0,10,"678,112","0,53",0
"2,40",1,QUE602,KHLARA QUEEN,0,10,"1095,19078","0,53",0
"2,40",1,QUE701,KHLARA QUEEN,0,10,"558,44518","0,53",0
"2,40",1,QUE702,KHLARA QUEEN,0,10,"558,44518","0,53",0
"2,40",1,QUE703,KHLARA QUEEN,0,10,"558,44518","0,53",0
"2,40",1,QUE704,KHLARA QUEEN,0,10,"558,44518","0,53",0
"2,40",1,QUE801,KHLARA QUEEN,0,10,"653,48492","0,53",0
"2,40",1,QUE802,KHLARA QUEEN,0,10,"653,48492","0,53",0
"2,40",1,QUE803,KHLARA QUEEN,0,10,"653,48492","0,53",0
"2,40",1,QUE804,KHLARA QUEEN,0,10,"653,48492","0,53",0
"2,40",1,QUE805,KHLARA QUEEN,0,10,"653,48492","0,53",0
"2,40",1,QUE901,KHLARA QUEEN,0,10,"518,55624","0,53",0
"2,40",1,QUE902,KHLARA QUEEN,0,10,"518,55624","0,53",0
"2,40",1,QUE903,KHLARA QUEEN,0,10,"518,62561","0,53",0
"2,40",1,QUE904,KHLARA QUEEN,0,10,"518,55624","0,53",0
"2,40",1,UNI601,KHLARA QUEEN,0,10,"422,89215","0,53",0
"2,40",1,UNI602,KHLARA QUEEN,0,10,"422,89215","0,53",0
"2,40",1,UNI603,KHLARA QUEEN,0,10,"422,89215","0,53",0
"2,40",1,UNI604,KHLARA QUEEN,0,10,"422,89215","0,53",0
"2,40",1,UNI605,KHLARA QUEEN,0,10,"422,82278","0,53",0
"2,40",1,UNI701,KHLARA QUEEN,0,10,"423,72462","0,53",0
