markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,40",1,ANY001,KHROMA ANYTOUCH,0,10,"255,15901","0,53",0
"2,40",1,ANY002,KHROMA ANYTOUCH,0,10,"255,15901","0,53",0
"2,40",1,ANY101,KHROMA ANYTOUCH,0,10,"224,0528","0,53",0
"2,40",1,ANY103,KHROMA ANYTOUCH,0,10,"224,0528","0,53",0
"2,40",1,ANY201,KHROMA ANYTOUCH,0,10,"255,15901","0,53",0
"2,40",1,ANY202,KHROMA ANYTOUCH,0,10,"255,15901","0,53",0
"2,40",1,ANY301,KHROMA ANYTOUCH,0,10,"255,15901","0,53",0
"2,40",1,ANY302,KHROMA ANYTOUCH,0,10,"255,15901","0,53",0
"2,40",1,ANY303,KHROMA ANYTOUCH,0,10,"255,15901","0,53",0
"2,40",1,ANY401,KHROMA ANYTOUCH,0,10,"255,15901","0,53",0
"2,40",1,ANY402,KHROMA ANYTOUCH,0,10,"255,15901","0,53",0
"2,40",1,ANY403,KHROMA ANYTOUCH,0,10,"255,15901","0,53",0
"2,40",1,ANY501,KHROMA ANYTOUCH,0,10,"224,08214","0,53",0
"2,40",1,ANY502,KHROMA ANYTOUCH,0,10,"224,08214","0,53",0
"2,40",1,ANY503,KHROMA ANYTOUCH,0,10,"224,08214","0,53",0
"2,40",1,ANY601,KHROMA ANYTOUCH,0,10,"345,10293","0,53",0
"2,40",1,ANY803,KHROMA ANYTOUCH,0,10,"224,08214","0,53",0
"2,40",1,ANY901,KHROMA ANYTOUCH,0,10,"224,08214","0,53",0
"2,40",1,ANY902,KHROMA ANYTOUCH,0,10,"224,08214","0,53",0
"2,40",1,ANY903,KHROMA ANYTOUCH,0,10,"224,08214","0,53",0
"2,40",1,ANY905,KHROMA ANYTOUCH,0,10,"224,08214","0,53",0
"2,40",1,ANY906,KHROMA ANYTOUCH,0,10,"224,08214","0,53",0
"2,40",1,UNI006,KHROMA ANYTOUCH,0,10,"224,08214","0,53",0
"2,40",1,BLO001,KHROMA B-LOUNGE,0,10,"224,0528","0,53",0
"2,40",1,BLO002,KHROMA B-LOUNGE,0,10,"224,0528","0,53",0
"2,40",1,BLO003,KHROMA B-LOUNGE,0,10,"224,0528","0,53",0
"2,40",1,BLO004,KHROMA B-LOUNGE,0,10,"224,0528","0,53",0
"2,40",1,BLO005,KHROMA B-LOUNGE,0,10,"224,0528","0,53",0
"2,40",1,BLO006,KHROMA B-LOUNGE,0,10,"224,0528","0,53",0
"2,40",1,BLO101,KHROMA B-LOUNGE,0,10,"279,07559","0,53",0
"2,40",1,BLO102,KHROMA B-LOUNGE,0,10,"279,07559","0,53",0
"2,40",1,BLO103,KHROMA B-LOUNGE,0,10,"279,07559","0,53",0
"2,40",1,BLO104,KHROMA B-LOUNGE,0,10,"279,07559","0,53",0
"2,40",1,BLO105,KHROMA B-LOUNGE,0,10,"279,07559","0,53",0
"2,40",1,BLO201,KHROMA B-LOUNGE,0,10,"85,10191","0,53",0
"2,40",1,BLO202,KHROMA B-LOUNGE,0,10,"85,10191","0,53",0
"2,40",1,BLO203,KHROMA B-LOUNGE,0,10,"85,10191","0,53",0
"2,40",1,BLO204,KHROMA B-LOUNGE,0,10,"85,10191","0,53",0
"2,40",1,BLO205,KHROMA B-LOUNGE,0,10,"85,10191","0,53",0
"2,40",1,BLO301,KHROMA B-LOUNGE,0,10,"85,10191","0,53",0
"2,40",1,BLO302,KHROMA B-LOUNGE,0,10,"85,10191","0,53",0
"2,40",1,BLO303,KHROMA B-LOUNGE,0,10,"85,10191","0,53",0
"2,40",1,BLO304,KHROMA B-LOUNGE,0,10,"85,10191","0,53",0
"2,40",1,BLO401,KHROMA B-LOUNGE,0,10,"279,07559","0,53",0
"2,40",1,BLO402,KHROMA B-LOUNGE,0,10,"279,07559","0,53",0
"2,40",1,BLO501,KHROMA B-LOUNGE,0,10,"279,07559","0,53",0
"2,40",1,BLO502,KHROMA B-LOUNGE,0,10,"279,07559","0,53",0
"2,40",1,BLO503,KHROMA B-LOUNGE,0,10,"279,07559","0,53",0
"2,40",1,BLO504,KHROMA B-LOUNGE,0,10,"279,07559","0,53",0
"2,40",1,BLO601,KHROMA B-LOUNGE,0,10,"85,10191","0,53",0
"2,40",1,BLO602,KHROMA B-LOUNGE,0,10,"85,10191","0,53",0
"2,40",1,BLO603,KHROMA B-LOUNGE,0,10,"85,10191","0,53",0
"2,40",1,BLO701,KHROMA B-LOUNGE,0,10,"255,15901","0,53",0
"2,40",1,BLO702,KHROMA B-LOUNGE,0,10,"255,15901","0,53",0
"2,40",1,BLO703,KHROMA B-LOUNGE,0,10,"255,15901","0,53",0
"2,40",1,BLO704,KHROMA B-LOUNGE,0,10,"255,15901","0,53",0
"2,40",1,BLO705,KHROMA B-LOUNGE,0,10,"255,15901","0,53",0
"2,40",1,BLO706,KHROMA B-LOUNGE,0,10,"255,15901","0,53",0
"2,40",1,BLO801,KHROMA B-LOUNGE,0,10,"224,0528","0,53",0
"2,40",1,BLO802,KHROMA B-LOUNGE,0,10,"224,0528","0,53",0
"2,40",1,BLO803,KHROMA B-LOUNGE,0,10,"224,0528","0,53",0
"2,40",1,BLO804,KHROMA B-LOUNGE,0,10,"224,0528","0,53",0
"2,40",1,BLO805,KHROMA B-LOUNGE,0,10,"224,0528","0,53",0
"2,40",1,BLO806,KHROMA B-LOUNGE,0,10,"224,0528","0,53",0
"2,40",1,BLO807,KHROMA B-LOUNGE,0,10,"224,0528","0,53",0
"2,40",1,BLO808,KHROMA B-LOUNGE,0,10,"224,0528","0,53",0
"2,40",1,BLO809,KHROMA B-LOUNGE,0,10,"224,0528","0,53",0
"2,40",1,BLO811,KHROMA B-LOUNGE,0,10,"224,0528","0,53",0
"2,40",1,BLO812,KHROMA B-LOUNGE,0,10,"224,0528","0,53",0
