markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,40",1,121101,LAVMI ASTORIA,0,12,"183,4093","0,53",0
"2,40",1,121102,LAVMI ASTORIA,0,12,"183,4093","0,53",0
"2,40",1,121201,LAVMI ASTORIA,0,12,"183,4093","0,53",0
"2,40",1,121202,LAVMI ASTORIA,0,12,"183,4093","0,53",0
"2,40",1,121301,LAVMI ASTORIA,0,12,"183,4093","0,53",0
"2,40",1,121302,LAVMI ASTORIA,0,12,"183,4093","0,53",0
"2,40",1,121303,LAVMI ASTORIA,0,12,"183,4093","0,53",0
"2,40",1,121401,LAVMI ASTORIA,0,12,"183,4093","0,53",0
"2,40",1,121402,LAVMI ASTORIA,0,12,"183,4093","0,53",0
"2,40",1,121403,LAVMI ASTORIA,0,12,"183,4093","0,53",0
"2,40",1,131101,LAVMI CITY LIFE,0,12,"220,09116","0,53",0
"2,40",1,131102,LAVMI CITY LIFE,0,12,"220,09116","0,53",0
"2,40",1,131103,LAVMI CITY LIFE,0,12,"220,09116","0,53",0
"2,40",1,131201,LAVMI CITY LIFE,0,12,"220,09116","0,53",0
"2,40",1,131202,LAVMI CITY LIFE,0,12,"220,09116","0,53",0
"2,40",1,131301,LAVMI CITY LIFE,0,12,"190,74567","0,53",0
"2,40",1,131302,LAVMI CITY LIFE,0,12,"190,74567","0,53",0
"2,40",1,131401,LAVMI CITY LIFE,0,12,"220,09116","0,53",0
"2,40",1,131402,LAVMI CITY LIFE,0,12,"220,09116","0,53",0
"2,40",1,131501,LAVMI CITY LIFE,0,12,"190,74567","0,53",0
"2,40",1,131502,LAVMI CITY LIFE,0,12,"190,74567","0,53",0
"2,40",1,131503,LAVMI CITY LIFE,0,12,"190,74567","0,53",0
"2,40",1,131601,LAVMI CITY LIFE,0,12,"220,09116","0,53",0
"2,40",1,131602,LAVMI CITY LIFE,0,12,"220,09116","0,53",0
"2,40",1,122101,LAVMI JOSEPHINE,0,12,"176,07293","0,53",0
"2,40",1,122102,LAVMI JOSEPHINE,0,12,"190,74567","0,53",0
"2,40",1,122103,LAVMI JOSEPHINE,0,12,"176,07293","0,53",0
"2,40",1,122104,LAVMI JOSEPHINE,0,12,"176,07293","0,53",0
"2,40",1,122201,LAVMI JOSEPHINE,0,12,"176,07293","0,53",0
"2,40",1,122202,LAVMI JOSEPHINE,0,12,"190,74567","0,53",0
"2,40",1,122203,LAVMI JOSEPHINE,0,12,"176,07293","0,53",0
"2,40",1,122204,LAVMI JOSEPHINE,0,12,"176,07293","0,53",0
"2,40",1,122301,LAVMI JOSEPHINE,0,12,"176,07293","0,53",0
"2,40",1,122302,LAVMI JOSEPHINE,0,12,"190,74567","0,53",0
"2,40",1,122401,LAVMI JOSEPHINE,0,12,"176,07293","0,53",0
"2,40",1,122402,LAVMI JOSEPHINE,0,12,"176,07293","0,53",0
"2,40",1,123101,LAVMI KISS FOR KIDS,0,12,"176,07293","0,53",0
"2,40",1,123102,LAVMI KISS FOR KIDS,0,12,"176,07293","0,53",0
"2,40",1,123103,LAVMI KISS FOR KIDS,0,12,"176,07293","0,53",0
"2,40",1,123201,LAVMI KISS FOR KIDS,0,12,"176,07293","0,53",0
"2,40",1,123202,LAVMI KISS FOR KIDS,0,12,"176,07293","0,53",0
"2,40",1,123301,LAVMI KISS FOR KIDS,0,12,"176,07293","0,53",0
"2,40",1,123401,LAVMI KISS FOR KIDS,0,12,"176,07293","0,53",0
"2,40",1,123501,LAVMI KISS FOR KIDS,0,12,"176,07293","0,53",0
"2,40",1,123601,LAVMI KISS FOR KIDS,0,12,"176,07293","0,53",0
"2,40",1,123701,LAVMI KISS FOR KIDS,0,12,"176,07293","0,53",0
"2,40",1,123801,LAVMI KISS FOR KIDS,0,12,"176,07293","0,53",0
"2,40",1,123802,LAVMI KISS FOR KIDS,0,12,"176,07293","0,53",0
"2,40",1,123901,LAVMI KISS FOR KIDS,0,12,"176,07293","0,53",0
"2,40",1,123902,LAVMI KISS FOR KIDS,0,12,"176,07293","0,53",0
"2,40",1,124101,LAVMI KISS FOR KIDS,0,12,"830,09","0,53",0
"2,40",1,124201,LAVMI KISS FOR KIDS,0,12,"673,93","0,53",0
"2,40",1,124202,LAVMI KISS FOR KIDS,0,12,"673,93","0,53",0
"2,40",1,124301,LAVMI KISS FOR KIDS,0,12,"830,09","0,53",0
"2,40",1,124302,LAVMI KISS FOR KIDS,0,12,"830,09","0,53",0
"2,40",1,124401,LAVMI KISS FOR KIDS,0,12,"673,93","0,53",0
"2,40",1,124501,LAVMI KISS FOR KIDS,0,12,"830,09","0,53",0
"2,40",1,132102,LAVMI KISS FOR KIDS,0,12,"176,07293","0,53",0
"2,40",1,126011,LAVMI LAVMI MURALS,0,12,"1101,59822","0,53",0
"2,40",1,126012,LAVMI LAVMI MURALS,0,12,"1101,59822","0,53",0
"2,40",1,126013,LAVMI LAVMI MURALS,0,12,"1101,59822","0,53",0
"2,40",1,126021,LAVMI LAVMI MURALS,0,12,"1065,70093","0,53",0
"2,40",1,126022,LAVMI LAVMI MURALS,0,12,"1065,70093","0,53",0
"2,40",1,126041,LAVMI LAVMI MURALS,0,12,"1248,55277","0,53",0
"2,40",1,126042,LAVMI LAVMI MURALS,0,12,"1248,55277","0,53",0
"2,40",1,126051,LAVMI LAVMI MURALS,0,12,"1065,70093","0,53",0
"2,40",1,126052,LAVMI LAVMI MURALS,0,12,"1065,70093","0,53",0
"2,40",1,126061,LAVMI LAVMI MURALS,0,12,"1248,55277","0,53",0
"2,40",1,126071,LAVMI LAVMI MURALS,0,12,"1065,70093","0,53",0
"2,40",1,126091,LAVMI LAVMI MURALS,0,12,"1065,70093","0,53",0
"2,40",1,126092,LAVMI LAVMI MURALS,0,12,"1065,70093","0,53",0
"2,40",1,126101,LAVMI LAVMI MURALS,0,12,"1248,55277","0,53",0
