markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,40",1,346201,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346202,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346203,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346204,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346205,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346206,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346207,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346208,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346209,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346210,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346211,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346212,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346213,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346214,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346215,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346216,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346217,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346218,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346219,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346220,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346221,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346222,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346223,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346224,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346225,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346226,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346227,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346228,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346229,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346230,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346231,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346232,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346233,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346234,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346235,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346237,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346238,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346239,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346240,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346241,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346242,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346243,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346244,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346245,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346246,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346247,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,346248,ORIGIN BEAUMONT,0,10,"301,71274","0,53",0
"2,40",1,326101,ORIGIN BLOOMINGDALE,0,10,"301,71274","0,53",0
"2,40",1,326102,ORIGIN BLOOMINGDALE,0,10,"301,71274","0,53",0
"2,40",1,326103,ORIGIN BLOOMINGDALE,0,10,"301,71274","0,53",0
"2,40",1,326104,ORIGIN BLOOMINGDALE,0,10,"301,71274","0,53",0
"2,40",1,326105,ORIGIN BLOOMINGDALE,0,10,"301,71274","0,53",0
