markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,40",1,3135001,CONCORDIA TEXTILES THALEIA,0,10,"159,93291","0,53",0
"2,40",1,B3135001,CONCORDIA TEXTILES THALEIA,0,10,"159,93291","0,53",0
"2,40",1,B3135002,CONCORDIA TEXTILES THALEIA,0,10,"159,93291","0,53",0
"2,40",1,B3135003,CONCORDIA TEXTILES THALEIA,0,10,"159,93291","0,53",0
"2,40",1,B3135004,CONCORDIA TEXTILES THALEIA,0,10,"159,93291","0,53",0
"2,40",1,B3135005,CONCORDIA TEXTILES THALEIA,0,10,"159,93291","0,53",0
"2,40",1,B3135006,CONCORDIA TEXTILES THALEIA,0,10,"159,93291","0,53",0
"2,40",1,B3135007,CONCORDIA TEXTILES THALEIA,0,10,"159,93291","0,53",0
"2,40",1,B3135008,CONCORDIA TEXTILES THALEIA,0,10,"159,93291","0,53",0
"2,40",1,B3135009,CONCORDIA TEXTILES THALEIA,0,10,"159,93291","0,53",0
"2,40",1,B3135010,CONCORDIA TEXTILES THALEIA,0,10,"159,93291","0,53",0
"2,40",1,B3135011,CONCORDIA TEXTILES THALEIA,0,10,"159,93291","0,53",0
"2,40",1,B3184001,CONCORDIA TEXTILES THALEIA,0,10,"184,87657","0,53",0
"2,40",1,B3244001,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
"2,40",1,B3244003,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
"2,40",1,B3244004,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
"2,40",1,B3244006,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
"2,40",1,B3244007,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
"2,40",1,B3264001,CONCORDIA TEXTILES THALEIA,0,10,"176,07293","0,53",0
"2,40",1,B3264002,CONCORDIA TEXTILES THALEIA,0,10,"176,07293","0,53",0
"2,40",1,B3264003,CONCORDIA TEXTILES THALEIA,0,10,"176,07293","0,53",0
"2,40",1,B3264004,CONCORDIA TEXTILES THALEIA,0,10,"176,07293","0,53",0
"2,40",1,B3264005,CONCORDIA TEXTILES THALEIA,0,10,"176,07293","0,53",0
"2,40",1,B3264006,CONCORDIA TEXTILES THALEIA,0,10,"176,07293","0,53",0
"2,40",1,B3265001,CONCORDIA TEXTILES THALEIA,0,10,"176,07293","0,53",0
"2,40",1,B3265002,CONCORDIA TEXTILES THALEIA,0,10,"176,07293","0,53",0
"2,40",1,B3265003,CONCORDIA TEXTILES THALEIA,0,10,"176,07293","0,53",0
"2,40",1,B3265004,CONCORDIA TEXTILES THALEIA,0,10,"176,07293","0,53",0
"2,40",1,B3271001,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
"2,40",1,B3271002,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
"2,40",1,B3271003,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
"2,40",1,B3271004,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
"2,40",1,B3271005,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
"2,40",1,B3271006,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
"2,40",1,B3271007,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
"2,40",1,B3271008,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
"2,40",1,B3271009,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
"2,40",1,B3284002,CONCORDIA TEXTILES THALEIA,0,10,"184,87657","0,53",0
"2,40",1,B3284003,CONCORDIA TEXTILES THALEIA,0,10,"184,87657","0,53",0
"2,40",1,B3284004,CONCORDIA TEXTILES THALEIA,0,10,"184,87657","0,53",0
"2,40",1,B3284005,CONCORDIA TEXTILES THALEIA,0,10,"184,87657","0,53",0
"2,40",1,B3284006,CONCORDIA TEXTILES THALEIA,0,10,"184,87657","0,53",0
"2,40",1,B3284007,CONCORDIA TEXTILES THALEIA,0,10,"184,87657","0,53",0
"2,40",1,B3320001,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
"2,40",1,B3320002,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
"2,40",1,B3320003,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
"2,40",1,B3320004,CONCORDIA TEXTILES THALEIA,0,10,"168,73655","0,53",0
