markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,40",1,B3002297,CONCORDIA RINATE,15,12,"159,93","0,53",0
"2,40",1,B3002320,CONCORDIA RINATE,15,12,"159,93","0,53",0
"2,40",1,B3002321,CONCORDIA RINATE,15,12,"159,93","0,53",0
"2,40",1,B3002432,CONCORDIA RINATE,15,12,"159,93","0,53",0
"2,40",1,B3002458,CONCORDIA RINATE,15,12,"159,93","0,53",0
"2,40",1,B3002460,CONCORDIA RINATE,15,12,"159,93","0,53",0
"2,40",1,B3002461,CONCORDIA RINATE,15,12,"159,93","0,53",0
"2,40",1,B3002462,CONCORDIA RINATE,15,12,"159,93","0,53",0
"2,40",1,B3002463,CONCORDIA RINATE,15,12,"159,93","0,53",0
"2,40",1,B3002464,CONCORDIA RINATE,15,12,"159,93","0,53",0
"2,40",1,B3002465,CONCORDIA RINATE,15,12,"159,93","0,53",0
"2,40",1,B3002466,CONCORDIA RINATE,15,12,"159,93","0,53",0
"2,40",1,B3002467,CONCORDIA RINATE,15,12,"159,93","0,53",0
"2,40",1,B3002468,CONCORDIA RINATE,15,12,"159,93","0,53",0
"2,40",1,B3002469,CONCORDIA RINATE,15,12,"159,93","0,53",0
"2,40",1,B3002470,CONCORDIA RINATE,15,12,"159,93","0,53",0
"2,40",1,B3002471,CONCORDIA RINATE,15,12,"159,93","0,53",0
"2,40",1,B3370001,CONCORDIA RINATE,15,12,"184,88","0,53",0
"2,40",1,B3370002,CONCORDIA RINATE,15,12,"184,88","0,53",0
"2,40",1,B3370003,CONCORDIA RINATE,15,12,"184,88","0,53",0
"2,40",1,B3370004,CONCORDIA RINATE,15,12,"168,74","0,53",0
"2,40",1,B3370005,CONCORDIA RINATE,15,12,"184,88","0,53",0
"2,40",1,B3370006,CONCORDIA RINATE,15,12,"184,88","0,53",0
"2,40",1,B3370007,CONCORDIA RINATE,15,12,"184,88","0,53",0
"2,40",1,B3374001,CONCORDIA RINATE,15,12,"168,74","0,53",0
"2,40",1,B3374002,CONCORDIA RINATE,15,12,"168,74","0,53",0
"2,40",1,B3374003,CONCORDIA RINATE,15,12,"168,74","0,53",0
"2,40",1,B3374004,CONCORDIA RINATE,15,12,"168,74","0,53",0
"2,40",1,B3374005,CONCORDIA RINATE,15,12,"168,74","0,53",0
"2,40",1,B3374006,CONCORDIA RINATE,15,12,"168,74","0,53",0
"2,40",1,B3374007,CONCORDIA RINATE,15,12,"168,74","0,53",0
"2,40",1,B3374008,CONCORDIA RINATE,15,12,"168,74","0,53",0
"2,40",1,B3374009,CONCORDIA RINATE,15,12,"168,74","0,53",0
"2,40",1,B3374010,CONCORDIA RINATE,15,12,"168,74","0,53",0
"2,40",1,B3374011,CONCORDIA RINATE,15,12,"168,74","0,53",0
"2,40",1,B3374012,CONCORDIA RINATE,15,12,"168,74","0,53",0
"2,40",1,B3374013,CONCORDIA RINATE,15,12,"168,74","0,53",0
"2,40",1,B3401001,CONCORDIA RINATE,15,12,"176,07","0,53",0
"2,40",1,B3401002,CONCORDIA RINATE,15,12,"176,07","0,53",0
"2,40",1,B3401003,CONCORDIA RINATE,15,12,"176,07","0,53",0
"2,40",1,B3401004,CONCORDIA RINATE,15,12,"176,07","0,53",0
"2,40",1,B3401005,CONCORDIA RINATE,15,12,"176,07","0,53",0
"2,40",1,B3401006,CONCORDIA RINATE,15,12,"176,07","0,53",0
"2,40",1,B3401007,CONCORDIA RINATE,15,12,"176,07","0,53",0
"2,40",1,B3401008,CONCORDIA RINATE,15,12,"176,07","0,53",0
"2,40",1,B3402001,CONCORDIA RINATE,15,12,"176,07","0,53",0
"2,40",1,B3402002,CONCORDIA RINATE,15,12,"176,07","0,53",0
"2,40",1,B3402003,CONCORDIA RINATE,15,12,"176,07","0,53",0
"2,40",1,B3402004,CONCORDIA RINATE,15,12,"176,07","0,53",0
"2,40",1,B3402005,CONCORDIA RINATE,15,12,"176,07","0,53",0
"2,40",1,B3402006,CONCORDIA RINATE,15,12,"176,07","0,53",0
"2,40",1,B3402007,CONCORDIA RINATE,15,12,"176,07","0,53",0
"2,40",1,B3135001,CONCORDIA THALEIA,15,12,"159,93291","0,53",0
"2,40",1,B3135002,CONCORDIA THALEIA,15,12,"159,93291","0,53",0
"2,40",1,B3135003,CONCORDIA THALEIA,15,12,"159,93291","0,53",0
"2,40",1,B3135004,CONCORDIA THALEIA,15,12,"159,93291","0,53",0
"2,40",1,B3135005,CONCORDIA THALEIA,15,12,"159,93291","0,53",0
"2,40",1,B3135006,CONCORDIA THALEIA,15,12,"159,93291","0,53",0
"2,40",1,B3135007,CONCORDIA THALEIA,15,12,"159,93291","0,53",0
"2,40",1,B3135008,CONCORDIA THALEIA,15,12,"159,93291","0,53",0
"2,40",1,B3135009,CONCORDIA THALEIA,15,12,"159,93291","0,53",0
"2,40",1,B3135010,CONCORDIA THALEIA,15,12,"159,93291","0,53",0
"2,40",1,B3135011,CONCORDIA THALEIA,15,12,"159,93291","0,53",0
"2,40",1,B3184001,CONCORDIA THALEIA,15,12,"184,87657","0,53",0
"2,40",1,B3244001,CONCORDIA THALEIA,15,12,"168,73655","0,53",0
"2,40",1,B3244003,CONCORDIA THALEIA,15,12,"168,73655","0,53",0
"2,40",1,B3244004,CONCORDIA THALEIA,15,12,"168,73655","0,53",0
"2,40",1,B3244006,CONCORDIA THALEIA,15,12,"168,73655","0,53",0
"2,40",1,B3244007,CONCORDIA THALEIA,15,12,"168,73655","0,53",0
"2,40",1,B3264001,CONCORDIA THALEIA,15,12,"176,07293","0,53",0
"2,40",1,B3264002,CONCORDIA THALEIA,15,12,"176,07293","0,53",0
"2,40",1,B3264003,CONCORDIA THALEIA,15,12,"176,07293","0,53",0
"2,40",1,B3264004,CONCORDIA THALEIA,15,12,"176,07293","0,53",0
"2,40",1,B3264005,CONCORDIA THALEIA,15,12,"176,07293","0,53",0
"2,40",1,B3264006,CONCORDIA THALEIA,15,12,"176,07293","0,53",0
"2,40",1,B3265001,CONCORDIA THALEIA,15,12,"176,07293","0,53",0
"2,40",1,B3265002,CONCORDIA THALEIA,15,12,"176,07293","0,53",0
"2,40",1,B3265003,CONCORDIA THALEIA,15,12,"176,07293","0,53",0
"2,40",1,B3265004,CONCORDIA THALEIA,15,12,"176,07293","0,53",0
"2,40",1,B3271001,CONCORDIA THALEIA,15,12,"168,73655","0,53",0
"2,40",1,B3271002,CONCORDIA THALEIA,15,12,"168,73655","0,53",0
"2,40",1,B3271003,CONCORDIA THALEIA,15,12,"168,73655","0,53",0
"2,40",1,B3271004,CONCORDIA THALEIA,15,12,"168,73655","0,53",0
"2,40",1,B3271005,CONCORDIA THALEIA,15,12,"168,73655","0,53",0
"2,40",1,B3271006,CONCORDIA THALEIA,15,12,"168,73655","0,53",0
"2,40",1,B3271007,CONCORDIA THALEIA,15,12,"168,73655","0,53",0
"2,40",1,B3271008,CONCORDIA THALEIA,15,12,"168,73655","0,53",0
"2,40",1,B3271009,CONCORDIA THALEIA,15,12,"168,73655","0,53",0
