markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,30",1,72340128,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72340264,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72340345,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72340412,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72340590,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72340618,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72340762,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72340841,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72340975,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72341063,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72341149,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72341231,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72341462,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72341584,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72341622,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72341896,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72341971,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72342058,CASAMANCE DANDY,"0,00%",13,320,"0,53",0
"2,30",1,72350165,CASAMANCE DANDY,"0,00%",13,540,"0,53",0
"2,30",1,72350247,CASAMANCE DANDY,"0,00%",13,540,"0,53",0
"2,30",1,72350335,CASAMANCE DANDY,"0,00%",13,540,"0,53",0
"2,30",1,72350518,CASAMANCE DANDY,"0,00%",13,540,"0,53",0
"2,30",1,72350613,CASAMANCE DANDY,"0,00%",13,540,"0,53",0
"2,30",1,72350794,CASAMANCE DANDY,"0,00%",13,540,"0,53",0
"2,30",1,72350872,CASAMANCE DANDY,"0,00%",13,540,"0,53",0
