markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,30",1,1190045,COORDONNE DUNE,"15,00%",13,"226,09","0,53",0
"2,30",1,1190046,COORDONNE DUNE,"15,00%",13,"226,09","0,53",0
"2,30",1,1190047,COORDONNE DUNE,"15,00%",13,"226,09","0,53",0
"2,30",1,1190051,COORDONNE DUNE,"15,00%",13,"226,09","0,53",0
"2,30",1,1190052,COORDONNE DUNE,"15,00%",13,"226,09","0,53",0
"2,30",1,1190054,COORDONNE DUNE,"15,00%",13,"226,09","0,53",0
"2,30",1,1190055,COORDONNE DUNE,"15,00%",13,"226,09","0,53",0
"2,30",1,1190056,COORDONNE DUNE,"15,00%",13,"226,09","0,53",0
"2,30",1,1190057,COORDONNE DUNE,"15,00%",13,"226,09","0,53",0
"2,30",1,416033,COORDONNE DUNE,"15,00%",13,"1930,44","2,79",0
"2,30",1,11001,COORDONNE KIDO'S,"15,00%",13,"2226,09","2,79",0
"2,30",1,11002,COORDONNE KIDO'S,"15,00%",13,"1913,04","2,325",0
"2,30",1,11003,COORDONNE KIDO'S,"15,00%",13,"1913,04","2,325",0
"2,30",1,11403,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11404,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11502,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11503,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11504,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11505,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11506 KIDOS,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11102,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11103,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11104,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11105,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11106 KIDOS,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11107,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11201,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11202,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11203,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11204,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11205,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,11206 KIDOS,COORDONNE KIDO'S,"15,00%",13,"234,78","0,53",0
"2,30",1,K503C01,COORDONNE KUKUXUMUSU,"15,00%",13,"165,22","0,53",0
"2,30",1,414009,COORDONNE LITTLE ONES,"15,00%",13,"1321,74","1,86",0
"2,30",1,414012,COORDONNE LITTLE ONES,"15,00%",13,"1321,74","1,86",0
"2,30",1,414013,COORDONNE LITTLE ONES,"15,00%",13,"1321,74","1,86",0
"2,30",1,414016,COORDONNE LITTLE ONES,"15,00%",13,"1321,74","1,86",0
"2,30",1,414034,COORDONNE LITTLE ONES,"15,00%",13,"1321,74","1,86",0
"2,30",1,414035,COORDONNE LITTLE ONES,"15,00%",13,"1321,74","1,86",0
"2,30",1,414038,COORDONNE LITTLE ONES,"15,00%",13,"1321,74","1,86",0
"2,30",1,414042,COORDONNE LITTLE ONES,"15,00%",13,"1321,74","1,86",0
"2,30",1,414043,COORDONNE LITTLE ONES,"15,00%",13,"1321,74","1,86",0
"2,30",1,414046,COORDONNE LITTLE ONES,"15,00%",13,"1321,74","1,86",0
"2,30",1,414047,COORDONNE LITTLE ONES,"15,00%",13,"1321,74","1,86",0
"2,30",1,414048,COORDONNE LITTLE ONES,"15,00%",13,"1321,74","1,86",0
"2,30",1,414056,COORDONNE LITTLE ONES,"15,00%",13,"1321,74","1,86",0
"2,30",1,414079,COORDONNE LITTLE ONES,"15,00%",13,"1321,74","1,86",0
"2,30",1,414080,COORDONNE LITTLE ONES,"15,00%",13,"1321,74","1,86",0
"2,30",1,416005,COORDONNE LITTLE ONES,"15,00%",13,"1930,44","2,79",0
"2,30",1,416007,COORDONNE LITTLE ONES,"15,00%",13,"1930,44","2,79",0
"2,30",1,416010,COORDONNE LITTLE ONES,"15,00%",13,"1930,44","2,79",0
"2,30",1,416072,COORDONNE LITTLE ONES,"15,00%",13,"1930,44","2,79",0
"2,30",1,416074,COORDONNE LITTLE ONES,"15,00%",13,"1930,44","2,79",0
"2,30",1,416075,COORDONNE LITTLE ONES,"15,00%",13,"1930,44","2,79",0
"2,30",1,416084,COORDONNE LITTLE ONES,"15,00%",13,"1930,44","2,79",0
"2,30",1,415001,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415002,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415003,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415006,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415014,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415017,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415018,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415021,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415023,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415060,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415061,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415062,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415063,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415064,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415065,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415070,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415071,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415073,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415076,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415077,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415078,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415081,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415082,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415083,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,415085,COORDONNE LITTLE ONES,"15,00%",13,"1713,04","2,325",0
"2,30",1,418008,COORDONNE LITTLE ONES,"15,00%",13,"2634,78","3,72",0
"2,30",1,418020,COORDONNE LITTLE ONES,"15,00%",13,"2634,78","3,72",0
"2,30",1,418027,COORDONNE LITTLE ONES,"15,00%",13,"2634,78","3,72",0
"2,30",1,418039,COORDONNE LITTLE ONES,"15,00%",13,"2634,78","3,72",0
"2,30",1,418041,COORDONNE LITTLE ONES,"15,00%",13,"2634,78","3,72",0
"2,30",1,418054,COORDONNE LITTLE ONES,"15,00%",13,"2634,78","3,72",0
"2,30",1,416032,COORDONNE LITTLE ONES,"15,00%",13,"1930,44","2,79",0
"2,30",1,416031,COORDONNE LITTLE ONES,"15,00%",13,"1930,44","2,79",0
"2,30",1,416030,COORDONNE LITTLE ONES,"15,00%",13,"1930,44","2,79",0
"2,30",1,416024,COORDONNE LITTLE ONES,"15,00%",13,"1930,44","2,79",0
"2,30",1,416015,COORDONNE LITTLE ONES,"15,00%",13,"1930,44","2,79",0
"2,30",1,416011,COORDONNE LITTLE ONES,"15,00%",13,"1930,44","2,79",0
"2,30",1,42022,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42030,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42032,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42036,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42037,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42045,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42056,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42058,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42061,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42062,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42064,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42065,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42066,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42067,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42068,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42070,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42072,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42073,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42074,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,42083,COORDONNE LITTLE ONES,"15,00%",13,"1139,13","0,465",0
"2,30",1,413051,COORDONNE LITTLE ONES,"15,00%",13,"1008,69","1,395",0
"2,30",1,417019,COORDONNE LITTLE ONES,"15,00%",13,"2330,43","3,25",0
"2,30",1,417040,COORDONNE LITTLE ONES,"15,00%",13,"2330,43","3,25",0
"2,30",1,417058,COORDONNE LITTLE ONES,"15,00%",13,"2330,43","3,25",0
"2,30",1,419004,COORDONNE LITTLE ONES,"15,00%",13,"2947,83","4,185",0
"2,30",1,419022,COORDONNE LITTLE ONES,"15,00%",13,"2947,83","4,185",0
"2,30",1,419025,COORDONNE LITTLE ONES,"15,00%",13,"2947,83","4,185",0
