markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,30",1,EE78316,SANDBERG ENGLA E ELLIOT,"15,00%",11,"243,48","0,53",0
"2,30",1,EE78321,SANDBERG ENGLA E ELLIOT,"15,00%",11,"243,48","0,53",0
"2,30",1,EE78338,SANDBERG ENGLA E ELLIOT,"15,00%",11,"243,48","0,53",0
"2,30",1,EE78426,SANDBERG ENGLA E ELLIOT,"15,00%",11,"243,48","0,53",0
"2,30",1,EE78427,SANDBERG ENGLA E ELLIOT,"15,00%",11,"243,48","0,53",0
"2,30",1,EE78458,SANDBERG ENGLA E ELLIOT,"15,00%",11,"243,48","0,53",0
"2,30",1,EE78509,SANDBERG ENGLA E ELLIOT,"15,00%",11,"243,48","0,53",0
"2,30",1,EE78516,SANDBERG ENGLA E ELLIOT,"15,00%",11,"243,48","0,53",0
"2,30",1,EE78527,SANDBERG ENGLA E ELLIOT,"15,00%",11,"243,48","0,53",0
"2,30",1,EE78534,SANDBERG ENGLA E ELLIOT,"15,00%",11,"243,48","0,53",0
"2,30",1,EE78614,SANDBERG ENGLA E ELLIOT,"15,00%",11,"243,48","0,53",0
"2,30",1,EE78626,SANDBERG ENGLA E ELLIOT,"15,00%",11,"243,48","0,53",0
"2,30",1,EE97214,SANDBERG ENGLA E ELLIOT,"15,00%",11,"165,22","0,18",0
"2,30",1,EE97226,SANDBERG ENGLA E ELLIOT,"15,00%",11,"165,22","0,18",0
"2,30",1,EE97344,SANDBERG ENGLA E ELLIOT,"15,00%",11,"286,96","0,27",0
"2,30",1,EE97391,SANDBERG ENGLA E ELLIOT,"15,00%",11,"286,96","0,27",0
"2,30",1,EE97424,SANDBERG ENGLA E ELLIOT,"15,00%",11,"286,96","0,27",0
"2,30",1,EE97427,SANDBERG ENGLA E ELLIOT,"15,00%",11,"286,96","0,27",0
"2,30",1,EE97438,SANDBERG ENGLA E ELLIOT,"15,00%",11,"286,96","0,53",0
"2,30",1,EE97516,SANDBERG ENGLA E ELLIOT,"15,00%",11,"286,96","0,27",0
"2,30",1,EE97527,SANDBERG ENGLA E ELLIOT,"15,00%",11,"286,96","0,27",0
"2,30",1,EE97538,SANDBERG ENGLA E ELLIOT,"15,00%",11,"286,96","0,27",0
"2,30",1,FK50401,SANDBERG FRANK,"15,00%",11,"243,48","0,53",0
"2,30",1,FK50402,SANDBERG FRANK,"15,00%",11,"243,48","0,53",0
"2,30",1,FK50409,SANDBERG FRANK,"15,00%",11,"243,48","0,53",0
"2,30",1,FK50411,SANDBERG FRANK,"15,00%",11,"243,48","0,53",0
"2,30",1,FK50416,SANDBERG FRANK,"15,00%",11,"243,48","0,53",0
"2,30",1,FK50421,SANDBERG FRANK,"15,00%",11,"243,48","0,53",0
"2,30",1,FK50429,SANDBERG FRANK,"15,00%",11,"243,48","0,53",0
"2,30",1,FK50431,SANDBERG FRANK,"15,00%",11,"243,48","0,53",0
"2,30",1,FK50479,SANDBERG FRANK,"15,00%",11,"243,48","0,53",0
"2,30",1,FK50491,SANDBERG FRANK,"15,00%",11,"243,48","0,53",0
"2,30",1,FK51509,SANDBERG FRANK,"15,00%",11,"243,48","0,53",0
"2,30",1,FK51511,SANDBERG FRANK,"15,00%",11,"243,48","0,53",0
"2,30",1,FK51516,SANDBERG FRANK,"15,00%",11,"243,48","0,53",0
"2,30",1,FK51519,SANDBERG FRANK,"15,00%",11,"243,48","0,53",0
"2,30",1,FK51521,SANDBERG FRANK,"15,00%",11,"243,48","0,53",0
