markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,30",3,2620323,CASAMANCE KARMA,0,13,"338,736","1,4",0
"2,30",3,2620436,CASAMANCE KARMA,0,13,"338,736","1,4",0
"2,30",3,2621314,CASAMANCE KARMA,0,13,"338,736","1,4",0
"2,30",3,2621448,CASAMANCE KARMA,0,13,"338,736","1,4",0
"2,30",3,2621559,CASAMANCE KARMA,0,13,"338,736","1,4",0
"2,30",3,2621670,CASAMANCE KARMA,0,13,"338,736","1,4",0
"2,30",3,2621758,CASAMANCE KARMA,0,13,"338,736","1,4",0
"2,30",3,2621883,CASAMANCE KARMA,0,13,"338,736","1,4",0
"2,30",3,2621955,CASAMANCE KARMA,0,13,"338,736","1,4",0
"2,30",3,2622097,CASAMANCE KARMA,0,13,"338,736","1,4",0
"2,30",3,2622189,CASAMANCE KARMA,0,13,"338,736","1,4",0
"2,30",3,2622263,CASAMANCE KARMA,0,13,"338,736","1,4",0
"2,30",3,2622327,CASAMANCE KARMA,0,13,"338,736","1,4",0
"2,30",3,2622433,CASAMANCE KARMA,0,13,"338,736","1,4",0
"2,30",3,2622642,CASAMANCE KARMA,0,13,"338,736","1,4",0
"2,30",3,8890102,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8890204,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8890306,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8890408,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8890510,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8890714,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8890816,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8890918,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8891020,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8891122,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8891224,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8891326,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8891428,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8891632,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8891734,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8891836,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8891938,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8892040,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8892142,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,8892244,CASAMANCE KUBAN,0,13,"308,88","1,38",0
"2,30",3,4980163,CASAMANCE LAKEWOOD,0,13,"146,106","1,4",0
"2,30",3,4980271,CASAMANCE LAKEWOOD,0,13,"146,106","1,4",0
"2,30",3,4980359,CASAMANCE LAKEWOOD,0,13,"146,106","1,4",0
"2,30",3,4980493,CASAMANCE LAKEWOOD,0,13,"146,106","1,4",0
"2,30",3,4980517,CASAMANCE LAKEWOOD,0,13,"146,106","1,4",0
"2,30",3,4980640,CASAMANCE LAKEWOOD,0,13,"146,106","1,4",0
"2,30",3,4980786,CASAMANCE LAKEWOOD,0,13,"146,106","1,4",0
"2,30",3,4980892,CASAMANCE LAKEWOOD,0,13,"146,106","1,4",0
"2,30",3,4880174,CASAMANCE LAKEWOOD,0,13,"262,428",3,0
