markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,30",3,241881,SANDERSON IOLANTHE,0,11,"128,52","1,42",0
"2,30",3,241882,SANDERSON IOLANTHE,0,11,"128,52","1,42",0
"2,30",3,241883,SANDERSON IOLANTHE,0,11,"128,52","1,42",0
"2,30",3,241884,SANDERSON IOLANTHE,0,11,"128,52","1,42",0
"2,30",3,241885,SANDERSON IOLANTHE,0,11,"128,52","1,42",0
"2,30",3,241886,SANDERSON IOLANTHE,0,11,"128,52","1,42",0
"2,30",3,241887,SANDERSON IOLANTHE,0,11,"128,52","1,42",0
"2,30",3,241888,SANDERSON IOLANTHE,0,11,"128,52","1,42",0
"2,30",3,241889,SANDERSON IOLANTHE,0,11,"128,52","1,42",0
"2,30",3,241890,SANDERSON IOLANTHE,0,11,"128,52","1,42",0
"2,30",3,241891,SANDERSON IOLANTHE,0,11,"128,52","1,42",0
"2,30",3,241892,SANDERSON IOLANTHE,0,11,"128,52","1,42",0
"2,30",3,241893,SANDERSON IOLANTHE,0,11,"128,52","1,42",0
"2,30",3,DIONAN201,SANDERSON IONE PRINTS,0,11,"214,2","1,37",0
"2,30",3,DIONAN202,SANDERSON IONE PRINTS,0,11,"214,2","1,37",0
"2,30",3,DIONAN203,SANDERSON IONE PRINTS,0,11,"214,2","1,37",0
"2,30",3,DIONAN204,SANDERSON IONE PRINTS,0,11,"214,2","1,37",0
"2,30",3,DIONFO201,SANDERSON IONE PRINTS,0,11,188496,"1,37",0
"2,30",3,DIONFO202,SANDERSON IONE PRINTS,0,11,188496,"1,37",0
"2,30",3,DIONFO203,SANDERSON IONE PRINTS,0,11,188496,"1,37",0
"2,30",3,DIONFO204,SANDERSON IONE PRINTS,0,11,188496,"1,37",0
"2,30",3,DIONFO205,SANDERSON IONE PRINTS,0,11,188496,"1,37",0
"2,30",3,DIONFS301,SANDERSON IONE PRINTS,0,11,"257,04","1,37",0
"2,30",3,DIONFS302,SANDERSON IONE PRINTS,0,11,"257,04","1,37",0
"2,30",3,DIONFS303,SANDERSON IONE PRINTS,0,11,"257,04","1,37",0
"2,30",3,DIONFS304,SANDERSON IONE PRINTS,0,11,"257,04","1,37",0
"2,30",3,DIONFS305,SANDERSON IONE PRINTS,0,11,"257,04","1,37",0
"2,30",3,DIONFS306,SANDERSON IONE PRINTS,0,11,"257,04","1,37",0
"2,30",3,DIONIO201,SANDERSON IONE PRINTS,0,11,"214,2","1,37",0
"2,30",3,DIONIO202,SANDERSON IONE PRINTS,0,11,"214,2","1,37",0
"2,30",3,DIONIO203,SANDERSON IONE PRINTS,0,11,"214,2","1,37",0
"2,30",3,DIONIO204,SANDERSON IONE PRINTS,0,11,"214,2","1,37",0
"2,30",3,DIONLA201,SANDERSON IONE PRINTS,0,11,"214,2","1,37",0
"2,30",3,DIONLA202,SANDERSON IONE PRINTS,0,11,"214,2","1,37",0
"2,30",3,DIONLA203,SANDERSON IONE PRINTS,0,11,"214,2","1,37",0
"2,30",3,DIONLS201,SANDERSON IONE PRINTS,0,11,334152,"1,37",0
